"Eminent person, n., Zako.","Enema, n., Èlwa."
"Emissary, n., Ezàṇgi; Zàṇgi.","Enemy, n., Wùṇṃàci; Ewùṇ ṃàci."
"Emperor (general term), n., Gbata.","Energy (power), n., Gwakoro."
"Emperor (Bini emperor), n., Gibi;","Enforce, v., Suṇbapà."
"Gabi; Bigi.","Engage, v., Gònyạ."
"Emperor (Eji emperor), n., Jiya.","Engage (marriage), v., Kpémi."
"Emperor (Gara emperor), n., Gani;","Engagement, n., Nyạgò."
"Gana.","Engagement (marriage), n., Emikpé."
"Emperor (Ife emperor), n., Egife.","Engine, n., Nyạnkpagi."
"Employ, v., Dạntuṇ.","Engineer, n., Zànyạnkpagi."
"Employment, n., Etuṇdạn; Tuṇdạn.","Engineering, n., Nyạnkpagijiṇ."
"Empress, n., Gogo.","England, n., Ingìlà."
"Empty, adj., Gboló.","English, n., Ingìlìshì."
"Empty (dry), adj., Kánṣáṇá.","English, adj., Ingìlìshì."
"Empty-handed, adj., Gwatsan.","Engrave, v., Tsa."
"Empty out, v., Zhèya.","Engraver, n., Etsaci."
"Empty into, v., Zhèfi.","Engraving, n., Etsa."
"En bloc, adv., Ṃàgùrà.","Engulf, v., Yagbe."
"Encamp, v., Gòdo.","Enjoy, v., Wóṃǎ."
"Enclose (fence), v., Dạngbà; Dạn","Enlarge, v., Kócíṇ."
"egbà.","Enmity, n., Wùṇṃà."
"Enclosure, n., Egbà.","Enliven, v., Sạnsuṇ."
"Encounter, v., Gúṇgbò.","Enormous, adj., Dúdú."
"Encounter, n., Gbògúṇ.","Enough, adv, adj., Kun; Kuṇyé."
"Encumberance, n., Lele.","Ensemble, n., Dzạnkpátá; Èdzạn"
"End, v., Zo.","kpátá."
"End, n., Èzo.","Ensign, n., Kúfángi."
"End, the, n., Gbogbo.","Enslave, v., Mạwuzhì."
"Endeavour, v., Dạnṇyì.","Enter (coming), v., Gạndạn"
"Endeavour, n., Eṇyìdạn.","Enter (going), v., Ló."
"Ending, n., Zuzo.","Entero-, prefix, -nîndzù."
"Endow, v., Gíria.","Enteropathy, n., Nạtáṇnîndzù."
"Endowment, n., Riagí; Eriagí.","Entertain, v., Shiga."
"End up, v., Zofi; Zo fi.","Entertainer, n., Egashici."
"Endure, v., Wunyagbàṇ.","Entertainment, n., Gashi; Egashi."
"Endurance, n., Nyagbàṇwu.","Entice, v., Shiyé."
