"Enticement, n., Yéshi; Eyéshi.","Erosion, n., Bàba."
"Entire, adj., Kìkìrì.","Error, n., Gwabi."
"Entirely, adv.,.","Eruct, v., Bèdạn."
"Entity, n., Yekan.","Eruption (skin), n.,Èpúkó."
"Entrails, n., Egbin.","Erupt, v., Làkpe."
"Entrain, v., Dạnya.","Eruption, n., Lilàkpe."
"Entrance, n., Yǎkǔṇ.","Escape, v., Gạngwa."
"Entrance way, n., Yǎkǔṇta.","Escape, n., Egwagạn."
"Entrap, v., Cintangi.","Escarpment, n., Gàkpạṇ."
"Entrust, v., Mạgwa.","Escort, v., Pànîn."
"Entryway, n., Lami.","Escort, n., Nînpàci."
"Enviable, adj., Nyanyạgbàṇla.","Esophagus, n., Èyígi."
"Envisage, v., Bayèshi.","Esoteric, adj.,Wuru"
"Envious, adj., Nyạngbàṇlàgi.","Especially, adv., Toto."
"Envoy, n., Kîntuṇ.","Establish, v., Shìgbàṇ."
"Envy, v., Là nyạngbàṇ.","Establishment, v., Gbàṇshì;"
"Envy, n., Nyạngbàṇlà.","Ègbàṇshì."
"Enzyme, n., Nímbǒgi.","Estate, n., Esòzhì."
"Eon, n., Roro.","Esteem, n., Kuṇkuṇ."
"Epilepsy, n., Kpiariagi.","Estimate, v., Shi kuṇkuṇ."
"Epileptic fit, have, v., Wạṇ kpiariagi.","Estimation, n., Kuṇkuṇshi."
"Eponym, n., Dzòkó","Eternal, adj., Dạmbodạn."
"Equal, n., Eló.","Eternity, n., Dạmbodạnci."
"Equal, adj., Dạnlǒ.","Eulogize, v., Bakaye."
"Equalize, v., Lódạn.","Eulogy, n., Kayeba."
"Equality, n., Elódạn.","Eunuch, n., Èpótsu."
"Equate, v., Zhèló.","Euphorbia, n., Lówu."
"Equation, n., Elózhègi.","Evade, v., Dakia."
"Equator, n., Elóyizhè; Eló yizhè.","Evaluate, v., Díkuṇkuṇdạn."
"Equatorial, adj., Elóyizhègi.","Evaluation, n., Kuṇkuṇdạndí."
"Equivalent, adj., Fùkà.","Eve, n., Awawu."
"Era, n., Ekákó.","Eve (evening before), n., Yěli."
"Erase, v., Nǔya.","Even, adv., Ka."
"Eraser, n., Nǔkà.","Even (levelled), adj., Talò."
"Erasing, n., Nǔnǔya.","Even, v., Lòta."
"Erect, v., Kpétú.","Even if, adv., Kabo."
