"Even though, conj., Katonạdě.","Exchanger, n., Gwasàṇci."
"Evening, n., Lǒzhùṇ.","Exchanging, vt., Gwasàṇ."
"Event, n., Jiṇkó; Ejiṇkó.","Excite, v., Nìdùṇ."
"Ever, adv., Kálo.","Excitement, n., Edùṇnì."
"Everlasting, adv., Fojiṇkálo.","Exclaim, v., Tíyé."
"Every, adj., Ndorò.","Excoriate, v., Fu."
"Everybody, pron., Zàndorò.","Excreta, n., Emi."
"Every day, adj., Fondorò.","Excrete, v., Tsami."
"Everywhere, adv., Bàndorò.","Excuse, v., Wạṇswà."
"Evidence, n., Èrǐ.","Excuse, n., Swàwạṇ; Eswàwạṇ."
"Evidence, give, v., Jiṇrǐ; Jiṇ èrǐ.","Execute (kill), v., Gbíṇtí."
"Evil, adj., Kpíkpí. Cf. Horrible.","Execute (do, carry out), v., Gbamitú."
"Evil, n., Ekpí.","Execution (killing), v., Etígbíṇ."
"Evildoer, n., Kpíkpíjiṇci.","Execution (doing, carrying out), n.,"
"Evil eye, n., Eyé kpíkpí.","Emigbatú."
"Evil one, n., Kpíkpítsó.","Executive, n., Zàmigbatú."
"Evil person, n., Ezà kpíkpí.","Exemplary, n., Sàṇtágici."
"Ewer, n., Dárokó.","Exemplify, v., Tásàṇ."
"Exact, v., Gíṇyàṇyà.","Exercise, v., Dìṇnàkàṇ."
"Exact, adj., Cin.","Exercise, n., Nàkàṇdìṇ."
"Exaction, n., Ṇyàṇyà.","Exert, v., Gbanyadzu."
"Exactly, adv., Cinyi.","Exertion, n., Nyadzugban."
"Exaggerate, v., Yà rúba.","Exfoliator, n.,Bongi"
"Exaggeration, n., Rúba.","Exhaust, v., Bebe."
"Exalt, v., Do.","Exhaustion, n., Bebe."
"Examination, n., Yěṃá.","Exhaustive, v., Bebegi."
"Examine, v., Sǎngbe.","Exhume, v., Bǐ."
"Example, n., Sàṇtági.","Exigency, n., Garazhe."
"Example, make, v., Jiṇ sàṇtági.","Exist, v., Zan."
"Excel, v., Dù.","Existence, n., Zizan."
"Except, conj., Mbaci.","Exit, v., Tiṇya."
"Except, prep., Kàgǎṇ.","Exit, n., Dzungi."
"Exceptional, adj., Wurieni.","Exorbitant, adj., Gòzo."
"Excess, adj., Dùtu.","Expand, v., Ma."
"Exchange, v., Sàṇ; Sàṇgwa.","Expansion, n., Pàràta."
"Exchange, n., Gwasàṇgi.","Expect, v., Túyé."
