"Expectation, n., Yétú.","Expulsion, n., Nyiṇyádzùṇ."
"Expedite, v., Gígèrě.","Exquisite, adj.,Fagankonyi"
"Expedition, n., Gèrěgí.","Extant, adj., Kạriko."
"Expedition (trip), n., Fàzan.","Extend, v., Lèlé."
"Expeditious, adj., Gèrěnyǐ.","Extended, adj., Lélè."
"Expel, v., Ṇyádzùṇ.","Extensive, adj., Bibibi."
"Expend, v., Luwó; Lu ewó.","Extensively, adj., Bibinyǐ."
"Expending, n., Luluwó.","External, adj., Kátí."
"Expenditure, n., Wólu.","Extinguish, v., Núnạ."
"Expense, n., Lóṃá.","Extol, v., Kin."
"Expensive, adj., v., Ṃáló.","Extort, v., Gí mùdzà."
"Experience, v., Woshià.","Extortion, n., Mùdzàgí."
"Experience, n., Eshiàwo.","Extra, n., Ècé."
"Experiment, v., Jiṇciṇlě.","Extract, v., Wò."
"Experiment, n., Jiṇjiṇciṇlě.","Extravagant, adj., Bembelegi."
"Expert, n., Egbá.","Extreme, adj., Kátí."
"Expire, v., Fí.","Extremity, n., Yěku; Eyéku."
"Explain, v., Kpéye.","Exude, v., Sànmi."
"Explanation, n., Gàṇkpé.","Eye, n., Eyé."
"Explicate, v., Kpé gbángbá .","Eye, v., Káyé."
"Explication, n., Gbángbákpé.","Eyeball, n., Yékòsuṇ; Eyé kòsuṇ."
"Explicit, adj., Gbángbá.","Eyebrow, n., Eyé gàkpàṇ."
"Explicitly, adv., Gbángbányǐ.","Eye lash, n., Eyé biṇnì."
"Explode, v., Pòkin.","Eyelet, n., Eyégi."
"Explore, v., Tudan.","Eyelid, n., Yèpa."
"Explosion, n., Kinpò.","Eye-opener, n., Eyékpéci."
"Expose, adj., v., Kpeye.","Eye socket, n., Eyévo."
"Exposure, n., Yekpe.","Eyetooth, n., Gàrà."
"Expound, v., Kpéyépàrà.",""
"Express (show, say), v., Gbegádá.",""
"Express (fast), n., Furu.",""
"Express (fast), adj., Furunyǐ.",""
"Expression, n., Gádágbe.",""
"Expressionism, n., Gádágbejin.",""
"Expound, v., Wuti; Wu etigan; Wu",""
"eti egan.",""
