"Abutment, n., Kînke.","Acantopterygian, n., Gwakaṇkaṇ."
"Abuttals, n., Kînkezhì.","Acanthus, n., Fiṇnikàṇ."
"Abuzz, n., Ṃàwúle.","A cappella, adv., Bé béré ni."
"Abvolt, n., Vólútìkpó.","Acapulco, n., Àkápulikò."
"Abwatt, n., Wótìkpó.","Acardia, n., Kòvigizhì."
"Abysmal, adj., Gushekókó.","Acariasis, n., Mukumitáṇ."
"Abyss, n., Bókûn.","Acari, n., Mukumizhì."
"Abyssal, adj., Tàkòdù; Tàkò edù.","Acaricide, n., Mukumiwugi."
"Abyssal plain, n., Làgǎṇ tàkòdù.","Acarid, n., Mukumigi."
"Abyssinia, n., Hábàshà; Àbìsínínyạ.","Acaroid resin, n., Cìṇbuṇnú Mukugi."
"Abyssinian, n., Hábàshàci.","Acarology, n., Kpikpémukumi."
"Abyssinian cat, n., Dàngi Hábàshàci.","Acarophobia, n., Dàṇsuṇkómukumi."
"Abyssopelagic, adj., Tàkòdùkóci.","Acarus, n., Mukumi."
"Acacia, n., Káshía.","Acatalectic, adj., Kagingi."
"Academe, n., Ewǔbàgi; Wǔbàgi.","Acaudal, adj., Cintàràciṇboci."
"Academia, n., Ewǔbà; Wǔbà.","Acaulescent, adj., Gbòkòciṇboci."
"Academic, n., Ewǔtaci; Wǔtaci.","Acca, n., Zàwǔ."
"Academic dress, n., Èdě wǔtaci.","Accede, v., Yé."
"Academician, n., Zàwǔtaci.","Accelerando, adv., adj., Kpalanci."
"Academism, n., Wǔtacijin.","Accelerant, adj., Kpalagi."
"Academic year, n., Eya wǔtaci.","Accelerate, v., Lakpa."
"Academy, n., Ewǔta; Wǔta.","Accelerated benefits, n., Miṃàgezhi"
"Academy Award, n., Tuṇkiṇ Wǔta.","kpala."
"Acadia, n., Àkádiyá.","Accelerated cost recovery system,"
"Acadian, n., Àkádiyáci.","n., Mikugúṇ dzìdzìzhǐṇ Wófà"
"Acadian French, n., Firenci","kpala."
"Àkádiyá.","Accelerated depreciation, n., Wócíṇ"
"Acadian orogeny, n., Kânmạnpati","kpala."
"Àkádiyá.","Accelerated graphics port, n.,"
"Acalculia, n., Zhìlòkebá.","Yònyǐká kpàtazún kpala."
"Acanthi, n., Fiṇnikànzhì.","Acceleration, n., Ekpala."
"Acanthocephalan, n., Gókàṇtí;","Acceleration clause, n., Mizogi"
"Egókàṇtí.","kpala."
"Acanthomoeba, n., Kànwazhìngi.","Acceleration coefficient, n.,"
"Acanthomoeba infection, n.,","Gídzàgebà kpala."
"Kukuká kànwazhìngi.",""
