"Fetter, n., Cíndzànà.","Fight, n.,"
"Fever, n., Bàjiṇ; Ebàjiṇ.","Fight (box), v., Cékò."
"Fever, have, v., Jiṇbà; Jiṇ bà.","Fight (boxing), n., Ekòcé."
"Fever bark, n., Nanbi sunsun.","Fighter, n., Ekòcéci."
"Few, adj., Dégi.","Figure, n., Yétsa."
"Few and far between, adv.,","Filament, n., Enwu."
"Kàtàkpotì.","File (sharpener), n., Eṇyà."
"Fez, n., Dàra.","File (sharpen), v., Gbo."
"Fib, v., Fófù.","Fill, v., Shé."
"Fib, n., Fùfó.","Fillet (hair), n., Èsàgi."
"Fiber, n., Dzàrí.","Fillip, v., Cépátángi."
"Fibre, n., Dzàrí.","Fillip, n., Pátángi."
"Fibrous, adj., Dzarigi.","Film, n., Fiáliági."
"Fibula, n.,Kátankpà.","Filter, v., Bè."
"Fiction, n., Yětswagi.","Filth, n., Èbàṇ."
"Fictionalize, v., Tswayé.","Filthy, adj., Lùbàṇ."
"Fiddle (aimless fingering), v.,","Fin, n., Gwankạn; Egwa nyikạn."
"Kpagwa.","Final, n., Wogbo."
"Fiddling, n., Egwakpa.","Finale, n., Gbogbo."
"Fiddle (musical instrument), n.,","Finalize, v., Wòwogbo."
"Bènba; Bè mba.","Finance, v., Gewó."
"Fiddle (a type), n., Gbòge.","Finance, n., Wóge."
"Fidelity, n., Nyạgbàṇnini.","Financing, n., Gigewó."
"Fidget, v., Jiṇ kǒkǒgi.","Find, v., Leyé."
"Fidgety, adj., Kǒkǒgi.","Fine (okay), adj., Ge."
"Field, n., Kân.","Fine (beautiful), adj., Sà."
"Fierce, v., adj., Kwárí.","Fine (lovely), adj., Bólógi."
"Fiery, adj., Pena.","Finery, n., Sárági."
"Fifteen, n., Gwégì.","Finger, n., Gingiṇni."
"Fifth, adj., Tsuṇci.","Finger, little, n., Gingiṇnigi."
"Fifty, n., Áráta.","Finger grass, n., Alikyangi yiwo."
"Fig, n. Gbanci.","Finger millet, n., Tamba."
"Fig (wild one), n., Pòtò.","Fingernail, n., Vùndùnnù egwa."
"Fig nut, n., Ègba.","Fingertip, n., Egwatígi."
"Fig plant, n., Cediya.","Finish, v., Zo."
"Fight, v.,","Finishing, n., Jiṇjiṇzo."
