"Fir, n., Tíkàṇci.","Fit (convulsion), n.,"
"Fire, n., Enạ.","Gbiṇgbiáṇniáṇkú."
"Fire (kindle), v., Gúṇnạ.","Fit (convulse), v., wạṇ"
"Fire (set), v., Sùṇnạ.","gbiṇgbiáṇniáṇkú."
"Fire (strike), v., Sánạ.","Five, n., Gútsuṇ."
"Fire (gun), v., Cé nạtso.","Fix, v., Kàṇ."
"Fire, catch, v., Wạṇ nạ.","Fixed, adj., Kikàṇci."
"Firearm, n., Nyạnkpakuṇnạ.","Flaccid, adj., Mumugi."
"Firebrand, n., Enạ tsokùṇ.","Flag, n., Fángi."
"Firefly, n., Nạbáṇbáṇgi.","Flake, v., Gbiá; Gbiáya."
"Firefighter, n., Enạnùci.","Flamboyant tree, n., Gbangbaragi."
"Fireman, n., Enạshici.","Flame, n., Taranạ; Gintara enạ."
"Fireplace, n., Nạncébà.","Flame, v., Wa taranạ; Wa gintara."
"Fire ring, n., Múfuṇ.","Flamingo, n.,Elú bǒkùṇ."
"Firewood, n., Cigbàṇ nạgúṇ.","Flank, n., Kpàṇgwa."
"Firmament, n., Sòkófìṇ.","Flannelette, n., Dzúlá."
"Firmly, adv., Gbanyi.","Flare, v., Kenạ; Ke enạ."
"First, adj., Bě.","Flash, v., Dzwáṇ; Dzwáṇnạ."
"First, adv., Běbě.","Flash, n., Èdzwàṇ."
"First, n., Èbě Kpátí.","Flasher, n., Nạdzwáṇgi."
"Firstborn, n., Kpinma.","Flask, n., Míṃà."
"Fish, n., Nyikaṇ.","Flat, adj., Pàtà."
"Fish (angle), v., Cé gòrò.","Flat-footed, adj., Bìcí-pàtàci."
"Fish, catch, v., Wạṇ nyikaṇ.","Flat-footedness, n., Bìcí pàtà."
"Fish eagle, n., Èshiàṇ.","Flat-sided, adj., Nìpàtà."
"Fisherman, n., Nyikaṇwạṇci.","Flatter, v., Kóní."
"Fishmonger, n., Nyikaṇkúṇci.","Flaunt, v., Shéyé."
"Fishnet, n., Fomạn.","Flaunting, n.,Yéshé."
"Fishnet (basket), n., Akishi.","Flavin, n., Yaràngi."
"Fishnet (lift net), n., Akowogi.","Flavour, n., Egân."
"Fishnet (big fishing net), n.,","Flaw, n., Zhìku."
"Ankokasa.","Flawed, adj., Kúzhì."
"Fish spear, n., Èfiạn.","Flax, n., Cèyì."
"Fissure, n., Ecîn.","Flaxen, n., Túri."
"Fist., n., Èkò; Gwàkò.","Flay, v., Píṇfè."
"Fit, v., adj., Mì.","Flea, n., Dzànkétégi."
