"Friendship, n., Yàzuṇ.","Funeral, n., Gobi."
"Friend, to make, v., Dáyà.","Fungus, n., Kòdò."
"Frighten, v., Lidàṇ.","Funk, n., Sugi."
"Fright, n., Edàṇli.","Funky, adj., Sunyi"
"Fringe (decoration), n., Dìndzǎ.","Funnel, n., Èrwa; Èlwa."
"Frog, n,, Kwàṇkwà.","Funnel, v., Rwa."
"Frog (bullfrog), n., Dugba.","Funny, adj., Tsanda."
"Frog (green water frog), Dzàgala.","Fur, n., Biṇnì."
"Frog (small water frog), Kèrěgi.","Furious, adj., Jiṇ kùmbuli."
"Frolic, v., Túgǐdìgbà.","Furnace, n., Gubata."
"Frolic, n., Gǐdìgbà.","Further, adv., adj., Èkà."
"From, prep., Fébè.","Furthermore, prep., Bambe acinga e"
"Front, Adj., n., Yégbóró.","be."
"Frontier, n.,Kátígi","Furtive, adj., Sangisangi."
"Frond, n., Elá.","Fury, n., Kùmbuli."
"Froth, n., Pú.","Fuse, v., Vungun."
"Frown, v., Nuyé.","Fuss, v., Bobo"
"Frown, n., Yěnu; Eyénu.","Future, n., Èbè."
"Fruit, n., Suṇsuṇ.","Future, adj., Bèci."
"Fruit bat, n., Èdǎṇ.","Futile, adj., Wonniagi."
"Fruitlet, n., Kpàlà.","Futility, n., Wonnia."
"Frustrate, v., Zùṇtsà.","Fuzzy, adj., Kpusu."
"Frustration, n., Etsàzùṇ.",""
"Fry, v., Kạn.",""
"Fry (deep), v., Ciàn.",""
"Fugitive, n., Lábězhì.",""
"Fulani (nomadic), n., Bòro.",""
"Fulani (settled), n., Gǒyì.",""
"Fulfill, v., Nǔ.",""
"Full, adj., adv., v., Shé.",""
"Full, n., Èshé.",""
"Fulfilment, n., Núnǔnyi.",""
"Fumigate, v., Kpànạwú.",""
"Fun, n., Dzòmǎṇ.",""
"Fun, have, v., Mǎṇdzò.",""
"Fund, n., Gìyě.",""
