"Goof, v., Gbezun.","Granary, n., Dòbǐ."
"Go off (trap), v., Fi.","Grand, adj., Bazhini."
"Go off (bomb), v., Tin.","Grandchild, n., Yagi."
"Goose, n., Duma.","Grandfather, n., Ndako."
"Goosegrass, n., Cincere.","Grandma, n., Nyingbako."
"Go out, v., Dzun dade.","Grand master, n., Ndace. cf."
"Gore (skirt), n., Elo.","Hunter."
"Gorge (valley), n., Tinmi.","Grandmother, n., Nnako."
"Gorgeous, adj., Sari.","Grandmother (maternal), n.,"
"Gorgeousness, n., Sarigi.","Nnakominna."
"Gorilla, n., Galúkó.","Grandmother (paternal), n.,"
"Gospel, n., Labari Wangi; Injila.","Nnakominda."
"Gossip, n., Gangbǎ.","Grand parent, n., Nyamanko."
"Gossip, v., Gbǎgan.","Granite, n., Kisagi."
"Go through, v., Taru.","Granitic, adj., Kisanyi."
"Gourd, n.,  Vodan; Evo.","Granule, n., Kpórokpórogi."
"Gourd (bottle), n., Bàbò.","Granny, n., Kàká."
"Gourd (creel), n., Kondo.","Grape, n., Furuntu."
"Gourd (ladle shaped), n., Kpasà.","Graphic, adj., Káyònyǐ."
"Gourd (large one), n., Gbala.","Graphics, n., Yònyǐká."
"Gourd (tubular), n., Dunguru.","Grapple, v., Din."
"Gourd (unripe), n., Votsun.","Grasp, v., Kpakùn."
"Gourmand, n., Yekaralaci","Grasp, n., Èkùnkpà."
"Gourmandise, n., La yekara.","Grass, n., Egó."
"Gout, n., Wulegi.","Grass (a generic name), n., Etó."
"Govern, v., Gigbata.","Grasshopper, n., Kpǎtô."
"Governance, n., Gbàtàgi.","Grasshopper (small one), n.,"
"Government, n., Gbàtàkùṇ.","Kokondagi."
"Governor, n., Gbàtà.","Grassland, n., Gbegè."
"Gown, n., Bǔlà; Èwò bǔlà.","Grassroots, n., Ètsan."
"Grab, v., Fego.","Grass widow, n., Mạtsú."
"Gradual, adv., adj.,Gbangban","Gratitude, n., Ejinda."
"Graduate, v., Cinkatun.","Gratitude, express, v., Dajin."
"Graft, n., Ètú.","Grave, n., Kòshia."
"Grain, n., Eyigi; Yigi.","Grave digger, n., Kòshiagbaci."
"Grainy, adj., Gigi.","Graveyard, n., Kòshiabà."
