"Gravel, n., Ciakia.","Grinder (corn), n., Kanga."
"Gravid, adj., Wangi.","Grindstone, n., Ganzhe."
"Gray, n., adj., Kpàyigi.","Grip, v., Wangwa."
"Gray matter, n., Tíkoro;","Gristle, n., Yadi."
"Etíkokorogi.","Grit, n., Tsakugi."
"Graze, v., Ma.","Gritty, adj., Tsaku."
"Grease, n., Roro.","Groan, v., Zhidùṇ."
"Great, adj., Wáṇcíṇ; Wáṇcíṇko.","Groan, n., Edùṇzhi."
"Great grandchild, n., Èyà.","Groom, n., Enú."
"Greatness, n., Cíṇwáṇ.","Groomsman, n., Eya bayawo."
"Greed, n., Boyéfá.","Groove, n., Edin."
"Greedy, v., Fàboyé.","Grope, v., Kagwá."
"Greedy person, n., Boyéfáci.","Gross, adj., Puga."
"Greek, n., Giriki.","Ground, n., Kin; Èkin."
"Green, n., Ègi.","Ground, v., Kin."
"Green (deep green), n., Aliga.","Ground (dregs), n., Cekigi."
"Green (light green), n., Korina.","Ground beans, n., Edzu; Yédzu."
"Green (vegetable), n., Zongbara.","Groundnut, n., Guzhia."
"Green beans, n., Zongbara.","Groundnutoil, n., Roró; Emi kuli;"
"Greenery, n., Finniko.","Emi guzhia."
"Greenfly, n., Bìgǐ.","Groundnut (fried), n., Sharuwa."
"Green locust fruit, n., Nyangudu.","Grounds, n., Tsaki."
"Greet, v., Sami.","Groundwork, n., Muci."
"Greeting, n., Emisa.","Group, n., Ègbè."
"Grey, n., adj., Nampata.","Grouse, n., Kparo."
"Grief, n., Sisâṇ.","Grow (animal), v., Sa."
"Grieve, v., Sâṇ.","Grow (plant), v., Nyapá."
"Grill, v., Tsan.","Grown-up, n., adj., Dángáṇ."
"Grilled meat, n., Basanta.","Growth, n., Sisa."
"Grim, adj., Nampata.","Grub, n., Shiàrià."
"Grimace, v., Fanye.","Grub (larva), n., Kontoro."
"Grimace, n., Eyefan.","Grubby, adj., Kwani."
"Grimy, adj., Swakwa.","Gruel, n., Kàtsáṇ."
"Grind, v., Go.","Grueling, adj., Kpankuru."
"Grind, n., Ego.","Grumble, v., Giṇtìṇ."
"Grinder, n., Etá.","Grumble, n., Etìṇgiṇ."
