"H","","Hand (back of), n., Egwa zunma."
"","","Hand, give a, v., Dangwa."
"Habit, n., Ebó.","",""
"","","Hand (six-fingered), n., Edangi."
"Habour, n., Kpatako.","",""
"","","Handball, n., Kompagwa."
"Hack, v., Kià.","",""
"","","Handgun, n., Adamagi."
"Hades, n., Kumi; Eku emi.","",""
"","","Handkerchief, n., ."
"Hail, n., Takun Soko.","",""
"","","Handle, n., Efú."
"Hailstone, n., Takunle.","",""
"","","Handle, v., Fú."
"Hair, n., Enyì.","",""
"","","Handspin, n., Garagi."
"Hairbrush, n., Shentigi.","",""
"","","Handspin, v., Wa garagi."
"Hair dresser, n., Tinti.","",""
"","","Hang (on wall), v., Ban."
"Hair, keep, v., Sheti.","",""
"","","Hang (on frame), v., Ha."
"Hairless, adj., Kólómbó; Kórómbó.","",""
"","","Hang (on body), v., Dan."
"Hairpin, n., Tile.","",""
"","","Hank, n., Tswanigi."
"Hairy, adj., Fùrùyǐ.","",""
"","","Handbag, n., Namfa"
"Hajj, n., Haji.","",""
"","","Handball, n, Èkògwa."
"Hajji, n., Alazhi; Alaji; Alhaji.","",""
"","","Handbreadth, n., Taka."
"Half, n., Ganfi.","",""
"","","Handclasp, n., Tafigo."
"Half-baked, adj., Kpalala.","",""
"","","Handcuff, n., Gbogbogwa."
"Half-brother, n., Tsogi bagi.","",""
"","","Handiwork, n., Tutungwa."
"Half-caste, n., Lanká.","",""
"","","Handkerchief, n., Edesagi."
"Half-hearted, adj., Gwalagwala.","",""
"","","Handle, n., Gwagi."
"Half-sister, n., Tsogi nyizagi.","",""
"","","Handle (for knife), n., Efú."
"Hall, n., Katambako.","",""
"","","Handle, v., Cegwa."
"Hallucinate, v., Núna.","",""
"","","Handout, n., Sajeta."
"Hallucination, n., Nanú.","",""
"","","Hand-rest, n., Gwata; Egwata."
"Halter, n., Ragaman.","",""
"","","Hand, shake, v., Yagwa."
"Halterbreak, v., Jin ragama.","",""
"","","Handshake, n., Egwaya."
"Halterbreaking, n., Ragama.","",""
"","","Handspring, n., Garagi."
"Halter-rope, n., Alisawoli.","",""
"","","Handspring, turn, v., Zhegaragi."
"Halve, v., Ganfi.","",""
"","","Handwork, n., Etungwa."
"Hamlet, n., Tungagi.","",""
"","","Hang (suspend), v., Ban."
"Hammer, n., Ètsu.","",""
"","","Hang (strap), v., Dan."
"Hammer, v., Kan; Kantsu.","",""
"","","Hanging, n., Biban."
"Hammer (gun), n., Ekpati nạtso.","",""
"","","Hank, n., Yikaya."
"Hamper, n., Gunmi.","",""
"","","Honour, v., Màmà."
"Hand, n., Egwa; Egwa kperegi.","",""
"","84",""
