"Herbalist, n., Gbénya.","Hillock, n., Kùnkùn."
"Herd, v., Kan.","Hilt, n., Dùṇmǔ."
"Herdsman, n., Enakanci.","Him, n., pron., U; Wun; Nwi"
"Here, adv., Babo.","Himself, pron., Wuntso."
"Hereafter, n., Èku.","Hinge, n., Kere."
"Heritage, n., Ègbâshì.","Hinterland, n., Kinti."
"Here it is, v., Wun dana.","Hip, n., Eshin."
"Hernia, n., Epo.","Hippopotamus, n., Kankuru."
"Hero, n., Maza.","Hire, v., Jin lada."
"Heron, n., Nyiwanyiwa","Hiring, n., Ladajin."
"Herpes, n., Ena.","Hiss, v., Latswáṇ."
"Herself, pron., Wuntso.","History, n., Ètàṇ."
"Hesitate, v., Jin tanti.","History, relate, v., Kpiṇtàṇ."
"Hesitation, n., Tantitanti.","Hit (punch), v., Danya."
"Hew, v., Mi.","Hither and thither, adv., Celo"
"Hex, n., Tágùṇ.","cezhin."
"Hex- , pref., Tágùṇci.","Hives, n., Eshiko."
"Hexa- ,pref., Tágùṇci.","Hoary, adj., Alugbo."
"Hexamine, n., Sạnmạgitágùṇci.","Hobble, v., Gbashì."
"Hibernate, v., Geyé.","Hobble (rope), n., Kondorogi."
"Hiccough, v., Shíkià.","Hockey, n., Gòròkùṇ."
"Hiccough, n., Ekiàshí.","Hoe, n., Dugba."
"Hidden, adj., Susoci.","Hoe (small one), n., Pótóníṇyàgi."
"Hide, v., So.","Hoe (a medium-size type), n.,"
"Hide, n., Kpana.","Katampà."
"Hide-and-seek, n., Wurúngi","Hoe (a large one), n., Zukùṇ;"
"Hide-and-seek, play, v.,","Zukùṇkó."
"Kpewurúngi.","Hoe (very large one), n., Dugbashe."
"Hideout, n., Èsóbà.","Hoe (for weeding), n., Dàmpara."
"High, adj., adv., Keto.","Hoe, v., Bán."
"High-level, adj., Gbabara.","Hoe (slang), v., Gbofú."
"High priest, n., Zhìgì.","Hoe (slang), v., Gbonu."
"High-spirited, adj., Wonakan.","Hog, n., Suriagi."
"Highway, n., Dzùko.","Hogweed, n., Tankpolo nyila."
"Hill, n., Epé.","Hoist, v., Dzu."
"Hill (small), n., Fèlělègǐ.","Hoist, n., Kpako."
