"Hurry, v., Sáṇnîn."
"Hurrying, n., Nînsáṇ."
"Husband, n., Eba."
"Husband-snatcher, n., Ebágògi."
"Hush, v., Vo."
"Hushed, adj., Tsunyi."
"Husk, n., Barwa."
"Husky, adj., Danci."
"Hustle, v., Jin bakanta."
"Hustler, n., Bakanta."
"Hut, n., Èvuṇ."
"Hut (barn), n., Gbàvuṇ."
"Hutch, n., Shiga."
"Hyacinth bean, n., Finzo."
"Hydride, n., Mạnuwạnri."
"Hydrochloric acid, n., Tsàrìgi"
"Gónumạnu."
"Hydrochloride, n., Gónumạnugi."
"Hydrogen, n., Mạnu; Mạnuwạngi;"
"Yémạnuwạngi."
"Hyena, n., Màkuṇduṇnu."
"Hyper-,prefix, -céci; cicéci."
"Hyperactivity, n., Bibákàncéci."
"Hypertension, n., Egiagun; Giagun."
"Hypocrisy, n., Dàngida."
"Hypocrite, n., Dàngidaci."
"Hysteria, n., Kpatatsozhi"
"Hysteric, n., Kpatatsogi"
