"Indigo tree, n., Ecin.","Information, n., Èkà; Èkàṇyǎ."
"Indisposition, n., Efugi.","Ingot, n., Tíkàṇ; Tíkàṇ nyạnkpa."
"Individual (person), n., Zaye.","Ingrate, n., Ṃànáwoci."
"Individual (separate), n., adj., Kato.","Inhalation, n., Yefo; Eyefo."
"Individually, adv., Zayezaye.","Inhale, v., Foye; Fo eye."
"Indolent, adj., Langba.","Inherit, v., Gigun."
"Indurate, v., Wu gbansan","Inheritance, n., Egun."
"Indurating, n., Gbasanwu.","Iniquity, n., Zunnubi."
"Industrial, adj., Bájiṇtuṇci.","Initial, adj., Kánká"
"Industrialisation, n., Bájiṇtuṇciba.","Initiate, v., Shigbàṇ."
"Industrialise, v.,  Babájiṇtuṇci.","Initiative, v., Ègbàṇshi."
"Industrious, adj., Bájiṇ.","Inject, v., Tsukin."
"Industry (hard work), n., Bibájiṇ.","Injection, n., Kintsu."
"Industry, n., Bájiṇtuṇ.","Injudicious, adj., Tabazhi."
"Inept, adj., Watawata.","Injure, v., Nyibà."
"Inert, adj., Kpianku.","Injury, n., Ebànyi."
"Inexperienced, adj., Zana.","Ink, n., Ècìṇ."
"Infamous, adj., Tiabi.","Inkpot, n., Mangegi ècìṇ."
"Infant, n., Bíbí.","In-law, n., Yělè."
"Infect, v., Kuká.","Inn, n., Danín; Eda nín."
"Infection, n., Kukuká.","Inner city, n., Zhinin."
"Inferior, adj., Damạngi.","Innermost, adj., Níním."
"Inferiority, n., Damạn.","Innovate, v., Saye."
"Inferno, n., Enabara","Innovation, n., Yesa; Eye sa."
"Infertility, n., Èshè.","Innumerable, adj.,Gwasan."
"Infidel, n., Kafiri.","Inoffensive, adj., Fu."
"Infidelity, n., Gbanyí.","Inordinate, adj., Kwatswa."
"Infinity, n., Sanagudu.","Inquire, v., Gbâye."
"Inflame, v., Ce kpotun.","Inquisitive, adj., v., Giliri."
"Inflammation, n., Kpotunce.","Inquisitiveness, n., Lirigi."
"Inflate, v., Jin puga.","Inquisition, n., Liri."
"Inflated, ad., Puga.","Insane, adj., Jací."
"Influence, v., Sáṇbàṇ.","Insanity, n., Èjà."
"Influence, n., Ebàṇsáṇ.","Insect (crawling), n., Nyasosongi."
"Influenza, n., Rusugi; Cingun rusugi.","Insect (flying), n., Nyafungi."
"Inform, v., Ṇyàkà.","Insert, v., Fě."
