"Insert, n., Èfěgi.","Insurance, n., Nyạgbànbá."
"Insertion, n., Fifě.","Intact, adj., Gunguru."
"Inside, prep., Nin; Ninbo.","Intake, n., Gínyi."
"Inside, n., Nin; Ninbo.","Integer, n., Fenigi; Fennyi gi."
"Inside out, adj., Bodi; Eyebodi.","Integral, adj., Fennyi."
"Inside out (cloth), adj., Bodi.","Integrate, v., Jin fenigi."
"Inside out, adj., adv., Bodi; Eye bodi.","Integration, n., Fenigijin."
"Insight, n., Pasali.","Intelligence, n., Yěṃà."
"Insinuate, v., Jin mariko.","Intelligent, adj., De yěṃà."
"Insinuation, n., Mariko.","Intelligent person, adj.,Yěṃàdeci."
"Insipid, adj., Warika","Intend, v., Shìkpà."
"Insist, v., Giba.","Intense, adj., v., Tsana."
"Insistence, n., Gigiba.","Intensify, v., Tsana."
"Insolence, n., Etiyele.","Intensity, n., Natsan; Enatsan."
"Insolent, n., Letiye.","Intention, n., Ekpàshì; Kpàshì."
"Inspiration, n., Luwaya.","Intentionally, adv., Shìkpàshì."
"Instance (example), n., Misali.","Inter alia, v., Nimi azhi o."
"Instant, n., Gbogi.","Interact, v., Lena."
"Instantly, adv., Gbogiani.","Interaction, n., Nale; Enale."
"Instability, n., Mamagi.","Intercede, v., Baye."
"Instantaneously, adv., Piakwanyi.","Intercession, n., Yèbà."
"Instead, adv., Goma; Gomaga.","Intercept, v., Cédzùṇ."
"Instep, n., Bici zunma.","Interest, n., Èfà."
"Instigate, v., Sawun.","Interest (in commerce), n., Shiàshià."
"Instigation, n., Ewunsa.","Interested, be, v., Fàyě."
"Introspect, adj., Dannyi.","Interest, show, v., Fàyě."
"Instruct, v., Wutun.","Interfere, v., Cegwazun."
"Instruction, n., Tunwu.","Interference, n., Gwacezun."
"Instructor, n., Tunwuci.","Intermittent, adj., Kandokando."
"Instrument, n., Nyatunwugi.","Intern, v., Dzu; Dzukun; Dzu ekun."
"Instrumental, adj., v., Jin","Instigate, v., Sawun."
"nyatunwugi.","International, n., Kinmacidozhi."
"Insufficient, adj., adv., v., Gba.","Interpret, v., Goyegan."
"Insult, v., Gitomi.","Interpretation, n., Gugoyegan."
"Insult, n., Tomi; Tomigi.","Interpretation, n., Gugoyegan."
"Insure, v., Bányạgbàn; Bá nyạgbàn.","Interpreter, n., Gogan; Gogayeganci."
