"Interrogate, v., Nyabo.","Involve, v., Dangwa."
"Interrogative article, n., Bô.","Involved (complicated), adj.,"
"Interrupt, v., Figbê.","Gbagagidi."
"Interruption, n., Gbêfi.","Inward, adv., Nin nin."
"Interval, n., Gandan.","Ire, n., Funtsu."
"Intervene, v., Dan gan mi.","Irate, adj., Jin Funtsu."
"Intestine, n., Edzungi.","Irish potato, n., Duku Nasara."
"Intimacy, n., Sabo.","Iroko, n., Wuchi; Roko."
"Intimate, adj., De sabo.","Iron, n., Nyạnkpa."
"Intimate, v., Yifefi.","Iron, v., Ko."
"Intimidate, v., Dobafi.","Ironweed, n., Egiagi."
"Intimidation, n., Ebadofi.","Ironweed (small one), n., Tsula"
"Intoxicate, v., Gbạṇ.","bishe."
"Intoxication, n., Gbigbạṇ.","Ironworker, n., Kpankpagi."
"Intractable, adj., Cingan.","Irrigate, v., Ta nuwan."
"Intricate, v., De doninya.","Irrigation, n., Nuwanta."
"Intricacy, n., Doninya.","Irritable, adj., Fú."
"Introduce, v. Kpinsun.","Irritate, v., Gě."
"Introduction, n., Sunkpin.","Irritation, n., Funtsusun."
"Intrusive, adj., Koye.","Is (be), v., Yi."
"Intrusiveness, n., Koyekoyegi.","Is (continuous), v., Ga e."
"Inundate, v., Fugi.","Is, adv., Mạ."
"Inundation, n., Efugi.","Is it? Adv., Beke… na."
"Inure, v., Gba naka.","Is that so? Adv., Ko?"
"Invention, n., Dzóndzóró.","Island, n., Esùṇ."
"Invent, v., Dzóró.","Isle, n., Kòsùṇ."
"Inverted, adj., Dibi.","Isolate, v., Badan."
"Invest, v., Dzo.","Israel, n., Isirayila."
"Investigate, v., Kpinba.","Issue (disease), n., Tsaratsoro."
"Investigation, n., Bakpin.","It, pron., U; Wun; Wuncin."
"Investment, n., Wúfạn; Awúfạn.","Itch, v., Lé."
"Investor, n., Zawúfạn.","Itch, n., Lilé."
"Invisibility medium, n., Bazhiko.","Itching, n., Lile."
"Invitation, n., Kanyà.","Item, n., Nyạkàn."
"Invite, v.,Nyànka.","Itself, pron., Wuntso."
"Invoke, v., Bú.","Ivory, n., Nyikan dagba."
