"J","","","Jihad, n., Jìhádì."
"","","","Jingle, n., Èsàṇ; Sàṇgi; Èsàṇgi."
"Jackal, n., Shìgbi.","","",""
"","","","Jinn, n., Layi."
"Jackboot, n., Kubutako.","","",""
"","","","Jitters, n., Korokoro."
"Jacket, n., Ewògi.","","",""
"","","","Jittery, adj., Korokoronyi."
"Jack-in-the-pulpit, n., Duku dagba.","","",""
"","","","Job, n., Lìṃà."
"Jack knife, n., Agbori.","","",""
"","","","Jockey, v., Tudo; Tu doko."
"Jack-knife, n., Angbori.","","",""
"","","","Jockey, n., Dotuci."
"Jagged, adj., Kari.","","",""
"","","","Jog, v., Sheshin"
"Jail, n., Lédú.","","",""
"","","","Jogging, n.,Shinsheci; Eshinsheci."
"Jail house, n., Èmì lédú.","","",""
"","","","John, n., Yàhàya."
"Jamboree, n., Kwadzwa.","","",""
"","","","Join (bring together), v., La keba."
"Jam-packed, adj., Patampa.","","",""
"","","","Join (unite), v., Fin."
"Jar, n., Shákùn.","","",""
"","","","Join (fix together), v., Gun."
"Jatropha, n., Kpetèyǐ.","","",""
"","","","Join hands, v., Lagwa fin dozhi."
"Javelin, n., Zara; Zaragi.","","",""
"","","","Joint (body), n., Bagun; Bagun."
"Jaw, n., Gbakun.","","",""
"","","","Joint (materials), n., Kúnyí."
"Jawline, n., Lakín.","","",""
"","","","Join (mutual), adj., Lògun."
"Jay, n., Biyakogi.","","",""
"","","","Joist, n., Bala."
"Jazz, n., Jazì.","","",""
"","","","Jolliness, n., Dzoga; Edzoga."
"Jealous, adj., La nyạgbàṇ.","","",""
"","","","Jollof rice, n., Jenkafa luluci."
"Jealousy, n., Nyạgbàṇla.","","",""
"","","","Jolly, adj., Gadzo."
"Jelly, n., Gbiadiagi.","","",""
"","","","Jolt, v.,Dofi"
"Jelly-like, adj., Gbiadia.","","",""
"","","","Journey, v., Da zanko."
"Jerboa, n., Kpokangi.","","",""
"","","","Journey, n., Zanko."
"Jerk, v., Kpàfùrù.","","",""
"","","","Journeyer, n., Ndǎzanko."
"Jerk, n., Fùrùkpà.","","",""
"","","","Jovial, adj., de raha."
"Jerked beef, n., Nạkàṇkpàci;","","",""
"","","","Joviality, n., Rahade."
"","Nạkàṇkpikpàci.","",""
"","","","Jovialness, n., Raha."
"Jesus, n., Yìsà.","","",""
"","","","Jowl, n., Eman."
"Jet (black), adj., Kpiri.","","",""
"","","","Joy, n., Ema."
"Jew, n., Yawudi; Yahudi.","","",""
"","","","Judder, v., Miamia."
"Jewel, n., Gbadu.","","",""
"","","","Juddering, n., Miamianyi."
"Jewelry, n., Gbaduni.","","",""
"","","","Judge, n., Zàwâ."
"Jew’s harp, n., Fàkàfàkà.","","",""
"","","","Judge, v., Gábó."
"Jew’s mallow, n., Ayoyo.","","",""
"","","","Judgment, n., Ebógá; Bógá."
"Jiggle, v., Kpekpe.","","",""
"","","97",""
