"Judgement Day, n., Efo Bógá."
"Judger, n., Bógáci; Ebógáci."
"Judiciary, n., Bógábà."
"Jug, n., Lûlû."
"Juice, n., Mikò."
"Jumble, v., Zhevun."
"Jumble, n., Vunzhe; Evunzhe."
"Jump, v., Ja; Jamfùrù."
"Jump, n., Fùrù;Fùrùja."
"Jumping, n., Jijamfùrù; Jija."
"Junction, n., Èkósá; Yèkósá."
"Jungle, n., Kúcí."
"Junior, n., Màdè."
"Junior (sibling), n., Gwazunma."
"Junk, n., Gbwadzwa."
"Just, adv., Jányí."
"Just, adj., Nạgbá; Nạ egbá."
"Justice, n., Gbánạ."
"Just in case, conj., Abekena."
"Justify, v., Ligbánạ; Li egbánạ."
"Jute (plant), n., Ayoyo."
