Surah 12:2  ,   We have sent it down as an Arabic Qur´an in order that ye may learn wisdom.,Hakika Yi ga cin'u beo Alkur'anu uyio be zhimi larabci ujin wo be (gbigba) uyin ye ga'ade hankali.
Surah 12:3      ,         We do relate unto thee the most beautiful of stories in that We reveal to thee this (portion of the) Qur´an: before this thou too was among those who knew it not.,Yi gaa ya wyoe labari etan na gyegan nao be iri wahayi na yi jin ya wyoe be Alkur'anu nanae na. Hakika ma wyoa fe shidzo kafi Alkur'anu na wyo dan mini zanazhi de kpikpe wun'a na.
Surah 12:4 ,             Behold! Joseph said to his father: "O my father! I did see eleven stars and the sun and the moon: I saw them prostrate themselves to me!",(Wyo mao pa) kamina (Annabi) Yusufu gangan ya babau na: Ya wyoe baba mi! Hakika mi lr tswangi guwo be'ni ye to igidi to etswa mi lea ye afejin sujada ya mi.
Surah 12:5   ,           Said (the father): "My (dear) little son! relate not thy vision to thy brothers lest they concoct a plot against thee: for Satan is to man an avowed enemy!,Ugan: Ya wyoe egimi! G a la labari ena na wyo na-na ya yegi wyozhi ma kacin'a a jin tanadi dede ya wyoe Hakika shetan makiri u yio na'atula na ya zawangi.
Surah 12:6,                        "Thus will thy Lord choose thee and teach thee the interpretation of stories (and events) and perfect His favour to thee and to the posterity of Jacob - even as He perfected it to thy fathers Abraham and Isaac aforetime! for Allah is full of knowledge and wisdom.",Be acingae gama Tsoci wyoe wyun'a tsa wyo yo umaa wu wye kpikpe fasara enazhio uma ga ni'imau shekpan ya wyoe to iyali Ya'kubu zhi kendoe ula'u shekpan ya yanmanci wyozhi guba ba na a gayi Ibrahima be Ishaka yin'o. Hakika Tsoci wyoe Etsu kpikpe uyio Etsu hikima uyio.
Surah 12:7  ,    Verily in Joseph and his brethren are signs (or symbols) for seekers (after Truth).,Hakika ayazhi dan bo nazhie wugwa zankpe Soko na dan labari Yusufuo be yegiuzhi ya za nazhi gae gbin gan na.
Surah 12:8   ,           They said: "Truly Joseph and his brother are loved more by our father than we: But we are a goodly body! really our father is obviously wandering (in his mind)!,(Wyo mao pa) kamina a gangan: Hakika baba yi yebo Yusufu be yegiu yin yi. Yima dan na jamaa nadokun na. Hakika baba yi dan mini bicicin'o na'a tula na.
Surah 12:9    ,         "Slay ye Joseph or cast him out to some (unknown) land that so the favour of your father may be given to you alone: (there will be time enough) for you to be righteous after that!",Yea Yusufu wu koma yeu ce da kin ndoci (ye ga jin acin) fuska baba ye ga'azhe zhin eba ye ye ma ga'azhe eza kirikizhi zunmau bo.
Surah 12:10,               Said one of them: "Slay not Joseph but if ye must do something throw him down to the bottom of the well: he will be picked up by some caravan of travellers.",Egan ganci ndoci miniabo cigan: Ega wu Yusufu ma; ye deu ce gun gushe zhiko yan -- gao kodagba nazhie dazan za na'abe deu la uga'a ye ye gan' acinga yea jin'o na.
Surah 12:11 ,         They said: "O our father! why dost thou not trust us with Joseph- seeing we are indeed his sincere well-wishers,Aci gan: Ya wyoe babayi! Ki'ila'otso wyo cie ya yi gaskiya eti egan Yusufu boa yin'o Ala'alima yi zanazhia tswau na yi yio.
Surah 12:12    ,   "Send him with us tomorrow to enjoy himself and play and we shall take every care of him.",U'u la'adan mini yibo esun udau kpa dabbazhi umau dzodzo hakika za nazhia fe tswauna yi yio.
Surah 12:13,            (Jacob) said: "Really it saddens me that ye should take him away: I fear lest the wolf should devour him while ye attend not to him.",Ugan: Hakika luilo ye beu yin wun'a nyin mi yangban mi mae sundan ye be da yau ye har makundunu beu wangi ma.
Surah 12:14  ,      They said: "If the wolf were to devour him while we are (so large) a party then should we indeed (first) have perished ourselves!",Agan: Hakika ma makundunu gau wangi yi mazhina jama'a nazhi gboka na uga bea fe acin hakika yi yia zunya.
Surah 12:15,                So they did take him away and they all agreed to throw him down to the bottom of the well: and We put into his heart (this Message): ´Of a surety thou shalt (one day) tell them the truth of this their affair while they know (thee) not´,To kamina a be da beu yin na a emi gun eti de a la wyun'a ce'agun gushe zhiko yan -- gao; yi ma jin wahayi yau gan: Wallahi (fondoci) wyoa be ya'a labari alamari na'adan y ninbo da'a na alaali ma a kpe gan acinga Sokoa jni'a.
Surah 12:16   ,Then they came to their father in the early part of the night weeping.Aci dazhin eba baba'azhi lokaci ishae aci fe ti gi.
Surah 12:17      ,           They said: "O our father! We went racing with one another and left Joseph with our things; and the wolf devoured him.... But thou wilt never believe us even though we tell the truth.",Agan: Ya wyoe babayi! Hakika yida bana yi fe da dzodzo yan eci bi (gan na sa) na yicia Yusufu ci eba karayi zhio makundunu ci beu wagi. Wyo ma'a yayi gaskiya'a kadaa ma wyun'ayi gaskiya taci zhi yi yio na.
Surah 12:18          ,       They stained his shirt with false blood. He said: "Nay but your minds have made up a tale (that may pass) with you (for me) patience is most fitting: Against that which ye assert it is Allah (alone) Whose help can be sought"..,Aci be be egya ganmanae dan ewoubo. Baba'a ci gan: ujin'acin'a yangban ye de wun'a alamari ndoci pa yaye. Ebo acin'o mide yandocia jin'a sai de hakuri natso yi wangi na. Soko ga mayi Etsu na mia wa taimako be yin eti bojin nazhi ye jin nao.
Surah 12:19         ,      Then there came a caravan of travellers: they sent their water-carrier (for water) and he let down his bucket (into the well)...He said: "Ah there! Good news! Here is a (fine) young man!" So they concealed him as a treasure! But Allah knoweth well all that they do!,Lokaci na kodagba ndocizhi be naa zaeni tun na'ada wa nuwan be ya'a na ucia evo -- gau ce gun -- gao uci gan: E yan yangbanfa dan na re! Egi dzakangi danna. Aciu swo ke kaya yankunci na. Soko ma yi be kpikpe etun nazhi afe lo na.
Surah 12:20   ,     The (Brethren) sold him for a miserable price for a few dirhams counted out: in such low estimation did they hold him!,Aciu kun kpwakpwa be (ewo) dirhami nayi bibici na. Acia fe za nazhie wo ninfu be eyan degi etiubo na.
Surah 12:21      ,                         The man in Egypt who bought him said to his wife: "Make his stay (among us) honourable: may be he will bring us much good or we shall adopt him as a son." Thus did We establish Joseph in the land that We might teach him the interpretation of stories (and events). And Allah hath full power and control over His affairs; but most among mankind know it not.,Za nama shiu dagan Masario (misra) na cia gan ya yin iu gan: A gwa sun'u be boloboloe ujin wo ulau fe anfaniu ya yi koma yi la wyun'yla egi. (Soko gan:) Be acingae ga yi la kinigi ba ya Yusufu ta ti kinbo ebona ma yi wu'u fasara yan enazhi na. Soko ma Etsu zankpe uyio dan mini alamariu bo ama'ade ekundondo zawangizhi a kpea.
Surah 12:22,        When Joseph attained His full manhood We gave him power and knowledge: thus do We reward those who do right.,Kamina u bea kun za ciajin baligi na Yi ciu ya hikima be ilimi. Acinga ga Yie la egagba ya zanazhi gae jin bolo-bolo nao.
