Surah 19:1 ,Kaf. Ha. Ya. ´Ain. Sad.,KAF HA YA AIN SWAD
Surah 19:2,   (This is) a recital of the Mercy of thy Lord to His servant Zakariya.,(Nana ) ye tun uyio yan iri yegun yan Tsoci wyoe na'Ujin ya wuzhi'u Zakariya'u na.S
urah 19:3,    Behold! he cried to his Lord in secret,Yan kamina u yi Tsoci'u ye u ci fe ba'u yan swiswoci na.
Surah 19:4     ,        Praying: "O my Lord! infirm indeed are my bones and the hair of my head doth glisten with grey: but never am I unblest O my Lord in my prayer to Thee!,Ugan:"Tsoci hakika tsukun nakan kpace mi mi zhi'a to gbogun eti mi kpata ma'a she be tinyin bokun'y Tsoci mi ma jin eza ti'abi eba jin jin aduwao be ba wyo ya'a.
Surah 19:5   ,         "Now I fear (what) my relatives (and colleagues) (will do) after me: but my wife is barren: so give me an heir as from Thyself-,Hakika ma mide dansun ya dangi mizhi (na a'a be gigun etun adini nana) zunma mi boa na. Yinmi mi ma kezhe'afe mara (na la'a magi leana) ebo acin'o twa-mirya be egi na'ayi taimako jin ci na dagan nko wyo bo.
Surah 19:6   ,    "(One that) will (truly) represent me and represent the posterity of Jacob; and make him O my Lord! one with whom Thou art well-pleased!",Na'a gi gun mi na uma'a gigun za mi Yakubu zhi na; Tsoci wyo mao la wyun'ofe egi na wyoa jin yeda be yin na.
Surah 19:7  ,         (His prayer was answered): "O Zakariya! We give thee good news of a son: His name shall be Yahya: on none by that name have We conferred distinction before.",(A ci be gan'u gan) wyoe Zakariyau! Yie jin wyoe bushara be dide egi na sunna wyun'ayi Yahya na Yima la'a la sunna nana ya zandoci shidzo lea.
Surah 19:8     ,        He said: "O my Lord! How shall I have a son when my wife is barren and I have grown quite decrepit from old age",Ugan: "Tsoci mi! ke wun'a zhezhe mi ci de egi nao ala'ali ma yinmi ma'afe maara nao mitso ma dan-na miatun legen lege eba nunsabo bo
Surah 19:9   ,          He said: "So (it will be) thy Lord saith ´that is easy for Me: I did indeed create thee before when thou hadst been nothing!´",(Mala'ika) ci gan:"Acinga ga Tsoci wyo gan'o" wuncin eyan finfanci uyi eba Mi bo ngan na Mi ca jin jin wyoe mafari na wyo fe yandondo shiboa.
Surah 19:10     ,       (Zakariya) said: "O my Lord! give me a Sign." "Thy Sign" was the answer "Shall be that thou shalt speak to no man for three nights although thou art not dumb.",Ugan:"Tsoci mi! A' alama ndoci la'ashishi ya mi (na mi ga'a kpe ewande yinmi mi ye na)." (Soko) ci gan: "Alama'u ga yi cinbo yan egan gan (yan yinmi wyoe) be zawangizhi har yan efo guta gboro.
Surah 19:11     ,     So Zakariya came out to his people from him chamber: He told them by signs to celebrate Allah´s praises in the morning and in the evening.,Gancin (Zakariyau) cia dzunfi jama'a yan'uzhi dagan masallacio uci tagwa la wua gan; efe li Soko to laazhi to lozun.
