Surah 23:1  , The believers must (eventually) win through-,Hakika muminizhi'ade robo.
Surah 23:2   , Those who humble themselves in their prayers; ,(Agayi) Zanazhie da ti cici eba sallao nao.
Surah 23:3 ,   Who avoid vain talk;,To za na zhie panti ke edzo banza lugwa na.
Surah 23:4  , Who are active in deeds of charity;,To za nazhie wa zakka dukiya'azhi na.
Surah 23:5,   Who abstain from sex,To za nazhie la tswitswa dan kafaazhi na.
Surah 23:6   ,      Except with those joined to them in the marriage bond or (the captives) whom their right hands possess- for (in their case) they are free from blame,Sai de be nyinmi'azhi ko be wuzhi nazhi ade (ekun yan musuluncio na) to zawuncinzhi lefi ndondo danbo ya aa.
Surah 23:7    ,  But those whose desires exceed those limits are transgressors;-,Zaeni ndondo na ga da wo shahawau eko ndocio najin nana'a na to zawuncinzhi ga yi gbugbukecizhio.
Surah 23:8 ,   Those who faithfully observe their trusts and their covenants;,To zanazhie la tswitswa dan amaana'azhi to alkawali zhi na.
Surah 23:9 ,   And who (strictly) guard their prayers;-,To zanazhie la tswitswa dan salla'azhio na.
Surah 23:10  ,These will be the heirs,Zawuncinzhi gayi egun gicizhio.
Surah 23:11 ,    Who will inherit Paradise: they will dwell therein (for ever).,Za nazhia gi gun Aljanna Firdausi na ama ga'ajin dawwama fibo.
Surah 23:12    ,  Man We did create from a quintessence (of clay);,Hakika Yi jin alitta yan zawangi dagan egun yan jikan'na nayi tsakae na.
Surah 23:13  ,   Then We placed him as (a drop of) sperm in a place of rest firmly fixed;,Gancin Yiciu la zhe maniy fi mini danna yan tswitswaci na.
Surah 23:14     ,               Then We made the sperm into a clot of congealed blood; then of that clot We made a (foetus) lump; then we made out of that lump bones and clothed the bones with flesh; then we developed out of it another creature. So blessed be Allah the best to create!,Gancin  Yicia maniy la'uzhe egya tsuntsunci egya wuncin Yiciu la zhe nakan tsoka Yicia tsoka wuncin;ola'azhe tsukunzhi Yicia nakan la'akpe tsukun wuncin gancin Yiciu laafe alitta ndoci. Hakika albarka Sokoa latu wyunga mayi Egban-ko dan jin-jin alittazhi bo.
Surah 23:15 ,   After that at length ye will die,Gancin ma hakika baaci wuncin'o yea bea jin ajali.
Surah 23:16  ,  Again on the Day of Judgment will ye be raised up.,Gancin ma hakika efo Alkiyamiy yi ga ye la'a nakin.
Surah 23:16    ,Again on the Day of Judgment will ye be raised up.,Gancin ma hakika efo Alkiyamiy yi ga ye la'a nakin.
Surah 23:17  ,       And We have made above you seven tracts; and We are never unmindful of (our) Creation.,Hakika ma Yi jin alitta yan sanma gutwaaba ta ti'ta yebo Yima yaye ke alita Yizhi lugwa'a.
Surah 23:18   ,         And We send down water from the sky according to (due) measure and We cause it to soak in the soil; and We certainly are able to drain it off (with ease).,Yi ma du ele yaye dagan sanmao be gwargwado bukaata yeyin Yici'u la'a fedun fi kinbo hakika Yima gboka na Yia lau keya bo wo na.
Surah 23:19 ,           With it We grow for you gardens of date-palms and vines: in them have ye abundant fruits: and of them ye eat (and have enjoyment)-,Yi ci jin bata dobinazhi to yan inabizhi yaye be U yin. Ye mae de yangici sun-sunzhi to yan finnizhi nazhi yi yan eman-wozhi dokun na miniubo ye mae de yangici gi dagan miniubo.
Surah 23:20  ,      Also a tree springing out of Mount Sinai which produces oil and relish for those who use it for food.,To cigban ndoci nae nyin tinya dagan pati yan Turi Sina'iona wun'e la emi yan (zaituni) tinya to emi ndoci zhi nae la gi yangici na.
Surah 23:21 ,             And in cattle (too) ye have an instructive example: from within their bodies We produce (milk) for you to drink; there are in them (besides) numerous (other) benefits for you; and of their (meat) ye eat;,Hakika ma mini dabba yan eman-wo yezhio eyan-yekpa danbo Yie ya ye fin mini yannazhi fi gbakoabo na ye mae de eyan anfanizhi dokun dagan miniabo ye mae kezhe gia be.
Surah 23:22   ,And on them as well as in ships ye ride.,Eti dabbazhio to eti eya nuwanzhio e ku ye kpebo (lo ebazhi).
Surah 23:23     ,          (Further We sent a long line of prophets for your instruction). We sent Noah to his people: He said "O my people! worship Allah! Ye have no other god but Him. Will ye not fear (Him)",Hakika ma Yitun Nuhu fi jama'a yan'uzhi u ci gan: "Ya ye jamaa yan Mizhi! Ejin bauta ya Soko yede Tsoci ndoci zunmaU boa; ki'I jin yecie sundan Sokoa yin'o
Surah 23:24     ,                    The chiefs of the Unbelievers among his people said: "He is no more than a man like yourselves: his wish is to assert his superiority over you: if Allah had wished (to send messengers) He could have sent down angels; never did we hear such a thing (as he says) among our ancestors of old.",Wancin nazhia jin kafirinci dan mini jama'a yan'uzhio na cigan:"Ngan za nna u yi zandoa sai de zawangi dozhin ye wyun'e wa-wa gan u'lau de darajauta eti ye'bo; Uma'a bo Soko ba daa malaika tsa wyun'a cin be (ci tun'u fi yi yio) Yi la'a wo iri nana le be yanmanciyi yan mafaarizhi yin'a.
Surah 23:25   ,      (And some said): "He is only a man possessed: wait (and have patience) with him for a time.",Wyun de fea saide eza baagi na batan al-janizhi dan be yin na. Yedea pata yau ye mae fe cin wyun'ele daa eka degi.
Surah 23:2,6    (Noah) said: "O my Lord! help me: for that they accuse me of falsehood!",Ugan: "Tsoci mi! jin mi taimako eti ganmana na e laaji alamari mi ye na
Surah 23:27           ,                    So We inspired him (with this message): "Construct the Ark within Our sight and under Our guidance: then when comes Our Command and the fountains of the earth gush forth take thou on board pairs of every species male and female and thy family- except those of them against whom the Word has already gone forth: And address Me not in favour of the wrong-doers; for they shall be drowned (in the Flood).,Yi ci jin wahayi yau kede: A eya nuwan kan be eye Yi yin ganni be foro Yi yin gancin kamina foro Yi gabe da be yn (etiabo na) eye nuwanzhi cie be gutinya na to a eba be yiwoe dagan mini alita ndondo ku fibo to iyaali wtotso zhi sai de na hukunci yan hallaka ga'a shidzo ta etiubo miniabo na; wyo mao ga gan yandondo be Mi yin eti azwalumizhio ma hakika a ga'ajin hallaka fi nuwan'o.
Surah 23:28 ,             And when thou hast embarked on the Ark - thou and those with thee- say: "Praise be to Allah Who has saved us from the people who do wrong.",Gancin kamina to wyoe to zanazhi fibo be wyo yin na ye ga'a jin daidai ta eti eyao na to egangan:"Yebo kpaata'ajin tabbata ya Soko Etsu na wa-yi dzun dagan egun yan azwalumizhio na.
Surah 23:29  ,     And say: "O my Lord! enable me to disembark with thy blessing: for Thou art the Best to enable (us) to disembark.",Be ma (kamina wyo ga'a cin na) gangan: "Tsoci mi! cin mi dan ecinba yan albarkao hakika wyo gayi Etsu nae cin zazhi nao.
Surah 23:30  ,    Verily in this there are Signs (for men to understand); (thus) do We try (men).,Hakika mini wuncin'o egwa wu zankpe Soko danbo Yi ma'afe za nae la miman-cinle ya zawangi zhina.
Surah 23:31,     Then We raised after them another generation.,Gancin zunma'abo Yici jin alita alumma ndocizhi be.
Surah 23:32  ,           And We sent to them a messenger from among themselves (saying) "Worship Allah! ye have no other god but Him. Will ye not fear (Him)",Yi ci tun Tuci fia dagan miniabo kede; Ejin bauta ya Soko hakika yede Tsoci ndoci zunma'u boa. Kijin ye cie sundan Sokoa yin'o
Surah 23:33        ,                And the chiefs of his people who disbelieved and denied the Meeting in the Hereafter and on whom We had bestowed the good things of this life said: "He is no more than a man like yourselves: he eats of that of which ye eat and drinks of what ye drink.,Wancin nazhia jin kafirinci amaa gun-gun'a be Sokoe yi ganmana na acie gi izhea za naci gan:"Nana ufea saide zawangi dozhin ye wyun'egi yangici iri nazhi ye'gi na umafin dagan mini yannazhi ye fin na.
Surah 23:34 ,     "If ye obey a man like yourselves behold it is certain ye will be lost.,Hakikama yega mitu zawangi dozhin-ye hakika kanga yegaafe eza asaarazhi.
Surah 23:35,        "Does he promise that when ye die and become dust and bones ye shall be brought forth (again),Kashi wyun'e jin ye alkawali jin gan yega'a tsu yecia gi ya fi jikannao yecia ke tsukun kanga agaye latin ya be
Surah 23:36   ,"Far very far is that which ye are promised!,Wun'aye jin'a wun'aye jin'a ya yanna e laajin ye alkawali naa.
Surah 23:37   ,      "There is nothing but our life in this world! We shall die and we live! But we shall never be raised up again!,Yi de izhe le ndoci bea sai de izhele yan izhe yi nana yia tsu yima'a le izhe zando ma'a san yi dagan kabari boa.
Surah 23:38 ,          "He is only a man who invents a lie against Allah but we are not the ones to believe in him!",U fea sai de eza bagi na tswa ganmana ta Soko na Yi ma'ajin imani beu yin'a.
Surah 23:39 ,   (The prophet) said: "O my Lord! help me: for that they accuse me of falsehood.",Ugan: Tsoci jin mi taimako (eti abo) be ganmana nae laaji alamari mi ye nae.
Surah 23:40 ,   (Allah) said: "In but a little while they are sure to be sorry!",Ugan:" Wyu'ayi be ekpalo ndoci yia'a atsoa tinba tin fe ti ro-- nkpe.
Surah 23:41   ,    Then the Blast overtook them with justice and We made them as rubbish of dead leaves (floating on the stream of Time)! So away with the people who do wrong!,Gancin kabara ndoci cia wan be kagboe Yi cia la zhe ke fini tsutsucizhi na. Emibo ma'ajin tabbata ya jamaa yan azwalumizhi.
Surah 23:42,     Then We raised after them other generations.,Gancin zunma'abo Yici jin al'umma ndocizhi kaa yin be.
Surah 23:43,      No people can hasten their term nor can they delay (it).,Amade al'umma ndoci na'a shi lokaci ajali'udzo na'a amade na'a pata naa.
Surah 23:44    ,              Then sent We our messengers in succession: every time there came to a people their messenger they accused him of falsehood: so We made them follow each other (in punishment): We made them as a tale (that is told): So away with a people that will not believe!,Gancin Yici tun Tuci Yizhi tun lamitu dozhi kandondo na Tuci ga be ya al'umma'u zhina u'u yi ganmana Yi ci jin a'mitu dozhi eti halakao Yicia lafe kaaya etan zhi. Emibo ma'ajin tabbata ta eti zanazhie jin imania na.
Surah 23:45 ,      Then We sent Moses and his brother Aaron with Our Signs and authority manifest,Gancin Yici tun Musa to yegiu Haruna tun be aya Yizhi ganni be hujja zhi nazhi yi gbangba na.
Surah 23:46,      To Pharaoh and his Chiefs: But these behaved insolently: they were an arrogant people.,Lo eba Fir'auna be wancin yan'uzhi (majalisauzhi) a cia gbotika acia fe eyewucizhi.
