Surah 31:2,   These are Verses of the Wise Book-,A'ya yan Litafi (ALKUR'ANI) wuncinzhi ayazhi a yio nan'e wu egbabo yan ganmisun Soko nan.
Surah 31:3,  A Guide and a Mercy to the Doers of Good-,Ba-wu u yio be yegun'y ya za nanzhi e jin bolobolo dan etun'azhio nan.
Surah 31:4    ,    Those who establish regular Prayer and give regular Charity and have (in their hearts) the assurance of the Hereafter.,(A ga yi) Za nanzhi e ku Sallah gikini nao a mae-wa zakka yan dukiyazhi a ma kezhea gaskiya ya be efo zobae nao.
Surah 31:5  ,     These are on (true) guidance from their Lord: and these are the ones who will prosper.,Za wuncinzhi a ta eti ekpa yan bawuo nan be yaa nko yan Tsociabo nan za wuncinzhi-ma aga tso guri alhairiazhi (efo alkiyami'i).
Surah 31:6    ,             But there are among men those who purchase idle tales without knowledge (or meaning) to mislead (men) from the Path of Allah and throw ridicule (on the Path): for such there will be a Humiliating Penalty.,Ade dan mini zawangizhio nan wun'ajin u la ewo dashi egan edzozhi nan ebo ude-bau la zawangizhi'u gbin'ake eko Soko lugwa. U ma jin be kpikpe ndondo-yin'a U ci ga'u la eyan dzo za wuncinzhi azaba yan zunyesun wun'ajin tabbata yaa.
Surah 31:7    ,           When Our Signs are rehearsed to such a one he turns away in arrogance as if he heard them not as if there were deafness in both his ears: announce to him a grievous Penalty.,Ama gae gba aya Yizhi yau wun'ajin wun'a zunma zheta uci ga gbotika ke u wo yannan e'gan na'a-na wyo a ye gan ko kpere ba tukpa-a-bo ba e ta yau ke azaba nan tan sarauyin nan u ga jin tabbata ya'u nan.
Surah 31:8   ,    For those who believe and work righteous deeds there will be Gardens of Bliss-,Akika za nanzhi a imani jin nan a cie kezhe lo tun wangizhinan Soko-a ga'agba be aljannazhiy nanzhiy yi emi ni'ima zhi nan.
Surah 31:9    ,   To dwell therein. The promise of Allah is true: and He is Exalted in Power Wise.,A ma' fi-bo-fi tutunyin akika alkawali yan Soko gaskiya U yio. Wun ga mayi Etsu zankpeo Etsu Hikima.
Surah 31:10  ,                        He created the heavens without any pillars that ye can see; He set on the earth mountains standing firm lest it should shake with you; and He scattered through it beasts of all kinds. We send down rain from the sky and produce on the earth every kind of noble creature in pairs.,(Soko) U jin halitta yan sanmazhi ekpo ndondo ma danbo nan kan'u gikini ye cia leye na'a U ci kezhe'a patizhi kan-gikini fi kinbo ebo u be du halittazhi ma U ci kezhea dabbazhi iri-irizhi gan-san kpe kin bo. Yi ci kezhe du ele be yaye dangan sanmao Yi cia yangici sunsun wangizhi iri-iri yin tinya kpe eti kinbo.
Surah 31:11   ,          Such is the Creation of Allah: now show Me what is there that others besides Him have created: nay but the Transgressors are in manifest error.,Nan-nan zhiy kpata halitta Soko a yio gancin ebe layannanzhi kutizhi ga jin-nan wu'Min'cinle akika azwalumizhi de a fi mini egbin na'atula nao.
Surah 31:12                 we bestowed (in the past) Wisdom on Luqman: "Show (thy) gratitude to Allah." Any who is (so) grateful does so to the profit of his own soul: but if any is ungrateful verily Allah is free of all wants Worthy of all praise.Akika Yi a hikima la atwarya ya Lukumanu kede un'jin yebo'u'ya Soko nan. Zandondo na gaejin yebo (ya Soko) nan u jin-jin ebo eti tacin'ubo za na ma ga'acin mananbo be Sokoe nan Akika Soko a kunke ya ti'u be dide yandondoe Etsu ma uyio nan e jin yebo ya (to kin to fiti o nao).
