Surah 32:1 ,A. L. M.,ALIF LAM MIM. (Bayanizhi shidzo eti u bo'a ni).
Surah 32:2 ,      (This is) the Revelation of the Book in which there is no doubt- from the Lord of the Worlds.,Cin cin yan Litafi ALKUR'ANI nan-nan kelokezhin ndondo danboa dagan eba Tsoci nan ekpa alitazhi kpata nan bo u fe beo.
Surah 32:3 ,               Or do they say "He has forged it" Nay it is the Truth from thy Lord that thou mayest admonish a people to whom no warner has come before thee: in order that they may receive guidance.,Kashi e gan'gan gan Annabi tswa'u tswa A'a akika gaskiya U yio dagan nko yan Tsoci-wyo-bo ebo wyo jin jama'azhi gangba a ma de gangba jinci ndondoshi wyo dzo lo eba'a ebo a tso a la ke eko.
Surah 32:4  ,                     It is Allah Who has created the heavens and the earth and all between them in six Days and is firmly established on the Throne (of Authority): ye have none besides Him to protect or intercede (for you): will ye not then receive admonition,Soko ga yi Etsu nan jin alita sanmazhi to kin to yan nanzhi fi tsakani abonan mini efo gutsun'wanyin bo U ci kezhe ajin daidai ta eti Al'arashio. Akika ye de Ndakata a -- 'u gan'a ye ma de zando nan'a boye ya zuma'u bo na'a kiy jin ye cie wo tukpakpe'a-yin'o
Surah 32:5   ,             He rules (all) affairs from the heavens to the earth: in the end will (all affairs) go up to Him on a Day the space whereof will be (as) a thousand years of your reckoning.,(Soko) ga e la ye dan alamarizhi kpatao dagan sanmao har da kin. Gancin alamarizhi e gun da tsun'u dan mini fo-enio nan eka'u yi eya kpautsun eba lisafi ye zawangizhio nan.
Surah 32:6,     Such is He the Knower of all things hidden and open the Exalted (in power) the Merciful;-(Soko) ,Wuncin ga yi Etsu nan wun kpikpe yan nan so nao to yan nan tula nao Etsu zankpe u yio Etsu yegun u yio.
Surah 32:7 ,        He Who has made everything which He has created most good: He began the creation of man with (nothing more than) clayEtsu nan a bolobolo la-adan yandondo nan u jin alitaunan U cia alita yan zawangi ca'yn jin be egun'y.
Surah 32:8 ,      And made his progeny from a quintessence of the nature of a fluid despised:U ci kezhe'a zuriya u zhi jin e tinya dagan nuwan kinkinci nan ma yi gbogun nan.
Surah 32:9 ,            But He fashioned him in due proportion and breathed into him something of His spirit. And He gave you (the faculties of) hearing and sight and feeling (and understanding): little thanks do ye give!,U ciu ta wangi'y U ci be efe fi'u dagan rayi wuntso U cia ganwo to bacinle to yekpa la a ya ye. Akika eza de gi mini ebo gaejin yebo ya Soko.
Surah 32:10 ,            And they say: "What! when we lie hidden and lost in the earth shall we indeed be in a Creation renewed Nay they deny the Meeting with their Lord.,A ci gan: Ngba yi ga'gbin ruku cia gbin fi kinbo aga alita yi ye jin woroe be Akika a de'a fe za nanzhi e jin kafirinci be gun-gun ayin be Tsoci-a yin nae.
Surah 32:11  ,        Say: "The Angel of Death put in charge of you will (duly) take your souls: then shall ye be brought back to your Lord.",Ganya gan: Malaika yan ajali nan Soko la je ye nan wyun ga' -- rayi bea yin'o kanga gancin ye cia kezhe zheban da tsun Soko nan yi Tsoci ye nan.
Surah 32:12  ,             If only thou couldst see when the guilty ones will bend low their heads before their Lord (saying:) "Our Lord! We have seen and we have heard: Now then send us back (to the world): we will work righteousness: for we do indeed (now) believe.,"Da aci gan wyo-a le leifi jincizhi ye le kendoe a ya'ti shi kin bo yegboro Tsocia bo nan a cia gan gan: Tsoci yan yi akika yia gaskiya leye gancin yi ma wo egan wyo zhi wangi ebo acin'o a yi kezhe la da izhe yi'a da lotun wangi-wangizhi akika yi'a gaskiya ya yan baeni.
Surah 32:13 ,              If We had so willed We could certainly have brought every soul its true guidance: but the Word from Me will come true "I will fill Hell with Jinns and men all together.",U ma ga ba yiba yi ga bawu yan rayi ndondo la ayau ammade gaskiya yan egan Mi wun'a fedun'ani kede Mi ga jahannama she pinyin be aljannuzhi to zawangizhi baenio-nan.
Surah 32:14    ,         "Taste ye then - for ye forgot the Meeting of this Day of yours and We too will forget you - taste ye the Penalty of Eternity for your (evil) deeds!",A ci'a fe gan'a gan: e fe fin azaba ebo tanba nanlo ye be efo gungunyekan yan ye nannan'e nan akika yi tso'a ye batan efe fin azaba nan ye'a dzunbo beanan ebo etun dede nanzhi ye fe lo nan.
Surah 32:15  ,            Only those believe in Our Signs who when they are recited to them fall down in prostration and celebrate the praises of their Lord nor are they (ever) puffed up with pride.,Akika za nanzhi e jin imani be aya Yizhi nan a ga yi za nanzhi a ga san'atu be'u yin nan a'jin a etiazhi ya shi kinbo eti ekpeadao ya Soko nao a cia fe li Soko tsatsayin gan ni be yebo jin'y ya Tsocia a man jin za nanzhi e gbotika naa.
Surah 32:16 ,         Their limbs do forsake their beds of sleep the while they call on their Lord in Fear and Hope: and they spend (in charity) out of the sustenance which We have bestowed on them.,Kansan yan nakan kpaceazhi a kpeya be elelebazhi (ebo ekundo yan nafila yeshio) e jin bawta ya Tsocia be danwoe (yan azaba) gan'ni be kauna (yan aljanna) a mae kezhe wu dukiyazhi nan Soko la ayanan fi eko wangizhio.
Surah 32:17  ,          Now no person knows what delights of the eye are kept hidden (in reserve) for them - as a reward for their (good) deeds.,Akika a de rayi nan kpe iri yan nanzhi Soko jin shiri swiswoci ka'u yan eman wozhi naa wuncinzhi ma egagba u yio yan etun wangizhi nanzhi a fe lo kaminan adan izheo nan.
Surah 32:17    ,        Now no person knows what delights of the eye are kept hidden (in reserve) for them - as a reward for their (good) deeds.,Akika a de rayi nan kpe iri yan nanzhi Soko jin shiri swiswoci ka'u yan eman wozhi naa wuncinzhi ma egagba u yio yan etun wangizhi nanzhi a fe lo kaminan adan izheo nan.
Surah 32:18    ,   Is then the man who believes no better than the man who is rebellious and wicked Not equal are they.,Ngba za nan a fe Mumini nan u ga ye la a san-tatu be za nan-yi fasiki (eza lefi Soko) nan A'a za nannanzhi a fe yan'ni'a.
Surah 32:19  ,         For those who believe and do righteous deeds are Gardens as hospitable homes for their (good) deeds.,Za nanzhi ga gaskiya ya be Sokoe nan a cie lotun wangizhi nan ecinba yan Aljannazhi ga jin tabbata ya'u. Ecinba u yio ebo etun wangizhi nanzhi a fe lo izheo nan.
Surah 32:20  ,                  As to those who are rebellious and wicked their abode will be the Fire: every time they wish to get away therefrom they will be forced thereinto and it will be said to them: "Taste ye the Penalty of the Fire the which ye were wont to reject as false.",Ammaa za nanzhi e le Soko ba nan ezhe kebaa yi enan ka ndondo nan-a ga kpa kezhe fi bo a cia gan'a gan: e fe da fin azaba yan enan nan ye fe yi ganmanan izheo nan.
Surah 32:21   ,     And indeed We will make them taste of the Penalty of this (life) prior to the supreme Penalty in order that they may (repent and) return.,Akika ma Yia yaa azaba tetengitso fin (izhe babonnao) kafiy azaba wancikotso (yan alkiyami nan) ebo a laa lo ankaliazhi (a laa gan be etun sakpazhi).
Surah 32:22    ,        And who does more wrong than one to whom are recited the Signs of his Lord and who then turns away therefrom Verily from those who transgress We shall exact (due) Retribution.,Ngba zeyti binankun a gan "za nan a pa'u tukpa be ganmisun yan Sokoe U cia zunma zheta'u na'o Akika leifi jincizhi ga gbata'a wo.
Surah 32:23   ,          We did indeed aforetime give the Book to Moses: be not then in doubt of its reaching (thee): and We made it a guide to the Children of Israel.,Akika yi la litafi ya (Annabi) Musa ga jin kelokezhin ndondo be gungun wyo yin be'u yin ma. Yi ma'u la a fe bawu ya jama yan Bani Isra'ilazhi.
Surah 32:24   ,      And We appointed from among them leaders giving guidance under Our command so long as they persevered with patience and continued to have faith in Our Signs.,Yi ma li dzo shicizni mini'abo nanzhi e wu zazhi ba be umurni yi yin nan ebo hakuri nanzhi a fe jin nan a maa gaskiya ya be aya Yizhiy nan.
Surah 32:25    ,      Verily thy Lord will judge between them on the Day of Judgment in the matters wherein they differ (among themselves),Akika Tsoci wyoe U gaa jin hukunci tsakaniabo be dozhi efo alkiyami eti yan nanzhi e la ce dozhi leba izeo nao.
Surah 32:26   ,              Does it not teach them a lesson how many generations We destroyed before them in whose dwellings they (now) go to and fro Verily in that are Signs: Do they not then listen,Ngba U gaa fe ekpa yan bawu ya'aa Kendo yia ekun-dondo yan al'um- mazhi nazhi shiadzonan jin hallaka na'a ngan a tso fe jin dalo-dazin fi mini emiazhio Akika mini alamari wuncinzhio sisantuzhi dan bo be egwawu yan zankpe Sokoe. Kiy jin'ao kashi e wo gan woa
Surah 32:27    ,            And do they not see that We do drive rain to parched soil (bare of herbage) and produce therewith crops providing food for their cattle and themselves Have they not the vision,Kashi a le ba ye la'a kede Yi gaa je nuwan lo kin na'awo kpakparae na'a Gan-cin Yi ci e la yangici sun-sunzhi tinya dangan kin wuncin'o nanzhiy to a gi naa Kiy jin'a acie kpaye'a yin'o
Surah 32:28,      They say: "When will this decision be if ye are telling the truth",A ci e gan gan: fo ci efo hukunci nannan a yio wun'ayi za gaskiyazhi ye yio naa'o
Surah 32:29  ,        Say: "On the Day of Decision no profit will it be to Unbelievers if they (then) believe! nor will they be granted a respite.",Gan (ya'a) gan: Efo hukunci wuncin Imani yan za nanzhi a jin a jin kafirinci be Sokoe nan wun'a jin'a anfania.
Surah 32:30  ,  So turn away from them and wait: they too are waiting.,(Annabi) Dzun gan'a bo Wyo ma'ofeotu alamari Soko oye akika to atso dan yetuo ma.
