Surah 38:1,    Sad: By the Qur´an Full of Admonition: (This is the Truth).SWAD. ,(Soko gan): Mi zhikuti be Alkur'anuy nan yi eyan cinwanci nan.
Surah 38:2 ,    But the Unbelievers (are steeped) in self-glory and Separatism.,Akika za nanzhi a jin kafirinci nan aafe dan mini eti kagbo be emigboe.
Surah 38:3  ,       How many generations before them did We destroy In the end they cried (for mercy)- when there was no longer time for being saved!,Al'ummazhi nanzhiy dokun nan Yiajin hallaka shiadzo bedzo a ci wa egwa gan lokaci nan egwagan wa wun'a jin'a anfania nan.
Surah 38:4    ,     So they wonder that a Warner has come to them from among themselves! and the Unbelievers say "This is a sorcerer telling lies!,Acia jin mamaki nan gangba jinci fe be yaa dagan mini atso nan kafirizhi ci gan: Za nnan de eyan manci uyio u ma yi ganmanan zunci.
Surah 38:4    ,     So they wonder that a Warner has come to them from among themselves! and the Unbelievers say "This is a sorcerer telling lies!,Acia jin mamaki nan gangba jinci fe be yaa dagan mini atso nan kafirizhi ci gan: Za nnan de eyan manci uyio u ma yi ganmanan zunci.
Surah 38:5    ,   "Has he made the gods (all) into one Allah Truly this is a wonderful thing!",Ke-a ta ta uci ga Sokozhi laazhe Soko nini nao Akika nanan eyan mamaki uyio.
Surah 38:5  ,     "Has he made the gods (all) into one Allah Truly this is a wonderful thing!",Ke-a ta ta uci ga Sokozhi laazhe Soko nini nao Akika nanan eyan mamaki uyio.
Surah 38:6    ,       And the leader among them go away (impatiently) (saying) "Walk ye away and remain constant to your gods! For this is truly a thing designed (against you)!,Nunsa yan kinzhi cia nankin a ci fe gan gan: e fe lo yan'e ye mae la hakuri e jin ta eti bauta kutiezhio. Akika nanan shiri uyio nan a kpa nan. (a kpkpa gan a la yi yaagan be kuti yizhiy).
Surah 38:7    ,     "We never heard (the like) of this among the people of these latter days: this is nothing but a made-up tale!",Yi laawo iri nnan le'a dan mini adini nanzhiy shidzo nanboa nanan tsoma u iy yandondoa sai de ganmanan nan atswa nan.
Surah 38:8,              "What! has the Message been sent to him - (Of all persons) among us"...but they are in doubt concerning My (Own) Message! Nay they have not yet tasted My Punishment!,Ngba tacin yi nanzhiy zhi daanan ga bo a cin Alkur'anu be ya wun'o A'a ade jin kelo kezhin jin eti Alkur'anuo. Wuncin ma yi ebo nan ala fin azaba Mi yin'a nao
Surah 38:9  ,    Or have they the treasures of the mercy of thy Lord- the Exalted in Power the Grantor of Bounties without measure,Kashi eba a ga bo edzunbako yan arziki yan yegun Tsoci wye nan yi Etsu zankpe Etsu rytwa nan dan'o
