Surah 39:1   ,   The revelation of this Book is from Allah the Exalted in Power full of Wisdom.,Cin cin yan Litafi nnan dagan eba Soko bo nan yi Etsu zankpe nan u ma yi Etsu hikima nan.
Surah 39:2  ,       Verily it is We Who have revealed the Book to thee in Truth: so serve Allah offering Him sincere devotion.,Akika Yi cin Litafi cin be ya wye be gaskiyae ebo acin'o fe jin bauta ya Soko wyo mao la adinio tadzuo ya'u.
Surah 39:3  ,                              Is it not to Allah that sincere devotion is due But those who take for protectors other than Allah (say): "We only serve them in order that they may bring us nearer to Allah." Truly Allah will judge between them in that wherein they differ. But Allah guides not such as are false and ungrateful.,Akika adini natso ga tadzu nan u ga yi yan Soko' za nanzhiy ma a gwasun kuti ndocizhi ke Soko lugwa nan a'jin afe gan gan: Yi yejin bauta jin ya' kutizhi ebo a la yi' yaa tsoaba Soko. Akika Soko ga hukunci ba tsakaniabo eti yannazhi e la ce dozhi leba eti ubo nan. Akika Sokoe la kafiri ndondo nan yi ganmanan zunci nan ke ekoa.
Surah 39:4  ,             Had Allah wished to take to Himself a son He could have chosen whom He pleased out of those whom He doth create: but Glory be to Him! (He is above such things.) He is Allah the One the Irresistible.,Wun'aba Soko ba gan wun'a de'gi da' wun'a tsa za nan ga bau nan mini alittauzhio. Lili kpata ajin tabbata yau akika wun ga yi Soko Etsu nini kete nan a ce alittazhi kpata kagbo nan.
Surah 39:5   ,                   He created the heavens and the earth in true (proportions): He makes the Night overlap the Day and the Day overlap the Night: He has subjected the sun and the moon (to His law): Each one follows a course for a time appointed. Is not He the Exalted in Power - He Who forgives again and again,Wun'a alitta yan sanmazhi to kin jin be gaskiyae wyun'e la yeshi fan a la kpe igidi umae la igidi fan kpe yeshio. Uma' igidi to etswa jin foro (ya ye) ndondoa e'da zan har da iyaka ndoci nan a ba ya'u nan. Akika Soko Etsu zankpe uyio Etsu gafara.
Surah 39:6  ,                                 He created you (all) from a single person: then created of like nature his mate; and he sent down for you eight head of cattle in pairs: He makes you in the wombs of your mothers in stages one after another in three veils of darkness. such is Allah your Lord and Cherisher: to Him belongs (all) dominion. There is no god but He: then how are ye turned away (from your true Centre),Wun'a alitta ye jin dagan rayi ninio (uga yi Annabi Adamuo) Uci kezhea yinmi'u jin dagan mini'u bo u ma kezhe jin alitta ya ye mini dabba ni'imazhio har iri gutwota. U cia alitta ye jin shiri dan mini Gbako nnan yezhio. Alitta yezhi ma yi ekpo ekpo dan mini bazhiko gutao. Soko ye ga dan'o nao wun ga yi Tsoci ye yeo wun'ga wun mulki kpatao a de Etsu ndoci'a sai win'y. Kiy be la acie la ye pan ke eko lugwao
Surah 39:7   ,                           If ye reject (Allah) Truly Allah hath no need of you; but He liketh not ingratitude from His servants: if ye are grateful He is pleased with you. No bearer of burdens can bear the burden of another. In the end to your Lord is your Return when He will tell you the truth of all that ye did (in this life). for He knoweth well all that is in (men´s) hearts.,Ye gaajin kafirinci akika Soko Etsu kunkunke uyio U ma jin yeda be kafirinci yan wuzhiuzhi yin'a. Ye ma ga jin yebo ya'u wun'a jin yeda be wuncin'y ya ye. Ama de zandondo na'a la kara lefi yan zandoci na'a. Gancin eba Tsoci ye ga ye'a zheban lo uma ya ye labari yan etun nanzhi ye lo nan akika Soko de kpikpe yan yannazhi fi yangban zawangizhio nan.
Surah 39:7     ,                         If ye reject (Allah) Truly Allah hath no need of you; but He liketh not ingratitude from His servants: if ye are grateful He is pleased with you. No bearer of burdens can bear the burden of another. In the end to your Lord is your Return when He will tell you the truth of all that ye did (in this life). for He knoweth well all that is in (men´s) hearts.,Ye gaajin kafirinci akika Soko Etsu kunkunke uyio U ma jin yeda be kafirinci yan wuzhiuzhi yin'a. Ye ma ga jin yebo ya'u wun'a jin yeda be wuncin'y ya ye. Ama de zandondo na'a la kara lefi yan zandoci na'a. Gancin eba Tsoci ye ga ye'a zheban lo uma ya ye labari yan etun nanzhi ye lo nan akika Soko de kpikpe yan yannazhi fi yangban zawangizhio nan.
Surah 39:8     ,                            When some trouble toucheth man he crieth unto his Lord turning to Him in repentance: but when He bestoweth a favour upon him as from Himself (man) doth forget what he cried and prayed for before and he doth set up rivals unto Allah thus misleading others from Allah´s Path. Say "Enjoy thy blasphemy for a little while: verily thou art (one) of the Companions of the Fire!",Kaminan egun ndoci ga to zana wun'a fe yi Tsoci'u ye uci ga' kezhe da ebau. Gancin u ga ni'ima la yau dagan nko wun'tso zawangi'a aduwa nan ufe jin lo eba Soko shidzo batsozhio nan batan. Ucia fe' la yandocizhi a pa Soko baci ebo ula zawangizhi'uku'ufi egbin'o. Gan gan: Fe wo'ma degi be kafincio yin akika wyo dan mini egi-mi nan zhio.
Surah 39:9     ,                  Is one who worships devoutly during the hour of the night prostrating himself or standing (in adoration) who takes heed of the Hereafter and who places his hope in the Mercy of his Lord - (like one who does not) Say: "Are those equal those who know and those who do not know It is those who are endued with understanding that receive admonition.,Ngba za nan'a ku gikini (be ibadajin'y) dan lokaci yeshio na u cie jin sujada ucie ke nankin gi gbarona win'e sundan efo zoba u mae kezhe jin kauna yan yegun Tsoci nan (Ngba u ga zhe ye ni be zanan win'e jin n'nazhia nae) Gan gan: Ngba za nanzhi-yi be kpikpe nan a ga' zhe nini be zananzhiy a de kpikpea nan Akika za nanzhi ga de ankali nan a gae kpayeo.
Surah 39:10   ,                 Say: "O ye my servants who believe! Fear your Lord good is (the reward) for those who do good in this world. Spacious is Allah´s earth! those who patiently persevere will truly receive a reward without measure!",Gan gan: "ya ye wuzhi Mizhi nanzhia imani jin nan a fe tswa Tsoci ye re. Za nanzhi ga lo'tun wangi izhe nnaona ade egagba wangi. Kin yan Soko ma u -- sarauyin. Akika zan nanzhi gaejin hakuri nan Soko a gaagba egagba nan de lisafia nan.
