Surah 40:1, Ha Mim,HEU MIM. (Bayani a shidzo etiubo ani).
Surah 40:2     ,The revelation of this Book is from Allah Exalted in Power Full of Knowledge-,Cin cin yan Litafi nan nan dagan eba Soko bo u fe beo (Soko) Etsu zankpe uyio Etsu kpikpe uyio.
Surah 40:3   ,          Who forgiveth sin accepteth repentance is strict in punishment and hath a long reach (in all things). there is no god but He: to Him is the final goal.,Etsu nae jin gafara yan zunubi nan Etsu nae gwo tuba nan Etsu na gbota eba azabao nan Etsu bagwo ade yandoci nan ajin bauta ya naa sai Soko ezhekeba kpata yan yandondo ebaubo udan'o.
Surah 40:4,            None can dispute about the Signs of Allah but the Unbelievers. Let not then their strutting about through the land deceive thee!,Ade za naa gbomi be aya Soko zhiy naa sai de za nanzhi ajin kafirinci nan ebo acin'o ga lugwa dalo dazhin'azhi fi ezhizhio wun'a wyo ta ma.
Surah 40:5     ,               But (there were people) before them who denied (the Signs)- the People of Noah and the Confederates (of Evil) after them; and every People plotted against their prophet to seize him and disputed by means of vanities therewith to condemn the Truth; but it was I that seized them! and how (terrible) was My Requital!,Jama'a yan Annabi Nuhuzhi a egan Soko yi ganmanan shidzo bedzo to Ahzabuzhi zunma yan'a bo al'umma ndondo ma jin kokari nan a ga Tuchiazhi wan wu nan. Amaa ganmanan la'a sungwa cife gbomi ebo a la gaskiya a gbin'a ya. Mi (Soko) cia wan kpantsukuy ngba ke azaba yan winwan Soko yi yi naoAcinga gao egan misun yan Tsoci wye wun'ajin tabbata ta eti za nazhie jin kafirinci naokede egi'mi nazhi a yio nan.
Surah 40:6     ,    Thus was the Decree of thy Lord proved true against the Unbelievers; that truly they are Companions of the Fire!,Acinga gao egan misun yan Tsoci wye wun'ajin tabbata ta eti za nazhie jin kafirinci nao kede egi'mi nazhi a yio nan.
Surah 40:7     ,                     Those who sustain the Throne (of Allah) and those around it Sing Glory and Praise to their Lord; believe in Him; and implore Forgiveness for those who believe: "Our Lord! Thy Reach is over all things in Mercy and Knowledge. Forgive then those who turn in Repentance and follow Thy Path; and preserve them from the Penalty of the Blazing Fire!,(Malaika) nazhi la Al'arashi nan to nazhiy e ma'u kezhe nan e'li Tsocia zhi tsa tsa ganni be yebo jinjya u. A maejin imani beu yin amae ba gafara ya Muminizhi (e gan gan:) Ya Wye Tsoci yi akika bagwo Wye wun'a yandondo ma kezhe ganni be yegun'y be kpikpe Soko fa be za nanzhi ga tuba jin nan ama emitu eko Wyo na. Wyo mao ta'aotu b e azaba jahimuy.
Surah 40:8    ,           "And grant our Lord! that they enter the Gardens of Eternity which Thou hast promised to them and to the righteous among their fathers their wives and their posterity! For Thou art (He) the Exalted in Might Full of Wisdom.,Ya Wyo Tsoci yi! Wyo mao la'ao gan'o dan Aljannazhio na yi emi dunfe nan natso Wyo'a jin'a alkawali nan to za nazhi ga lo tun wangi mini mima'zhio nan to yinmiazhi to ebaazhi to zuri ya'zhi akika Wye Soko Etsu Zankpe Wyo Yio Etsu hikima wyo yio.
Surah 40:9    ,       "And preserve them from (all) ills; and any whom Thou dost preserve from ills that Day- on them wilt Thou have bestowed Mercy indeed: and that will be truly (for them) the highest Achievement".,Wyo mao taa'atu be azaba dede akika zandondo nan Wyo gau ta tu be azaba fo wuncin'y nan Wyo yaa ye gun laa twarya yau Wun cin ga ma yi rabo na wancin nao.
Surah 40:10 ,             The Unbelievers will be addressed: "Greater was the aversion of Allah to you than (is) your aversion to yourselves seeing that ye were called to the Faith and ye used to refuse.",Akika za nazhi ajin kafirinci na a'ayia gan: akika ewunzhe yan Soko u gbota gan ewunzhe yan yetso be dozhi kaminan afe yi ye gan ye bejin imani na yeci fejin kafirinci.
Surah 40:11     ,       They will say: "Our Lord! twice hast Thou made us without life and twice hast Thou given us Life! Now have we recognised our sins: Is there any way out (of this)",A ci gan: Tsoci yi Wyo'a yi wu zu guba Wyo ma yi dan rayi zu guba yi maa gwo gan yi ya'wyo jin leifi ngba yi'ade wandzun dagan azaba boa
Surah 40:12  ,            (The answer will be:) "This is because when Allah was invoked as the Only (object of worship) ye did reject Faith but when partners were joined to Him ye believed! the Command is with Allah Most High Most Great!",Wuncin (na tswa ye daa na) u yi ebo na kandondo na aga Soko Tunye gbaugi na ye laaajin kafirinci ama ga eyan laapau baci ye la gaskiya ya nan-nan hukunci yan Soko U yio Etsu na wun ela tu na Etsu na wancin nan.
Surah 40:13  ,           He it is Who showeth you his Signs and sendeth down sustenance for you from the sky: but only those receive admonition who turn (to Allah).,Wun-ga yi Etsu nae la ayauzhi wu ye kaka-yin nao U mae cin arziki be ya ye dagan sanmao. Akika Ujin zandondo a san tua sai de za nazhi gae zheban da tsun Soko nan.
Surah 40:14   ,    Call ye then upon Allah with sincere devotion to Him even though the Unbelievers may detest it.,E fe jin bauta ya Soko ye mae la adi'nie tadzue yau gbaugi ka ma kafirizhi gae nanvo.
Surah 40:15     ,          Raised high above ranks (or degrees) (He is) the Lord of the Throne (of Authority): by His Command doth He send the Spirit (of inspiration) to any of His servants he pleases that it may warn (men) of the Day of Mutual Meeting-,Etsu na latu be darajazhi na Etsu Al'arashi Wun'e cin wahayi be dagan mini forou bo ya za na ga bau mini wuzhiu zhio na ebo u de ba'u nanwun eti efo bakeo.(Efo na alittazhi kpata gaakebanan).
Surah 40:16  ,            The Day whereon they will (all) come forth: not a single thing concerning them is hidden from Allah. Whose will be the dominion that Day" That of Allah the One the Irresistible!,Efo na kpata'a ga'tin ya (Kabarizhio na) ade zaeni ndondo naa swo Soko I mini'abo naa (Soko cia gan gan): Ngba zey wun mulki kpata yin nao Akika Soko ga wun'o Etsu nini kete' Etsu na kagbou ta eti zandondonan.
Surah 40:17  ,          That Day will every soul be requited for what it earned; no injustice will there be that Day for Allah is Swift in taking account.,Yin nan a ga rayi ndondo gba be iri etun na u ga lo nan. Zwalunci danbo yinna'a akika Soko Etsu na fan eba egagba bo na u yio.
Surah 40:18    ,          Warn them of the Day that is (ever) drawing near when the hearts will (come) right up to the throats to choke (them); No intimate friend nor intercessor will the wrong-doers have who could be listened to.,Wyo mao jin'a gangba yan efo nan'a tsoba nan kanga yangbanzhi ga nakin ebo dansun'o yangbanzhi ga'nyin . Azwalumizhi ade eya fo gaa amade za naa tangwa yaa acia gwo gwatan'u naa.
Surah 40:19   ,  (Allah) knows of (the tricks) that deceive with the eyes and all that the hearts (of men) conceal.,Soko de kpikpe yan eye nae yi haramu cin le nan u ma de kpikpr yan nanzhiy swo fi yangbanzhio nan.
Surah 40:20  ,            And Allah will judge with (justice and) Truth: but those whom (men) invoke besides Him will not (be in a position) to judge at all. Verily it is Allah (alone) Who hears and sees (all things).,Soko mae jin hukunci jin be gaskiyae za nanzhiy mae jin bauta ya baci Soko nan e jin hukunci be yandondo yin'a (sai ganmanan). Akika Soko ga yi Etsu nae wo yandondo nao Uma yi Etsu nae cin yandondo le nan.
