Surah 43:1, Ha-Mim,HEU MIM.
Surah 43:2 ,By the Book that makes things clear-,Mie zhi kuti be (Alkuranuy) Litafi nan yi be bayanizhiy naa tula nan.
Surah 43:3  ,   We have made it a Qur´an in Arabic that ye may be able to understand (and learn wisdom).,Akika Yi'u la afe Alkuranu be zhimi larubawazhiy ebo ye la'efe eza ankalizhi.
Surah 43:3  ,   We have made it a Qur´an in Arabic that ye may be able to understand (and learn wisdom).,Akika Yi'u la afe Alkuranu be zhimi larubawazhiy ebo ye la'efe eza ankalizhi.
Surah 43:4    ,  And verily it is in the Mother of the Book in Our Presence high (in dignity) full of wisdom.,Akika Alkuranu dan mini Nna yan Litafizhio (lauhul-Mahfuz) eba Yi bo ma Alkuranu litafi na latu nan uyio naa,she be hikimae nan.
Surah 43:5     ,  Shall We then take away the Message from you and repel (you) for that ye are a people transgressing beyond bounds,Kashiy Yi ga cin cin be yan sinsantu lugwaa baenio ebo nan ye yeafe za nanzhie nyin yan kpe kin bo nan
Surah 43:6  ,   But how many were the prophets We sent amongst the peoples of old,Eka nan dokun nan Yi tun Annabi fi jamaa yan mafarizhi.
Surah 43:7 ,      And never came there a prophet to them but they mocked him.,A ma de Annabi ndondo nan be ya'a na'a sai de 'afe la'u mi.
Surah 43:8   ,   So We destroyed (them)- stronger in power than these;- and (thus) has passed on the Parable of the peoples of old.,Yimaa za nazhiy gboka gan'a nan jin hallaka iri az'aba nan tswan za mafarizhi na cia da eti atso gwo gan.
Surah 43:9     ,    If thou wert to question them ´Who created the heavens and the earth´ They would be sure to reply ´they were created by (Him) the Exalted in Power Full of Knowledge´;-,Wallahi wyo ga gbin'a gan gan: Ziy jin alitta sanmazhi to kin yin'o Akika a'yazhe gan Soko Etsu zankpe Etsu kpikpe ga jin alittaao.
Surah 43:10     ,     (Yea the same that) has made for you the earth (like a carpet) spread out and has made for you roads (and channels) therein in order that ye may find guidance (on the way);,Etsu naa kin ta cici ya ye parae nan U cia ekozhi sa fi bo ya ye nan. Ebo ye debae laede bawu nan.
Surah 43:11     ,      That sends down (from time to time) rain from the sky in due measure;- and We raise to life therewith a land that is dead; even so will ye be raised (from the dead);-Etsu nae du ele zhin dagan sanmao be tsunwan'e nan Yicia ezhi tsutsucizhi dan rayi be'u yin. A cin ga ga a ku ye tso tinya dagan kabariezhi bo.
Surah 43:12    ,      That has created pairs in all things and has made for you ships and cattle on which ye ride,Etsu nan jin alitta eba be yiwozhiy kpata nan U ci kezhe jin eya nuwanzhi nan yeade ganfi nan to dabbazhiy nanzhiy yede tu nan.
Surah 43:13  ,                 In order that ye may sit firm and square on their backs and when so seated ye may celebrate the (kind) favour of your Lord and say "Glory to Him Who has subjected these to our (use) for we could never have accomplished this (by ourselves),Ebo ye debae lae fedun'ekpe zunmaabo yemae fe pa niimayan Tsoci yezhi kami nan ye gaa fe dun ta etiabo nan ye mae gan gan:Lili kpata ajin tabbata ya Etsu naa (e yan tuci) nan nan jin foro ya yi nan akika yi de kagbo ndondo ta eti ezan daa bo'a.
Surah 43:14  , "And to our Lord surely must we turn back!"Akika kpata yi ma eba Tsoci yi ga yia kezhe lo.
Surah 43:15     ,   Yet they attribute to some of His servants a share with Him (in his godhead)! truly is man a blasphemous ingrate avowed!,Acia za ndoci tsa ya'u mini wuzhi'u zhio (ke wun ga yi egi wun'o nan) akika zawangi eza uyio nae cin manan bo be Sokoenan manan cin'bo naa tula nan.
Surah 43:16 ,     What! has He taken daughters out of what He himself creates and granted to you sons for choice,Ngba wun'a egi ynzagizhi tsa mini alittauzhio U cia ye tsa be egi bagizhiy
Surah 43:17     ,      When news is brought to one of them of (the birth of) what he sets up as a likeness to (Allah) Most Gracious his face darkens and he is filled with inward grief!,A ma ga ya zaeni miniabo labari yangban fa be egi ynzagiy nan'e da gan gan: Soko Al-Rahmanu tsa gan. Na fuska u ga'shi zhiko yangban'u ci ga'nyin.
Surah 43:18    ,    Is then one brought up among trinkets and unable to give a clear account in a dispute (to be associated with Allah),Ngba' (ye ga dangi tsa ya Soko). Be za nae sa sa dan mini ninpao nan za nan man ka wun'abe ewun sunzhi wun'a kpe gan ri woa nan
Surah 43:19      ,     And they make into females angels who themselves serve Allah. Did they witness their creation Their evidence will be recorded and they will be called to account!,Acia Malaikazhi nazhiy yi wuzhi Soko na la ynzagizhi. Beke a jin ri jinka mi nan a jin alittaa nan A kika a ga eri azhi ka a-maa gbin'a gan (efo Alkiyamiy).
Surah 43:20   ,           ("Ah!") they say "If it had been the will of (Allah) Most Gracious we should not have worshipped such (deities)!" Of that they have no knowledge! they do nothing but lie!,Aci gan: Wun'a ba Soko Al-Rahmanu ba ngan yi yaajin bauta ya (Malaikazhia). Ade kpikpe ndoci eti wuncin boa akika a de'tswa ganmana tswa kawanyin.
Surah 43:21  ,     What! have We given them a Book before this to which they are holding fast,Kashiy Yi la Litafi ndoci laa ya'a shi Alkuranu dzo Wuncin ci la a egwa sun'u gbanyin.
Surah 43:22  ,        Nay! they say: "We found our fathers following a certain religion and we do guide ourselves by their footsteps.",Ade gan: Akika yi tsun yanmanci yizhi kpe eti izhe le iri ndocio etaazhi ga ma yi ga emi tuo.
Surah 43:23     ,               Just in the same way whenever We sent a Warner before thee to any people the wealthy ones among them said: "We found our fathers following a certain religion and we will certainly follow in their footsteps.",Acinga ga u ma yio Yi laa tun gangba jin ci tun dan ezhi ndocio shi wyo dzo lea sai de bagwo deciazhi a'gan gan: Yi de tsun yanmanci yizhi tsun ta eti eko izhe le ndocio Yi ma etaazhi ga ga emi tuo.
Surah 43:24     ,        He said: "What! Even if I brought you better guidance than that which ye found your fathers following" They said: "For us we deny that ye (prophets) are sent (on a mission at all).",Gan gan: Asa bawu nan mi la be nan U gye gan natso ye tsun yanmanci yezhi kpe tiubo naa A gan: Yi de ajin kafirinci be yan nan a tun yetun nae.
Surah 43:25  ,    So We exacted retribution from them: now see what was the end of those who rejected (Truth)!,Yicia wo gbata. Cin kendoe zoba yan ganmanan zuncizhiy nan le.
Surah 43:26     ,   Behold! Abraham said to his father and his people: "I do indeed clear myself of what ye worship,:Kami na (Annabi Ibrahima gan be Babau yin to Jamaa yan'u zhi nan.jin bauta yanan.
Surah 43:27,    "(I worship) only Him Who made me and He will certainly guide me.",Sai de za nan jin alitta mi nan akika Wun ga wu mi bao.
