Surah 45:1 ,Ha-Mim.,HEU MIM
Surah 45:2  ,   The revelation of the Book is from Allah the Exalted in Power Full of Wisdom.,Cin cin yan Litafi nan nan dagan eba Soko bo u fe beo Etsu zankpe Etsu hikima.
Surah 45:3     ,Verily in the heavens and the earth are Signs for those who believe.,Akika mini sanmazhio to kin ayazhi danbo ya Muminizhi.
Surah 45:4 ,       And in the creation of yourselves and the fact that animals are scattered (through the earth) are Signs for those of assured Faith.,To mini alitta ye zhio to mini dabba nanzhiy ga kpe kinbo nan ayazhi danbo ya jamaa nanzhia gaskiya ya nan.
Surah 45:5      ,             And in the alternation of Night and Day and the fact that Allah sends down Sustenance from the sky and revives therewith the earth after its death and in the change of the winds- are Signs for those that are wise.,To egwasan yan yeshi be batin'y to arziki nanzhiy Soko cin beyn dagan sanmao nan Ucia kin tsutsuci dan rayi nan to mini efe nae ti ucie je za nan kpata ayazhi danbo ya jama'a nanzhi ga yi be ankaliy nan.
Surah 45:6    ,       Such are the Signs of Allah which We rehearse to thee in Truth; then in what exposition will they believe after (rejecting) Allah and His Signs,Wuncinzhi kpata ayazhi ayio yan Soko Yi mae gba'agba ya wye be gaskiyae. Ngba zunma yan Soko be ayauzhiy (ka gan ye ya gaskiya be'a yin'a) egan kici a ya gaskiya be yin beo
Surah 45:7 ,  Woe to each sinful dealer in Falsehoods:,Azaba yan robonkpe wun'ajin tabbata ya zaeni ndondo na gae zun ganmanan tsuru nan u ma yi lefi jinci nan.
Surah 45:8   ,          He hears the Signs of Allah rehearsed to him yet is obstinate and lofty as if he had not heard them: then announce to him a Penalty Grievous!,Wun'e wo nae gba aya Soko zhi ya'u nan gancin uci ga' tu-ta eti etikagbo ufe jin bojin ke zanae wo gan'a nan e yau labari be azabae nan yi tintanci nan.
Surah 45:9 ,         And when he learns something of Our Signs he takes them in jest: for such there will be a humiliating Penalty.,Uma ga kpikpe ndoci de dagan mini aya Yizhio' wun'u la eyan edzo akika zawuncinzhi azaba yan zunyesun u ga'jin tabbata ya'a.
Surah 45:10  ,                In front of them is Hell: and of no profit to them is anything they may have earned nor any protectors they may have taken to themselves besides Allah: for them is a tremendous Penalty.,Enan yan jahannama danbo e ka'a yan nanzhiy ma a de kuyekan izheo nan wun'a kunke yaa eko ndondo boa to zandocizhi nanzhiy a la egwasun ke ndakatazhi nan( a' kunke ya' eko ndondo boa) azaba na ma wancin nan wun'ajin tabbata ya'a.
Surah 45:11 ,         This is (true) Guidance and for those who reject the Signs of their Lord is a grievous Penalty of abomination.,(Alkuranu) Nan nan bawu uyio za nanzhiy ma ajin kafirinci be aya Tsocia zhiy nan azaba nan de nangban uma tan nan wun'ajin tabbata yaa.
