Surah 54:1,    The Hour (of Judgment) is nigh and the moon is cleft asunder.,Alkiyami'a tso ba kpankpan yin to etswa ma'a la fi. (guba)
Surah 54:2    ,  But if they see a Sign they turn away and say "This is (but) transient magic.",A ma ga aya le ye a zunma zheta'u a cia gan gan: eyanmau yio na'a gwogan nan.
Surah 54:3  ,   They reject (the warning) and follow their (own) lusts but every matter has its appointed time.,Aciu yi ganmanan acia emi tu etun yangban'azhi akika alamari ndondo (nan Sokoe gan nan) U ga ajin tabbata.
Surah 54:4   ,   There have already come to them Recitals wherein there is (enough) to check (them),Akika ma mini labari nanzhiy be ya'nan ade dan minia bo nanzhi yi yan waniko nan.
Surah 54:5,    Mature wisdom;- but (the preaching of) Warners profits them not.,Hikima u yio na'a kunke nan ammade gangba jin'a anfania.
Surah 54:6  ,     Therefore (O Prophet) turn away from them. The Day that the Caller will call (them) to a terrible affair,A dzun gan; abo har da efo nan za nae yi zazhi nan U gaa yia lo yan doci nan yi eyan dede nan (azaba).
Surah 54:7   ,    They will come forth- their eyes humbled - from (their) graves (torpid) like locusts scattered abroad,Eyeazhi ga'gba gba Wyo'a ye gan ko borogizhio nan zhi a ga nan.
Surah 54:8 ,      Hastening with eyes transfixed towards the Caller!- "Hard is this Day!" the Unbelievers will say.,Acia fe din ye lo'eba za nae yia nan kafirizhi a fe gan fo ga gan: Yinna nan nan efo nan lukpin nan uyio.
Surah 54:9  ,      Before them the People of Noah rejected (their messenger): they rejected Our servant and said "Here is one possessed!" and he was driven out.,Jama'a yan Nuhu zhiotso a tucizhi yi ganmanan aci fe sha fi u.
Surah 54:10    ,Then he called on his Lord: "I am one overcome: do Thou then help (me)!",Uci ba Tsoci'u aduwa gan: akika a mi zankpe eboacin'o Soko jin mi taimako.
Surah 54:11,    So We opened the gates of heaven with water pouring forth.,Yicia eko yan Sanma zhi kpe be nuwan nan fe cinzhin be kagboe nan.
Surah 54:12     ,   And We caused the earth to gush forth with springs so the waters met (and rose) to the extent decreed.,Yici kezhea eya nuwanzhi kpe kinbo nuwanzhi cia keba eti alamari nan Soko a kpa a ni nan.
Surah 54:13,    But We bore him on an (Ark) made of broad planks and caulked with palm-fibre:,Yicia wuntso la dan mini eyao naakan be katankozhiy be kwontoe nan.
Surah 54:14  ,   She floats under our eyes (and care): a recompense to one who had been rejected (with scorn)!,Uci fe bici be etswa Yi yin wuncin ma egagba u yio yazandondo nan aga jin kafirinci beu yin nae.
Surah 54:15  ,   And We have left this as a Sign (for all time): then is there any that will receive admonition,Yiciu la'afe aya ko a de za nan a santu nan
Surah 54:16,   But how (terrible) was My Penalty and My Warning,Ngba ke nangban azaba Mi yi yi be gangba nae jin'anan yi nao
Surah 54:17   ,   And We have indeed made the Qur´an easy to understand and remember: then is there any that will receive admonition,Akika yi ya Aluranu laafe eyan finfanci ebo sinsantuo. Ngba a de za na'a gwo sin san tu nan
