Surah 7:1, Alif Lam Mim Sad.,Alif. Lam. Mim. Swad.
Surah 7:2 ,          A Book revealed unto thee- So let thy heart be oppressed no more by any difficulty on that account- that with it thou mightest warn (the erring) and teach the Believers).Litafi uyio na'acin be ya wyo na ga lugwa bapin ndondo lodan yangban wyo bo dagan miniuboma ebo wto feo jin'a gangba beu yin. Uma yi sinsantu ya Muminizhi.
Surah 7:3 ,            Follow (O men!) the revelation given unto you from your Lord and follow not as friends or protectors other than Him. Little it is ye remember of admonition.,Yea mi tu yanna acin be ya ye dagan eba Tsoci yebo na yemae ga la' mitu Ndakata ndocizhi zun mauboma. De'gi tsa ye yea jin yefe'kpayeo.
Surah 7:4  ,       How many towns have We destroyed (for their sins) Our punishment took them on a sudden by night or while they slept for their afternoon rest.,Dokun dokun ma mini alkaryazhio Yi yia jin hallaka gancin azaba Yi ci da tsun'a yeshi ko ma kamina e'lele yigidi na.
Surah 7:5   ,        When (thus) Our punishment took them no cry did they utter but this: "Indeed we did wrong.",Gancin yandondo fe yanna fe tin ya misun'abo na'a saide afe gangan: "akika yi yia fe azwalumizhi.
Surah 7:6   ,  Then shall we question those to whom Our message was sent and those by whom We sent it.,Ganci ma Yi yia gbin za nazhi a tun tucizhi fi na "gan akika ma yi yia gbin tucizhio tso gan.
Surah 7:7  ,   And verily We shall recount their whole story with knowledge for We were never absent (at any time or place).,Gancin ma akika Yia ya'a labari be kpikpe yimafe Etsu nazhia cin bo na'a.
Surah 7:8 ,       The balance that day will be true (to nicety): those whose scale (of good) will be heavy will prosper:,Tsunwan yan fowuncin ma uga yi gaskiyao. To zandondo na tsuwan'uzhi gabea lukpin na to za wuncin zhi gayi eza robo zhio (Eza sa'a be nasara zhi).
Surah 7:9  ,        Those whose scale will be light will be their souls in perdition for that they wrongfully treated Our signs.,Zana ma tsun wan 'uzhi ga' cin dan na zawuncin zhi ga yi zanazhia'jin hasara rayia nao(wun cin ma yi) ebo aya Yi nazhi afe jin zwalunci be yin nao.
Surah 7:10  ,        It is We Who have placed you with authority on earth and provided you therein with means for the fulfilment of your life: small are the thanks that ye give!,Akika ma Mia ye yakagbo dan kin bo Yicia eko yangici izhe wangizhi laafibo yaye. De'gi tsa ye ye jin yebo.
Surah 7:11  ,             It is We Who created you and gave you shape; then We bade the angels prostrate to Adam and they prostrate; not so Iblis; He refused to be of those who prostrate.,Akika ma Yia alitta ye jin gancin Yi cia ye ya siffa gancin Yici gan be malaikazhi gan: Ejin sujada ya Adama. Aci da sujsda sai de ibilisu. Ufe dan mini zanazhi jin sujada naboa.
