Surah 76:1   ,        Has there not been over Man a long period of Time when he was nothing - (not even) mentioned,Akika lokaci be shidzo batsozhio nan zawangi u 'y yandondo nan'a tunye naa na.
Surah 76:2     ,    Verily We created Man from a drop of mingled sperm in order to try him: So We gave him (the gifts) of Hearing and Sight.,Akika Yia halitta yan zawangi jin dagan nuwan yan mani'i bo nan'a bo keba (tsakani bagi be inzagi'i nan). Ebo ma yi'i ma wun'i cin'ile Yi ciu ya tukpa yan gan wo Yi ci kezhe'u ya eye nan'u ga cin ba le nan.
Surah 76:3  ,    We showed him the Way: whether he be grateful or ungrateful (rests on his will).,Yi ma' zawangi wuba lo eko nan tso yi gboro nan U ga bau u la'u fe za nan'e jin yebo ya Soko nan(be emi latu foro'u yin) U ga bau U lau cin mannan'ubo be Sokoe (U fe'u le umurni Soko u ba).
Surah 76:4   ,  For the Rejecters we have prepared chains yokes and a blazing Fire.,Akika Yia shiri jin ka kafirizhi be dzari'i to kuru to enan yan Sa'iru'i.
Surah 76:5   ,    As to the Righteous they shall drink of a Cup (of Wine) mixed with Kafur-,Akika eza kirkizhi a fe fin nuwan mannan gizhi nan a zhin keba be kafuru'i nan.
Surah 76:6 ,     A Fountain where the Devotees of Allah do drink making it flow in unstinted abundance.,(Kafur'nan nan) nuwan mannan gi uyio nan wuzhi Soko guru zhi a fe de yan'a fin kandondo nan.
Surah 76:7,      They perform (their) vows and they fear a Day whose evil flies far and wide.,Za nanzhie la tun lo eti emi nanzhi a ga she be Soko enan. A maajin a fe' sundan efo nan sharri'u dokun nan. (Efo kiyama dan'o nan).
Surah 76:7  ,    They perform (their) vows and they fear a Day whose evil flies far and wide.,Za nanzhie la tun lo eti emi nanzhi a ga she be Soko enan. A maajin a fe' sundan efo nan sharri'u dokun nan. (Efo kiyama dan'o nan).
Surah 76:8   ,   And they feed for the love of Allah the indigent the orphan and the captive-,A ma'a jin a fe' la yangici ya eza gwagbagizhi be ekungi zhi to za nanzhi a ga wan ekunda'o nan alhali'I ma'a tso yi be bukatau yin.
Surah 76:9 ,        (Saying)"We feed you for the sake of Allah alone: no reward do we desire from you nor thanks.,(Acia jin a fe' gan'gan): Akika Yi ye' ya ye yangici yagi ebo wiwa yan yarda Soko. Yi mae wa egagba ndoci ko yebo jin dagan eba ye boa.
Surah 76:10  ,    "We only fear a Day of distressful Wrath from the side of our Lord.",Akika Yie sundan azaba dagan eba Tsoci yibo yan efo nan fuska ekundondo zazhi ga'a shizhiko nan Efo nan lukpin sarauyin nan.
Surah 76:11    ,   But Allah will deliver them from the evil of that Day and will shed over them a Light of Beauty and (blissful) Joy.,Soko ci'a gan' gwa be sharri yan efo wuncin Ucia la gun be haske ganni be yangban fa'e.
Surah 76:12 ,   And because they were patient and constant He will reward them with a Garden and (garments of) silk.,Soko cia egagba wangi la'a yaa yan aljanna be tufuwa yan silki zhi'i ebo hakuri nan a fe' jin eti emi latu foro Soko nan.
Surah 76:13     ,    Reclining in the (Garden) on raised thrones they will see there neither the sun´s (excessive heat) nor (the moon´s) excessive cold.,Aci ga kpetso ta eti gadoa zhio mini aljanna'o a'wo ba nan gun'a ama'a wo bayeko tsuntsun nua.
Surah 76:14   ,  And the shades of the (Garden) will come low over them and the bunches (of fruit) there will hang low in humility.,Wuru yan cigban aljannazhi ga'a tso ba'a aci ga to yangici sun-sun'u zhi la'zhin kin baenio.
Surah 76:15   ,    And amongst them will be passed round vessels of silver and goblets of crystal-,A ma'a fe man'a kezhe be evo yan azarfa zhi'i (yan yangici mannangi zhi) to kopu zhi nan zhie ban nan nan.
