Surah 77:1,  By the (Winds) sent forth one after another (to man´s profit);,Sokoe zhi kuti be efe (azaba) nanzhi a jin a fe la mitu dozhi nan.
Surah 77:2, Which then blow violently in tempestuous Gusts,U mae zhi kuti be efe (azaba) nan a jin'u fe ku be kagboe nan.
Surah 77:3 ,And scatter (things) far and wide;,U mae zhi kuti be mala'ikauzhi nanzhia jin a fe gan rahama Soko lo bandondo nan.
Surah 77:4, Then separate them one from another,U mae zhe kuti be malaika nan'e la wahayi lo da ya Annabi zhi nan Ucie la gaskiya kperi be ganmanae nan.
Surah 77:5, Then spread abroad a Message,U mae zhi kuti be mala'ika nan'e la tukpapa lo da ya Annabi zhi nan.
Surah 77:6 , Whether of Justification or of Warning;-,Ebo uzuri ndoci nan dan be ayin nan ko ebo gangba be ewun nan'e.
Surah 77:7,  Assuredly what ye are promised must come to pass.,Akika yan nanzhi Sokoe la jin ye alkawali nan kpatau gaa jin faruwa.
Surah 77:8,  Then when the stars become dim;,Lokaci nan a ga haske yan tswangi zhi kpata fin-ya nan.
Surah 77:9,  When the heaven is cleft asunder;,Lokaci nan a ga to sanma ban fi nan.
Surah 77:10 , When the mountains are scattered (to the winds) as dust;,Lokaci nan patizhi to takun zhi kpata ga'la ruku nan.
Surah 77:11  ,And when the messengers are (all) appointed a time (to collect);-,Kaminan a ga lokaci ba ya Tuci Soko ndondo nan. (ebo egan nan a gbin'a nan).
Surah 77:12  ,For what Day are these (portents) deferred,Ebo ki'ibo Soko cia pi pata la'a dan Efo wuncin'oS
urah 77:12 , For what Day are these (portents) deferred,Ebo ki'ibo Soko cia pi pata la'a dan Efo wuncin'o
Surah 77:13 ,For the Day of Sorting out.,Uyi ebo efo eri kpe'o. (Efo nan a ga gaskiya kperi be ganmanan'e nan.
Surah 77:14 ,   And what will explain to thee what is the Day of Sorting out,Ki'i ma a ya Wyoe kpikpe yan akika efo nan e yi gan efo eri kpe nan'o
Surah 77:15 , Ah woe that Day to the Rejecters of Truth!,Azaba yan hallaka wun'a jin tabbata ya za nanzhi a alamari addini (musulumci) la ganmanan na fo wuncin.
Surah 77:16 , Did We not destroy the men of old (for their evil),Ngba eza mafari nanzhi shidzo be le'fi Sokoe nan Yi jin'a hallaka'a
Surah 77:17,  So shall We make later (generations) follow them.,Aci ga ga Yia be'a hallaka la'a gba za zuma'azhi zunmao.(atso ga'fe za nanzhi e le Soko ba nan).
Surah 77:18  ,Thus do We deal with men of sin.,Acinga ga Yi' a jin yi-jin be za nan zhie le umurni Soko ba nan' yin'o.
Surah 77:19 , Ah woe that Day to the Rejecters of Truth!,Azaba yan hallaka wun'a jin tabbata ya za nanzhia alamari adinni musulunci yi ganmanan nan fo wuncin.
Surah 77:20   , Have We not created you from a fluid (held) despicable-,A sha Yi jin alitta ye jin dagan nuwan gbigba ci boa
Surah 77:21 ,  The which We placed in a place of rest firmly fixed,Yi ci'a mani'i la'a fi mini eba ndoci'o nan de aminci nan(u ga yi ewan'o).
Surah 77:22  ,For a period (of gestation) determined (according to need),Har da lokaci ndoci nan yi eyan kpikpeci eba Soko'o nan.
Surah 77:23,  For We do determine (according to need); for We are the best to determine (things).,Yi cia iko la'a wu ma'adanla be Etsu nan wun iko u ma de kagbo eti jin jin yandondo nan.
Surah 77:24 , Ah woe that Day! to the Rejecters of Truth!,Azaba yan hallaka wun'ajin tabbata fo wun cim ta eti za zhi e la alamari adini musulunci ganmanan nan.
Surah 77:25   ,Have We not made the earth (as a place) to draw together.,A sha Yi la kin nan nan wun'a fe danna yan kuku kan ye yea'
Surah 77:26 ,The living and the dead,Za nan zhi'I yi be rayi'I nan a kpe ti kinbo. Za nan zhi'I a tsu'a ni nanfi nini yan kin bo.
Surah 77:27   ,   And made therein mountains standing firm lofty (in stature); and provided for you water sweet (and wholesome),Yi ci a pati nan zhi wan-cin nan la'a ta fo wuncin ta eti za nan zhi e' la alamari wangi nan man nan fin.
Surah 77:28  ,Ah woe that Day to the Rejecters of Truth!,Azaba yan hallaka wun'a jin tabbata fo wuncin ta eti za nan zhi e' la alamari adini musulunci ganmana nan.
Surah 77:29  ,   (It will be said:) "Depart ye to that which ye used to reject as false!,Acia gan'a gan: e be da tsun azaba jahannama nan ye fe' yi ganmanan izhe'o nan.
Surah 77:30  ,   "Depart ye to a Shadow (of smoke ascending) in three columns,E fe' lo da gan dan mini wuru yan enan jahannamao nan'a kpe fi gwa la guta nan.
Surah 77:31     ,"(Which yields) no shade of coolness and is of no use against the fierce Blaze.,Wuru' uyio nan de anfani ndondoa nan. U ma kan gwa enan azaba woa.
Surah 77:32 ,  "Indeed it throws about sparks (huge) as Forts,Enan wuncin wun'a jin u fe' ce enan cikara yipa zhi nan cinwan'azhi yi ke eban wanciko nan a tu gikini nan.
Surah 77:33 , "As if there were (a string of) yellow camels (marching swiftly).",Enan cikara yipa wuncin cia fe bici tinya jahannamao ke ra'akun ya'ran zhi nan.
Surah 77:34,  Ah woe that Day to the Rejecters of Truth!,Azaba yan hallaka wun'ajin tabbata fo wuncin ta eti za nanzhi e'la alamari adini Musulunci ganmanan nan.
Surah 77:35  , That will be a Day when they shall not be able to speak.,Yinnan nan nan efo uyio nan egi mi nanzhi a de egan ndondo gan'a nan'o.
Surah 77:36 ,  Nor will it be open to them to put forth pleas.,A' ya'a izini yan egan gan'o tso'a a cia gan gan' uzuri ndocia.
Surah 77:37 , Ah woe that Day to the Rejecters of Truth!,Azaba yan hallaka wun'ajin tabbata fo' wuncin ta eti za nanzhi e la alamari adini Musulunci ganmanan nan.
Surah 77:38,    That will be a Day of Sorting out! We shall gather you together and those before (you)!,Yinnan ga yi efo eri kpe tsakani gaskiya be ganmanan yin'o Yi maa' Ye kuye kan'a ni ganni be za mafari zhi.(ebo egagbao).
Surah 77:39  ,  Now if ye have a trick (or plot) use it against Me!,Ye ga de tanadi ndoci de nan yea jin be mi yin nan e jin be yi le ye.
Surah 77:40 , Ah woe that Day to the Rejecters of Truth!,Azaba yan hallaka wun'a jin tabbata fo wuncin ta eti za nanzhi e' la alamari adini musulunci ganmanan nan
Surah 77:41,    As to the Righteous they shall be amidst (cool) shades and springs (of water).,Akika za nanzhie sundan Soko a mae tswa umurni'u zhi nan a fi mini wuru'o ganni be nuwan mannan gi zhi.
Surah 77:42 , And (they shall have) fruits- all they desire.To yangici mari-mari zhi nan zhi a' ga de shahawa a nan.
Surah 77:43 ,    "Eat ye and drink ye to your heart´s content: for that ye worked (Righteousness).,Acia gan'a gan: e fe gi ye man'e' fe fin yangban fa a yi ya ye yeo ebo iri etun wangi nanzhi ye fe' lo izheo nan.
Surah 77:44  , Thus do We certainly reward the Doers of Good.,Akika acinga' ga yi'a jin Yie la egagba wanciko ya za nanzhi gae lotun wangi nao.
Surah 77:45,  Ah woe that Day to the Rejecters of Truth!,Azaba yan hallaka wun'a jin tabbata fo wuncin ta eti za nanzhi e' la alamari adini musulunci ganmanan nan'o.
Surah 77:46,    (O ye unjust!) Eat ye and enjoy yourselves (but) a little while for that ye are Sinners.,A'ci a' gan ya egi mi nanzhi gan: e' fe' gi yannanzhi ga ba ye nan izheo ye man'e fe wo man kendoe ga bae nan izheo akika yandondo nan ga dan egwa e' bo nan tetengi uyio. Ebo nan lefi jinci zhi ye yio. Zobae ma yi enan.
Surah 77:47 , Ah woe that Day to the Rejecters of Truth!,Azaba yan hallaka wun'a jin tabbata fo wuncin ta eti za nanzhi la alamari adini musulunci ganmanan nan.
Surah 77:48    , And when it is said to them "Prostrate yourselves!" they do not so.,Ama ga'e gan ya' gan: e' dakpya ya Soko eba jin jin yan sallao e' ye'gan a dakpyaa.
Surah 77:49,  Ah woe that Day to the Rejecters of Truth!,Azaba yan hallaka wun'a jin tabbata fo wuncin ta eti za nanzhie' la alamari adini musulunci ganmanan nan.
Surah 77:50 ,  Then what Message after that will they believe in,Ka gan zawangi ya gaskiya be egan Alkur'anu yin'a egan yan litafi ki ci ke wun'a ya gaskiya be yin'
