Aark , Kútsuṇkîṇ
 Aadwolf  ,Shìgóntakîṇ
 Aargh!  ,Aah!
 Aaron  ,Árúnạ 
Aaron’s rod , Kwǎkwǎgúṇ Árúnạ 
Aba (garment) , Ábá 
Abaca  ,Àbaká 
Aback  ,Zùṇmạloci 
Abacus  ,Tápàtàgi Tákùṇ pàtàgi 
Abaddon , Kpankonạ Kpankoro enạ
 Abaft , Kézùṇmạ 
Abalone , Àbùlonìgi 
Abampere,  Abanpéré 
Abandon,  Lugwa 
Abandonment , Egwalu
 Abandonment option , Egwalu tsàjiṇ 
Abandonment, alue  Kuṇkuṇdạn gwalu 
Abase,  Yàgbà 
Abasement , Gbàyà 
Abash, Wạṇzùṇyě
 Abashment , Zùṇyěwạṇ 
Abate,  Zúṇ 
Abatement  ,Zúṇzúṇ 
Abatis,  Zúṇkîṇkó 
Abaxial  ,Zhisankarago
 Abaya , Abáyà 
Abba,  Ndǎtsóci Ndǎ Tsóci
 Abbacy , Ndǎtsócibà 
Abbasid,  Abasìci 
Abbatial , Ndǎtsócibàci 
Abbatoir,  Nạzúṇbà Enạzúṇbà  
Abbe,  Ndǎntsóci 
Abbess , Nnǎntsóci 
Abbeille , Abiili 
Abbeillian,  Abiilici 
Abbey,  Ndǎntsóba 
Abbot  ,Bàndǎ Ebà ndǎ 
Abbreiate , Pagéré
 Abbreiation  ,Gérépa 
Abcoulomb , Abukúlù 
Abdest , Yěṇá Eyěṇá 
Abdicate , Zhìsátsu Zhì èsatsu
 Abdication  ,Èsátsuzhì
 Abdomen , Núbwô 
 Abdominal ,Núbwôci
 Abdominal breathing , Esuṇsúṇ núbwô 
Abducens ,nere  Dìṇkiṇ bònyěgá 
Abduct , Bònyě 
Abductee  ,Eyěbògi 
Abduction,  Eyěbò 
Abductor,  Eyěbòci
 Abeam , Zhègwàdwa 
Abecederean  ,Ebisídìci 
Abed , Ṃàletí 
Abel , Hábílá 
Abele , Abélì
 Abelia , Abélìci
 Abelian group  ,Nàmi Abélìci 
Abelmosk , Nṃàzúda
 Abenaki  ,Àbìnákì 
Abeokuta , Àbìyókutá
 Aberdeen , Ábudìnì 
Aberdeen, Angus 
 Ábudìnì, Ángusí
 Abernethy,  Àbunétì 
Aberrant , Záyěkuṇ
