Daddy  ,Mama
 Daft , Boki 
Daftness  ,Bokiboki 
Dagger , Tamagi 
Daily,  Yěliyèli 
 Dam,  Gàkpàṇ     
Dam,  Kàṇgà 
Damage , Nyifù 
Damn,  Kuto Ku tokó 
Damnation , Tokóku 
Damned!,Jàm! 
Damp , Bànù Bà nuwạṇ 
Damper,  Tà 
Dampness , Nùbà
 Damsel,  Nyạntsugi 
Dance  ,Nyạṇyà  
Dance,  Eṇyà 
Dance (a type)  ,Kúbála 
Dance (of the Kyya)  ,Egbè 
Dance floor,  Enyaba 
Dancer , Eṇyạnyạci 
Dancing,  Eṇyànyạ
 Dandle , Tsạṇyà
 Dandy  ,Eyéjiṇci 
Dangerous , Nuko 
Dangle , Gingè 
Dangling,  Gèngi 
Dank , Dzugwa
 Dapper,  To 

Dappled,  Tsayèrè 
Dare , Cèrě 
Daring  , Cèrěgi 
Daredevil , Kpànḳàṇàgi
 Daredevilry , Kpànḳàṇà 
Dark  , Zhì 
Darken , Pazhìkò 
Darkness  ,Zhìzhì
 Dark place,  Bàzhìkò 
Darling,   Ciṇbǒṃá Ciṇciṇ bǒṃá 
Darn  Lu ,sambi 
Darning needle,  Èkiṇkó 
Darter (bird),  Wạṇgi
 Dash (knock)  ,Tswáṇnyạ 
Dashing (fine),  Shàbwà 
Data , Fìrǐ 
Date  ,Dá ’fo  
Date (day) , Eyí 
Date (palm) , Efù 
Dated , Jiṇfo 
Dating , Fodá 
Daub  Le Daughter  ,Nyingùn 
Daughter-in-law,  Gitú 
Daunting , Dama 
David  ,Dawuda
 Dawdle , Tiṇà 
Dawdling  ,Tiṇànyǐ 
Dawn  ,Fáfá 
Day,  Efo 
Day after tomorrow  ,Sokpázhìn 
Day before yesterday , Tsótáci
 Daybreak , Nyakán 
Daylight ,Bàtiṇ Bàyětiṇ 
Day of Judgement,  Efo Bógá 
Day of Resurrection , Efo Ekiṇnạre 
Daytime , Efé 
Daze , Lóyé 
Dazzle  ,Shéyé 
De , Tsutsuci 
 
Deened  ,Tayinyǐ

 Deaf  , Tètukpa 
Deaf  ,Tukpatènci 
Deafness,  Tukpatè 
Dealer,  Zàshì 
Dear  ,Ṃábó 
Dearness , Bóṃákuṇ 
Dearth , Cisân 
Death  ,Tsutsu 
Debilitated , Gbògun 
Debt,  Gbàtà 
Debt pay  ,Wò gbàtà 
Debtee , Gbàtàci 
Debtor  ,Gbàtàgíci
 Debt payer , Gbàtàwòci 
Decay,  Vò 
Decay (cloth),  Mu 
Decay , Gàvò 
Deceased,  Zabǐ 
Decease,  Bǐ 
Deceit,  Kòcě 
Deceive , Cěkò 
Deceiver , Kòcěgi 
Deception  ,Kòcěkun 
Decide  ,Lìjiṇ 
Decision  ,Lìlìjiṇ 
Deck (of ship)  ,Yagbàta 
Decker (for decking floor)  ,Luba 
Declare  ,Nàmi  
Declivity , Gagágí 
Decompose  ,Gíko 
Decomposition , Ekogí 
Decorate  ,Togèza 
Decoration,  Gèza 
Decoy , Lovo 
Decrease , Ké 
Decree , Efíṇ 
Decrepit  , Gbàncàlià
 Dedication  ,Nyagbandan 
Deduct,  Liké 
Deed , Èjiṇ 
Deem , Dùyé 
Deeming,  Yédù 
Deep  ,Shìko 
Deep (water)  ,  Shìdù 
Deep fry , Cian 
Deep-set  ,Kolo 
Deer  ,Èké Èkégi
 Deer (red) , Kungi 
Deer (small),  Kuriangi 
Defame  ,Jiṇbà Jiṇ bà
 Defamation  ,Ebàjiṇ 
Defeat  ,Gíyé Gí eyé 
Defeat,  Eyégí 
Defecate  ,Tsabi 
Defecation,  Ebitsa 
Defense , Gùnle 
Defend , Legùṇ
 Defer , Kógbạṇ 
Deferment  ,Gbạṇkógi
 Deficiency , Díṇdíṇké 
Deficient,  Díṇké 
Define  ,Mànye 
Defraud,  gibòshí   
Degree,  Bìtà 
Dehusk,  Bó 
Dehydrated , Kágé 
Dehydrogenated,  Díṇmạnuwạnci 
Deity,  Eshan  
Deject  ,Te nyạgbàn 
Dejection , Nyạgbànte 
Delay , Kpebo 
Delay , Ebokpe 
Deliberate (ponder) , Sabo
 Deliberate (intentional)  ,Shìkpàshì
 Deliberately  ,Shìkpà 
Deliberating , Ekpàshì 
Delicate , Bòdòngi
 Delicious  ,Ṃàròbò Èṃàròbò 
Deliver , po 
 Deliver (save) , Gin
 Deliverance , Gigin 
Deluge , Gǒyà 
Deluge , Yàgǒ 
Demand  ,Gògbà 
Demanding , Gbàgò 
Dementia  ,Rànyạgbạn
 Demitasse,  Màṇdù 
Demolish,  Zhèvuṇ
 Demonstrate , Jiṇwú 
Demonstration (riot)  ,Jiṇjiṇwú 
Denigrate  ,Cé cegèra 
Denigration,  Cegèra 
Denim  ,Múnù 
Denizen  ,Nugba 
Denouement,  Wǒwó 
Dense , Dzugbu 
Densely  ,Dzugbunyi 
Density  ,Gbudzu 
Dent,   Pàdạn 
Depart  , Kpéda 
Department  ,Èswà 
Dependent , Gíjègíjè 
Dependent  ,Gíjègíjè 
Dependence,  Kpikpema
 Depend on,  Kpema 
Depth , Dùshì Èdùshì 
Deportment  ,Bózhì Ebó zhìzhì 
Depose,  Bòmì 
Deposit (money)  ,Wógwaba Ewó gwaba
 Deposit (sediment) , Cíṇta 
Deposition , Tacíṇ
 Deprecate,  Láto
 Deprecation,  Tolá Etolá 
Depreciate (financial),  Cíṇwó 
Depreciation (financial)  ,Wócíṇ
 Depress (s) , Bàṇ nyạgbàṇ 
Depression (sness) , Nyạgbàṇbàṇ 
Depression (cavity)  ,Gborogi 
Deputize  ,Tuṇzùṇṃà 
Deputy , Zùṇṃàtuṇ 
Derail  ,Díṇkwǎdu
 Derive  ,Labân 
Dermestid  ,Emu 
Derogate,  Kiàtsúkùṇ
 Derogating  ,Tsúkùnkià 
Derogatory , Tsúkùnkiàci 
Descant,  Nítò Ení ètò 
Descend  ,Ciṇzhìṇ 
Descendant , Yágiyàgì
 Describe  ,Jíyé 
Description , Yéjí 
Desecrate , Ban 
Desert , Zhaṇa
 Desert date  ,uwaci
 Deserted  ,Wasa 
Desiccate,  Ké kére 
Desiccation,  Kéreké
 Design  ,Ṇàtsa Èṇà etsa 

Designer,  Natswagi 
Designer ,Tswaṇà
 Designer (fashion) , Janci 
Desire , Yégǐ 
Desire,  Gǐyé 
Desist , Kégǎṇ  
Desolate , Wasa 
Desolation , Wasa
 Desperate , Shíako 
Desperation,  Ekoshía 
Despise , Fiàmi 
Despiser , Emifiàci 
Despising  ,Emifià 
Dessert  ,Nyakunnia 
Dessertspoon , Kòzhiya 
Destitute,  Gate 
Detain , Wankan 
