Each  ,  Ndondò
 Each other,  Dòzhì 
Each person , Zàndondò 
Each time , Kándondò  
Eager   ,Lagwala 
Eagerness , Egwala
 Eagle , Kàkó 
Ear  ,Tukpa 
Ear (plant) , Egi
 Ear  ,Bagi 
Ear drum,  Egi tukpa 
Ear lobe , Tukpa kpere 
Early , Sàka
 Early  ,Dàdà 
Earliness , Kánkáká 
Earn , Gbewó Gbe ewó
 Earning  ,Wógbe 
Ear-ring  ,Nyạntukpa 
Earth,  Egà 
Earthquake,  Kîndu 
Earthshaking , Kînkùṇci
 Earthshattering,  Kînsáci 
Earthwork  ,Gúbàṇtí 
Earthworm  ,Ègo Ègo ègo 
Earthworm (large one) , Kîṇlǒgi 
Ear wax , Ebi tukpa
 Ease ,  Fạn 
Ease  ,Efạn 
Ease be at,  Kutá 
East , Yilà Eyilà 
Easiness,  Fifạn 
Easy,  Dáshíṇ 
Easiness , Eshíṇdá 
Eat,  Gí 
Eatable,  Nyạngí 
Eatery,  Nyạngícigíba 
Eating,  Ègǐ 
Eaves,  Èwà Ebagi (Nupe subtribe)  Ebángi 
Ebony (colour),  Didi 
Ebony (tree) , Busunci 
Ebony (tree species)  ,Kushé
 Eccentric , Dạnbódạn 
Echo  ,Gbogùṇ 
Eclipse , Ènǔ 
Eclipse (lunar) , Etswa a yigídí wạṇ
 Eclipse (solar)  ,Yigídí a tswa wạṇ 
Economics,  Wòmâgi 
Economize,  Mâ 
Economize (money),  Mâwo 
Economy,  Mimâ 
Economy (money),  Wòmâ 
Eczema , Gínfùrù
 Eddy  ,Dùzhǐṇ Edù èzhǐṇ Edegi (Founder of Nupe)  Èdègi Èdigi 
Edge,  Kápa
 Edgewise , Gàngà Zhe gàngà 
Edginess , Dodododonyi
 Edging , Wza 
Edgy  ,Dodonyi 
Educate , Kpeye 
Education,  Eyekpe 
Effect  ,Gídzà
 Effect , Gígídzà 
Efficiency,  Gígídzàge
 Efficient,  Gídzàge 
Effort  ,Enùsùṇ 
Effortful  Effort make  ,Sùnṇù 
Effuse  ,Kpà 
Egg,  Ezhì 
Eggplant,  Kekú 
Ego , Ebò 
Ego have  ,Gibò 
Egotism,  Bògi Ebògi
 Egret,  Elú bǒkùṇ 
Egret (cattle)  ,Elúngǒyì 
Egypt,  Masarì
 Eh ,E 
Eid , Yídí 
Eid ul-ha , Sálakó 
Eid ul-Fitr , Sálagi 
Eight,  Gútotá 
