Fable,  Dzogàṇ
 Fable tell , Gàṇ dzogàṇ 
Fabric  ,Dzùlà 
Façade,  Mạgani 
Face , Edzú 
 Face make, a  Gbeyé –
Facient ,Dzi 
Facilitate , Tátí 
Facility , Títá 
Facilitation , Títájiṇ 
Fact  ,Gàṇjiṇ Egàṇjiṇ Egàṇ ejiṇ 
Faction , Wurùmi 
Factor , Jiṇkáṇ 
Factor , Káṇjiṇ 
Factoring , Gbàtàshi
 Factory  ,Tswata 
Factual , Gànjiṇgi 
Fade , Toya 
Faeces , Ebi 
Fag  ,Sạṇgi 
Fagot  S,ìsạṇgi 
Faint  ,Zúṇtsu 
Faint-hearted,  Dànyì
 Fail,  Gba 
Failure , Gbigba 
Fair (market)  ,Swàdạn Eswàdạn 
Fair (beautiful),  Sárá 
Fair (better),  Daci 
Fairness (equity)  ,bǎgu
 Fairy  ,Kòtògi 
Fairy tale , Ècìṇ kòtògi 
Faith have in  ,Kpeyé Kpeyétú 
Faith , Wòshì 
Fake , Jiṇ bàrù 
Fake,  Bàrùgi 
Fakeness,  Bàrù 
Falcon , Gíra  
Fall (person) , Nìkîn
 Fall (a thing),  Gbìṇ
 Fall,  Kînnì 
Fallacy , Kata 
Fallow  ,Mimí 
False,  Bodi
 Falsehood,  Dǐbó
 Falsify,  Zúṇwáṇ 
Falter (speech)  ,Kùṇmi 
Falter (walking),  Gběgbě 
Falteringly , Gběgběnyí 
Fame , Yětí
 Familiar ,  Dámí 
Familiarity,  Yědá 
Familiar spirit , Gàkuṇ Egàkuṇ 
Family,  Nyíci 
Famine,  Mikûn 
Famous, Tíyě 
Fan,  Tswáṇfè 
 Fan  ,Tswáṇfèngi 
Fang , Kàṇwa Nyíkàṇ ewa
 Fancy ,  Fiyé
 Fancy , Yěfi 
Fancywork  ,Nyạyéfi Enyạyéfi 
Fan palm , Gbaci 
Far , Lokpá 
Farcical , Fèlu 
Fare , Zàṇlè Ezàṇ lèngi 
Farewell bid,  Tí kpámú 
Farewell , Kpámútí   
Farm,  Latí 
Farm , Nùnu 
Farmer , Enunùci 
Farmhand , Fàci 
  
Farming  ,Enunù 
Farmland,  Efo 
Farm ridge , Èwò Kúkpákáwò 
Farmstead  ,Efoba 
Fart  ,Sanbi 
Fashion,  Tori 
Fashion designer,  Janci 
Fast  ,Sáṇ 
Fast (firmly) , Gbáṇyi 
Fast  ,Wumạndạn
 Fastening , Káṇgi 
Fastfood,  Kạndókuṇ
 Fastidious,  Jiṇswà
 Fasting,  Mạndạnwu 
Fastly , Vàvànyǐ
 Fat,  Ebě 
Fat (informal) , Mínạkàṇ Emí nạkàṇ
 Fat , Gbo 
Fat (informal) , De mínạkàṇ 
Fate , Gàṇba Egàṇ eba 
Father , Ǹmà 
Father-in-law  ,Bàyíwó bagi 
Fathom , Gába 
Fathomless  ,Kpoka 
Fatigue,  Èsàṇ 
Fatigued,   Ṃǎsàṇ
 Fault  Favour , MạṇáMạṇájiṇ
 Favour,  Jiṇ mạṇá
 Fear,  Suṇdàṇ
 Fear , Èdàṇ Dàṇsuṇ Edàṇsuṇ 
Fearful , Edàṇsuṇci 
Feasible  ,Kposun 
Feast  ,Mbà 
Feather,  Bina 
Feather ,back 
fish  ,Bantara
 Fed up , Ha 
Feeble  ,Làbò 
Feeble-minded , Làbò 
Feeble-mindedness , Bòlà 
Feed , Kpa 
Feed (animal),  Ègì
 Feedbag,  Buruganu 
Feel  ,Wo 
Feeling , Èwo 
Feign , Jin bàrù 
Feigning,  Bàrù 
Fellow,  Dòzhì 
Felon,  Gwasògi 
Female , Nyinko 
Feminine,  Yíwó 
Fen  ,Bàdá 
Fence,  Egbà 
Fence , Swàgbà Swà egbà 
Fenland,  Rùwà 
Ferment , Sayà 
Fermentation , Èsa Yàsa 
Fermented , Yàsaci 
Fern  ,Cintàrà giama 
Ferret,  Mạnạkàṇ 
Ferret , Mạnạkàṇgi 
Fertile , Mạyí 
Fertilization , Ṃàyisạn 
Fertilize,  Sạn ṃàyi 
Fertilizer  ,Ebògi 
Festival , Elò
 Festoon , Manya 
Fetch (water liquid) , To 
Fetch (things clothes) , Kpǎn 
Fetish , Guṇnu
 Fetor  ,Gàwù 
  
Fetter  ,Cíndzànà 
Fever,  Bàjiṇ Ebàjiṇ 
Fever, have  Jiṇbà Jiṇ bà 
Fever bark , Nanbi sunsun 
Few  ,Dégi 
Few and far between , Kàtàkpotì 
Fez  ,Dàra 
Fib  ,Fófù 
Fib  ,Fùfó 
Fiber  ,Dzàrí 
Fibre  ,Dzàrí
 Fibrous , Dzarigi
 Fibula ,Kátankpà 
Fiction  ,Yětswagi 
Fictionalize  ,Tswayé
 Fiddle (aimless fingering) , Kpagwa 
Fiddling  ,Egwakpa 
Fiddle (musical instrument) , Bènba Bè mba 
Fiddle (a type)  ,Gbòge 
Fidelity , Nyạgbàṇnini 
Fidget  ,Jiṇ kǒkǒgi 
Fidgety , Kǒkǒgi 
Field , Kân 
Fierce ,  Kwárí 
Fiery  Pena Fifteen , Gwégì
 Fifth , Tsuṇci
 Fifty , Áráta 
Fig ,Gbanci 
Fig (wild one) , Pòtò
 Fig nut,  Ègba
 Fig plant , Cediya Fight   
Fight   Fight (box) , Cékò 
Fight (boxing) , Ekòcé 
Fighter , Ekòcéci 
Figur,e  Yétsa
 Filament , Enwu
 File (sharpener),  Eṇyà 
File (sharpen) , Gbo 
Fill  ,Shé 
Fillet (hair),  Èsàgi 
Fillip  ,Cépátángi
 Fillip , Pátángi 
Film , Fiáliági 
Filter,  Bè
 Filth , Èbàṇ
 Filthy,  Lùbàṇ
 Fin , Gwankạn Egwa nyikạn 
Final , Wogbo 
Finale , Gbogbo
 Finalize , Wòwogbo
 Finance  ,Gewó
 Finance,  Wóge
 Financing  ,Gigewó
 Find , Leyé 
Fine (okay) , Ge 
Fine (beautiful),  Sà
 Fine (lovely) , Bólógi 
Finery  ,Sárági
 Finger,  Gingiṇni 
Finger little , Gingiṇnigi 
Finger grass , Alikyangi yiwo
 Finger millet,  Tamba 
Fingernail , Vùndùnnù egwa 
Fingertip , Egwatígi 
Finish , Zo
 Finishing , Jiṇjiṇzo 
  
Fir  ,Tíkàṇci 
Fire  ,Enạ 
Fire (kindle),  Gúṇnạ 
Fire (set),  Sùṇnạ
 Fire (strike),  Sánạ 
Fire (gun),  Cé nạtso 
Fire catch  ,Wạṇ nạ 
Firearm,  Nyạnkpakuṇnạ 
Firebrand , Enạ tsokùṇ 
Firefly , Nạbáṇbáṇgi 
Firefighter,  Enạnùci 
Fireman,  Enạshici 
Fireplace , Nạncébà 
Fire ring , Múfuṇ 
Firewood , Cigbàṇ nạgúṇ 
Firmament , Sòkófìṇ 
Firmly , Gbanyi 
First , Bě 
First , Běbě
 First  ,Èbě Kpátí 
Firstborn , Kpinma
 Fish,  Nyikaṇ 
Fish (angle)  ,Cé gòrò 
Fish catch , Wạṇ nyikaṇ 
Fish eagle,  Èshiàṇ 
Fisherman,  Nyikaṇwạṇci 
Fishmonger,  Nyikaṇkúṇci 
Fishnet , Fomạn 
Fishnet (basket) , Akishi 
Fishnet (lift net),  Akowogi
 Fishnet (big fishing net) , Ankokasa 
Fish spear,  Èfiạn 
Fissure , Ecîn
 Fist  ,Èkò Gwàkò 
Fit   ,Mì 
Fit (convulsion) , Gbiṇgbiáṇniáṇkú
 Fit (convulse) , wạṇ gbiṇgbiáṇniáṇkú 
Five , Gútsuṇ
 Fix  ,Kàṇ 
Fixed  ,Kikàṇci
 Flaccid , Mumugi
 Flag  ,Fángi
 Flake  ,Gbiá Gbiáya 
Flamboyant tree  ,Gbangbaragi 
Flame  ,Taranạ Gintara enạ
 Flame , Wa taranạ Wa gintara
 Flamingo, Elú bǒkùṇ 
Flank , Kpàṇgwa 
Flannelette , Dzúlá
 Flare , Kenạ Ke enạ 
Flash  ,Dzwáṇ Dzwáṇnạ 
Flash , Èdzwàṇ
 Flasher , Nạdzwáṇgi
 Flask,  Míṃà 
Flat , Pàtà
 Flat-footed , Bìcí-pàtàci
 Flat-footedness,  Bìcí pàtà
 Flat-sided,  Nìpàtà
 Flatter,  Kóní 
Flaunt , Shéyé
 Flaunting ,Yéshé 
Flavin  ,Yaràngi 
Flavour , Egân 
Flaw , Zhìku
 Flawed,  Kúzhì 
Flax , Cèyì 
Flaxen  ,Túri 
Flay,  Píṇfè
 Flea , Dzànkétégi 
  
Flea beetle , Ndako basa 
Flee  ,Lakpanká La kpanká
 Fleet  , Sáṇ 
Fleet  Flesh,  Shakpè 
Fleshy (obese),  Dzantu 
Flex , Fànyì 
Flex (rope), Cíndzàṇàn 
Flexible,  Nyifa 
Flicker, Lafè 
Flight (crowd),  Kpankála 
Flimflam,  Dodobiaria 
Flimsy  Bongi Fling (throw)  ,Vúṇcéya
 Flint  ,Nạsá 
Flintlock, gun 
 Cakabula Flip-flop  Wakángi
 Flip-flop  ,Kángi 
Flip-flop (slipper),  Lâmlâm 
Flirt , Shínú 
Float , Sáṇ Sáṇtú 
Float , Ètsú Tsútsú 
Flock , Múshishì 
Flog,  Wulu 
Flog , Luwu
 Flood , Lànuwạṇ
 Flood  ,Èlà 
Floodplain , Èdzà 
Floor , Kpiantia 
Floor (knock down)  ,Dankin 
Floor-pounder,  Èpa 
Florin , Dalà
 Flour , Yìkùrù
 Flow,  Jè 
Flow,  Èjè 
Flower , Ená  
Flower,  Laná
 Flu,  Cíṇguṇfè 
Flu have , Wạṇ cíṇguṇfè
 Fluff , Kpusu 
Fluffy  ,Kpusugi 
Fluid  ,Dará 
Fluid  ,Darági 
Fluidy  ,Daráci 
Flurry,  Shiwu 
Flute , Kpànsáṇṇági 
Flutist , Kpànáṇṇágibeci
 Flutter,  Fùrù 
Fly  ,Nyạshè 
Fly (housefly) , Dìṇni
 Flywheel  ,Gùlǔlù 
Foal , Bìdi 
Foam  ,Futanfu 
Foam  , Fu 
Focus  ,Pìṇyé 
Focus , Yěpìṇ
 Fodder ,Tantaka 
Fog , Wùtu Wùtuwùtu 
Foil , Féni Féré finni 
Folk , Nyídò 
Folk tale  ,Ècìṇ 
Fold , Yápà  
Fold over, Kápà
 Fold , Kikápà
 Fold (enclosure)  ,Gàmi
 Foliage,  Yitóló 
Folio , Bàrikó 
Follow , Lámitú
 Follower  ,Mitúci Emilátúci
 Fondle  ,Zagwa Fonio  Suru 
Fontanel , Gujà 
 Food (Modern Nupe)  ,Nyạgíci  Eatable
 Food (Old Nupe) , Emu 
Foodstuff  ,Muku 
Fool  ,Edagi 
Foolish  ,Tandági 
Foolishness , Dági 
Foot  ,Bita 
Foot (unit of length),  Bicidan 
Foot (six-toed) , Èdàṇgi 
Football,  Kòpàbìcí 
Footballer , Èkòbìcíci 
Footbridge,  Sólò 
Foothold,  Bìcítagi 
Footing,  Bìcíta 
Footmark , Tsabì Etsa bìcí 
Footnote , Nyạgó 
Footpath , Ekpagi 
Foot soldier  Gùṇbìcídà Ègùṇ bìcídàci 
For (because) ,Gànmá Gànmáshi 
For , Yà 
For (sake),Ebó
 Forbid  ,Shìzhì 
Forbidden , Zhìshìci 
Force , Jin kala
 Force , Kala
 Forceps , Èmǔgi 
Ford  ,Tsunuwan 
Forebear,  Dodo
 Forehead  ,Yěgùṇ 
Foreign  ,Dìbòci 
Foreigner  ,Dìbò 
Forelock , Gěgùṇ 
Foremost , Gbógbà  
Forenoon , Yisàkà Yisàkàgi 
Foreskin  ,Badùṇ Ebadùṇ
 Forest,  Kúsò 
 Forest grass , Bisanba 
Forestry,  Kúsòkùn 
Foretell,  Ganshishi 
Forever , Kálo  
Forge , Tswana
 Forge , Napin
 Forget  ,Batàn
 Forgetfulness , Etànba gi 
Fortitude  ,Wùgbó 
Fortitudinous , Gbówù 
Fortunate,  Jiṇ Kpárá 
Fortune,  Kpárá 
Fortune-teller , Gbàkòsạnci 
Fortune-telling , Gbàkòsạn
 Forty , Shibà 
  
Forum  ,Zàbàta Ezàbàta 
Forward,  Yègbò
 Forward ,  Gbòye
 Forward (behaviour)  ,Kàṇyé 
Forwardness , Yékàṇ Eyékàṇ 
Fowl  ,Bishe 
Fowl (black)  ,Gbạṇdun Bishe gbạṇdun 
Fowl (gray coloured) , Kpàyi Bishe kpàyi 
Fowl (guinea fowl)  ,Lugba 
Fowl (multi-coloured)  ,Èdzwàṇ Bsihe èdzwàṇ
 Fowl (red and black coloured) , Bishe lǔkpa
 Fowl (red and white coloured),  Gbàtá Bishe gbàtá 
Fowl (tonsured) , Kpìkpì Bishe kpìkpì 
Found,  Shìkìn 
