Gabardine,  Tsamiya 
Gabber,  Ganganwoci 
Gabble,  Gangan wawagi 
Gable , Koka 
Gabriel,  Jìbìrîlù 
Gad (stick) , Sangi 
Gad (wander) , Zakan
 Gadget,  Nyangagi 
Gadfly ,Gbingbiannia 
Gaff ,Acigiri 
Gag  ,Takunkumi 
Gag (retch)  ,Yi tungba 
Gain,  Gibà 
Gain  ,Bàgì 
Gale  ,Efeko 
Galaxy (universe),  Yanko 
Gall  ,Gawan Gawanjin Ega wanjin 
Gallery  ,Bokun 
Gallon,  Kùlùtu
 Gallop,  La Laci La eci 
Gallop , Ecila 
Galosh,  Wufiko 
Gamba grass , Bugana
 Gamble,  Cedzu 
Gambler,  Edzuceci 
Game (play) , Kìtǐdzǒ 
Game (animal), Nạmi 
Gap,  Èdzǔ 
Gape , Yaye 
Gaping , Yeya Eyeya 
Garbage,  Vovo 
Garbage dump,  Vovonta 
Gar,b  Jankpe 
Garbled , Botebote 
Garden,  Èkan 
Garden egg ,Yengi 
Gargle,  Tsumi 
Gargle (deep throat) ,Na bere 
Gargantuan , Bididi 
Gari (cassava flour)  ,Gari 
Garlic,  Lowokùṇ Tafarnuwa 
Garment , Jankpe 
Garne,r  Dò 
Gas  ,Ewú 
Gash,  Yeko 
Gasp,  Shi kpa 
Gasping,  Ekpashi
 Gate , Banmisuṇ 
Gatekeeper , Bàmpaci 
Gateway,  Dzunko 
Gather , Yekan 
Gathering , Ekanye 
Gauge,  Da 
Gaunt ,Dzogo 
Gaze,  Beyeba 
Gazelle , Barewagi 
Gear ,Sutura 
Gear up  ,Tukpa 
Gecko,  Malelegi Manlelegi 
Geld  ,Jin tawure 
Gem,  Egbó 
Gemstone  ,Egbógi 
Genealogy,  Dzomi Edzomi 
General ,Falaci
 General , Fala 
Generally, Falafalanyi
 Generate , Mạnyé 
Generation (production),  Yémạn Eyémạn 
Generation, (past)  Ndakondako 
Generation (present and future),  Yagiyagi 
Generic , Wuri 
Generous ,Mananyi Ma nanyi 
Generosity  ,Nanyima 
Genesis,  Kákânmạ 
Genie,  Layi 
Genital , Toko 
Genuflect , Kukura 
Genuine , Hínhín 
Genre , Yirika 
Genteel , Kawa 
Gently,  Janyi 
Gentry,  Lowon
 Genus , Riri 
Germ,  Yedzo 
Germinate , Nyì 
Get  De 
Get ahead,  Cenka
 Getaway ,  Fiaya 
Get hold of  ,Bagwa 
Ghost , Fara  
Ghoul,  Bantu 
Giant  ,Gboya 
Gibber  ,Ta ede 
Gibberish,  Baru 
Giddy , Wanyi 
Giddiness,  Eyiwan 
Gift  ,Eriatwa 
Gift to give,  Twaria 
Gill  ,Eshe 
Gimlet  ,Miyi 
Gin,  Bàràsa
 Gin (cotton)  ,Kpákó luludza 
Gin,  Dza Yà 
Gin (trap) ,Ndacegi 
Ginger,  Cuta 
Gingerly, Dzandzanyi 
Gingivitis,  Efuko 
Ginned cotton  Lulu, dzaci 
Ginning,  fan 
Giraffe , Berewagi 
Gird,  Dannin dan nin 
Girdle , Dannin 
Girdle  ,Nindan 
Girdle (women) , Dóró 
Girl   Girth,  SadinEsadin 
Gist,  Tàzà 
Gist  ,Ezàtà 
Give,  Ya La ya 
Give a hand , Dangwa 
Give chase,  Fan 
Given that ,Mamina… nade 
Give up the spirit , Cinkun 
Give way  ,Yaba 
Glabrous ,Giakogiakogi
 Glad  Jin, muruna 
Gladness,  Muruna
 Glance,  Pia 
Gland,  Kiki 
Glare  ,Cin yekondunnu 
Glare  ,Yekondunnucin 
Glass,  Bàyěle  
Glass (Masaga glass),  Bikini 
Glassworker  ,Màsàgǎ 
Glassworks , Màsàgǎfù 
Gleam , Máṇnạ 
Glean,  Ma 
Gleaning  ,Nyamangi Enyamangi 
Glide , She 
Glimmer , Báṇnạkéngǐ 
Glimmer  ,Nạkéngǐ 
Glimpse  ,Yeta 
Glimpse,  Taye 
Glisten,  Wǒ 
Glitch , Kítà 
Glitter , Báṇnạ 
Globe , Kùlù 
Globular ,Kùlùlù 
Gloom , Kpirigi
 Gloomy ,Kpiri 
Glory,  Mama 
Gloss , Kò 
Glossy , Bolowa 
Glove  ,Gwawo Egwa ewo
 Glow,  Kónạ 
Glow,  Nạkó
 Glower,  Cin yekolangi 
Glowworm  ,Kundu kundu 
Glue,  Nyimà
 Gluey ,Nyimànyimì 
Glume  ,Kpala 
Glutton,  Evomifinci 
Gluttonous ,Finvomi 
Gluttony,  Evomifin 
Gnarl  ,Cekpotun 
Gnash , Gigǐ
 Gnat,  Nyafukongi 
Gnaw,  Ma gi 
Gnome,  Gwàmpì
 Gnostic , Gbáṇkpeci 
Go , Lo
 Goal , Èshǐṇ
 Goat,  Busuru 
Goat (general term for sheep and),  Nangi 
Goat (young)  ,Bikun Bikungi 
Go away  ,Kpekpe Kpekpe keba 
Goat he  ,Wuria 
Goatweed  ,Enyigi 
Go-between , Tayí 
Goblin,  Giri 
God  ,Soko
 god (lesser god)  Esha 
Godfather , Ndagwagoci 
God forbid! , Soko a ye a! 
God is great!, Soko a to! 
Godmother  ,Nnagwagoci 
