Habit , Ebó  
Habour  ,Kpatako 
Hack  ,Kià 
Hades  ,Kumi Eku emi 
Hail,  Takun Soko  
Hailstone  ,Takunle
 Hair  ,Enyì 
Hairbrush,  Shentigi 
Hair dresser , Tinti 
Hair keep  ,Sheti 
Hairless , Kólómbó Kórómbó 
Hairpin , Tile  
Hairy,  Fùrùyǐ
 Hajj , Haji 
Hajji  ,Alazhi Alaji Alhaji  
Half , Ganfi 
Half-baked  ,Kpalala 
Half-brother,  Tsogi bagi 
Half-caste,  Lanká
 Half-hearted , Gwalagwala 
Half-sister  ,Tsogi nyizagi
 Hall , Katambako 
Hallucinate , Núna 
Hallucination , Nanú 
Halter , Ragaman
 Halterbreak , Jin ragama
 Halterbreaking , Ragama 
Halter-rope , Alisawoli
 Halve , Ganfi
 Hamlet , Tungagi 
Hammer,  Ètsu 
Hammer  Kan, Kantsu 
Hammer (gun) , Ekpati nạtso 
Hamper  ,Gunmi  
Hand  ,Egwa Egwa kperegi 
Hand (back of) , Egwa zunma 
Hand give a , Dangwa 
Hand (six-fingered),  Edangi
 Handball , Kompagwa 
Handgun  ,Adamagi 
Handkerchief   Handle,  Efú 
Handle,  Fú 
Handspin  ,Garagi 
Handspin , Wa garagi 
Hang (on wall)  ,Ban
 Hang (on frame) ,Ha 
Hang (on body),  Dan 
Hank  ,Tswanigi
 Handbag,  Namfa 
Handball, Èkògwa 
 Handbreadth,  Taka 
Handclasp  ,Tafigo 
Handcuff , Gbogbogwa 
Handiwork , Tutungwa 
Handkerchief,  Edesagi
 Handle  ,Gwagi 
Handle (for knife),  Efú 
Handle,  Cegwa 
Handout , Sajeta 
Hand-rest,  Gwata Egwata 
Hand shake,  Yagwa 
Handshake,  Egwaya 
Handspring , Garagi 
Handspring turn,  Zhegaragi
 Handwork , Etungwa 
Hang (suspend)  ,Ban 
Hang (strap) , Dan 
Hanging  ,Biban 
Hank , Yikaya 
Honour  ,Màmà 
Honourable , Màmàgi 
Happiness  Ninma 
Happy  , Manin 
Haram  ,Aramu 
Harass , Tugunnia
 Harassment , Gunniatu
 Harbour  ,Kpatamisun
 Hard (difficult) , Tankpa
 Hard (laborious)  , Kpaka
 Hard (solid) , Kpaku 
Hard (very) , Kpáṇnǐ 
Hardcore,   Tanyere 
Harden  ,Pa 
Hard feelings , Nyạgbàṇ shikan 
Hard labour  ,Etun kpaka
 Hardship , Eciáwǒ 
Hardship undergo,  Gòciáwǒ 
Hardy,  Gbagúzú
 Hare  ,Ganagi 
Harelip , Èdègi 
Harlot , Egbo 
Harlotry  Harm  ,Nyigun Nyi egun 
Harmonica , Binakun 
Harmonize,  Lodò 
Harmony , Dòlò 
Harness,  Matsafi
Harness antelope , Ekogi 
Harp  ,Bisan
 Harper  ,Bisantsanci 
Harpoon , Efian 
Harpoon , Tunkpna Tun ekpan 
Harsh , Dzara 
Harshness,  Eradza 
Hartebeest,  Èkò 
Harvest  ,Ko 
Harvest (groundnuts),  Kú 
Harvest,  Edo Cf Granary 
Hash  ,Salu
 Haste  ,Eyédíṇ 
Hasten  ,Díṇyé 
Hat,  Kàtà 
Hatch , Ka Ka ’gi 
Hatchet,  Ezhé 
Hate , Ṇàvǒ 
Hater  ,Evǒṇàci 
Hatred , Evǒṇà
 Haughtiness  ,Gagà 
Haughty , Wo gagà
 Haul , Zhia 
Haulm , Kpace 
Haunch , Funyi 
Hausa,  Kenci 
Hausa , Keni 
Hausaland  ,Kîṇkeni 
Have,  De 
Haversack (common one)  ,Gbaguṇmàṇ 
Hawk,  Lǔgbè 
Hawk (sparrow hawk) , Èkpǐ 
Hawk (trade),  Ceka 
Hawking , Kace Ekace 
Hawser  ,Saraka 
Hawthorn,  Ekanci bokun 
Hay , Yikpaci Eyikpaci
 Hayloft  ,Kpiakia 
Hazard  ,Tasari 
Haze  ,Etúsû 
Hazy , Túsû 
Hereafter,  Eku  
