I , Mi 
Ibadan  ,Badan 
Ibis , Kanjerelu 
Ibo,  Egbo 
Ice,  Kankara
 Idea , Èlǒ 
Idealize  ,Lòlǒ 
Identical  ,Dozhinmigi 
Identify  ,La dozhinmi 
Identity,  Dozhinmi 
Ideologue , Zàlòlǒ 
Idiocy,  Zhègbigun
 Idiot,  Zhègbi 
Idle ,  Jin kafu 
Idle person ,Kafuci
 Idol  ,Shagba Cf Monarch: Kuti 
Idolater  ,Shagbaci 
Idolator,  Shagbajinci
 Idolatry , Shagbawo 
Idolize , Tushagba
 Idolization , Shagbatu
 Idoma , Idoma; Okpoto
 If , Wun ayi; Wun ayike; Wun ayike… na 
If, Ka; Kaba
 If,  Kagan
 Igala , Gárà
 Igbo  ,Egbo
 Ignite , Kana 
Ignition , Naka 
Ignoramus  ,Ràkpegi
 Ignorance , Ràkpe
 Ignorant , Ràkpeci
 Ignore,  Ceye
 Iguana , Làshè 
Ill ,  Tanya 
Illegitimate child,  Sabi 
Illegitimate, Sabigi 
Illiteracy , Búdê 
Illiterate person,  Búdêgi
 Ill-kempt , Makanmakanyi 
Ill luck  ,Tíbi
 Illness , Bàtáṇ
 Ilorin balsam,  Danci 
Image , Zàsàṇ 
Imagine , Názàsàṇ
 Imagination , Zàsàṇná 
Imago ,Damangi; Damandamnagi 
Imam  ,Liman 
Iman,  Imani
 Imbecile , Zasachi; Eza sachi 
Imbibe , Shin
 Imbrue , Tangia 
Imitate,  Sàṇyé
 Immeasurable , Guranyi 
Immediate,  Gbógia 
Immediately , Gbógianí 
Immense , Gandi 
Immerse , Dzunuwạṇan 
Imminence,  Kirikpa 
Imminent,  Kpakiri 
Immoderate  ,Kucinyi 
Immora, Bamvo
 Immorality,  Voba; Evoba 
Immoral person,  Bamvogi
 Immune,  Zhìtuṇró
 Immunity  ,Tuṇrózhì
 Impact , Gwadu
 Impala , Elo 
Impale , Fósa 
Impecunious  ,Zàgbà 
Impel , Pajin
 Impelling  ,Pipajin 
Impending,  Ciki 
Imperfection  ,Rani 
Imperfect,  De rani 
Impermissible  ,Musari; Amusari; Amusa 
Impertinence , Kurenge 
Impertinent ,  Jin kurenge
 Implant , Shì 
Implore,  Jin lali 
Imploration , lali 
Impolite,  Dzáṇ 
Importance , Gbongbo
 Important  ,Gbongbonci
 Importune,  Tin 
Imprecate,  Bukuti 
Imprecation,  Kutibu 
Impregnate,  Yawan
 Impress  Sapa; ,sa pa
 Impression , Sisapa
 Impressive , Pasa
 Impudent , Cinzunyebo
 Impudent person  ,Zunyecinboci 
Impudence  ,Zunyecinbo 
 Impulse  ,Pajingi 
I myself  ,Mi be eti mi nyi 
In (sing) ,Dan; Danbo 
In (plural) ,Fi; Fibo
 In  Mini; ,Ninmi 
 In  Gun; ,Gunbo
 Inane , Etíkpere
 Inarticulate,  Budanyi 
Inasmuch,  Yewondona; Yewona 
Incarnation , Dezhe 
In case , Akpeshia 
Incessantly, Gbódogbòdogbodoyi 
Inch  ,Eními 
Incinerate , Lana; La ena 
Incise , Danfin 
Incite  ,Wawun 
Incline,  Yapa
 Include , Godan 
Income,  Wèzhǐṇ; Wóèzhǐṇ; Ewó èzhǐṇ
 Increase , Kpạnyé Increase (add) 
 Be Increase ,(addition)  Bibe
 Increment , Èbe 
Incrustation , Gulu 
Incubate,  Kpe 
Incubator,  Ekpegi 
Inculpate  ,Yiboda 
Indecency  ,Enya 
Indecent  ,Nyạṇyà 
Indeed , Gbenigbe 
Indent,  Bạn; Bạndan 
Indentation , Pipadan 
Indented,  Bạndan 
Independence,  Zùṇkpema
 Independent,  Kpemazùṇci
 Index,  Gwàtùn
 Indigene,  Kintso 
Indigenous,  Zamci
 Indigence,  Tsitsa 
Indigent,  Etsa 
Indignant,  Punú 
Indignation,  Gungun 
Indigo,  Zhìshígi 
Indigo plant , Tsentse 
Indigo tree , Ecin 
Indisposition,  Efugi
 Individual (person),  Zaye 
Individual (separate) ,  Kato 
Individually , Zayezaye 
Indolent,  Langba 
Indurate  Wu, gbansan 
Indurating,  Gbasanwu
 Industrial,  Bájiṇtuṇci
 Industrialisation , Bájiṇtuṇciba
 Industrialise  , Babájiṇtuṇci 
Industrious,  Bájiṇ
 Industry (hard work)  ,Bibájiṇ
 Industry , Bájiṇtuṇ 
Inept , Watawata
 Inert , Kpianku 
Inexperienced,  Zana 
Infamous , Tiabi 
Infant , Bíbí
 Infect , Kuká 
Infection,  Kukuká 
Inferior , Damạngi 
Inferiority , Damạn 
Inferno,  Enabara 
Infertility  ,Èshè 
Infidel  ,Kafiri 
Infidelity  ,Gbanyí 
Infinity  ,Sanagudu
 Inflame  ,Ce kpotun
 Inflammation,  Kpotunce
 Inflate , Jin puga
 Inflated ,Puga
 Influence,  Sáṇbàṇ
 Influence,  Ebàṇsáṇ 
Influenza , Rusugi; Cingun rusugi 
Inform  ,Ṇyàkà 
Information  ,Èkà; Èkàṇyǎ
 Ingot  ,Tíkàṇ; Tíkàṇ nyạnkpa
 Ingrate,  Ṃànáwoci
 Inhalation  ,Yefo; Eyefo
 Inhale , Foye; Fo eye
 Inherit , Gigun 
Inheritance , Egun  
Iniquity,  Zunnubi 
Initial,  Kánká 
Initiate , Shigbàṇ 
Initiative,  Ègbàṇshi
 Inject , Tsukin
 Injection  ,Kintsu
 Injudicious , Tabazhi 
Injure, Nyibà 
 Injury , Ebànyi 
Ink , Ècìṇ 
Inkpot  ,Mangegi ècìṇ
 In-law  ,Yělè 
Inn , Danín; Eda nín 
Inner city  ,Zhinin 
Innermost , Níním 
Innovate,  Saye 
Innovation,  Yesa; Eye sa 
Innumerable ,Gwasan 
Inoffensive , Fu 
Inordinate , Kwatswa
 Inquire,  Gbâye 
Inquisitive,   Giliri 
Inquisitiveness  ,Lirigi
 Inquisition , Liri
 Insane  ,Jací 
Insanity,  Èjà 
Insect (crawling) , Nyasosongi 
Insect (flying)  ,Nyafungi
 Insert , Fě 
Insert  ,Èfěgi
 Insertion , Fifě 
Inside  ,Nin; Ninbo 
Inside  ,Nin; Ninbo
 Inside out , Bodi; Eyebodi 
Inside out ,(cloth)  Bodi
 Inside out  , Bodi; Eye bodi
 Insight,  Pasali
 Insinuate , Jin mariko
 Insinuation , Mariko 
Insipid,  Warika
 Insist  ,Giba 
Insistence  ,Gigiba
 Insolence,  Etiyele 
Insolent  ,Letiye 
Inspiration , Luwaya 
Instance (example) , Misali 
Instant  ,Gbogi 
 Instantly ,Gbogiani 
Instability , Mamagi 
Instantaneously , Piakwanyi 
Instead , Goma; Gomaga 
Instep,  Bici zunma
 Instigate  ,Sawun
 Instigation,  Ewunsa 
Introspect,  Dannyi 
