Jackal , Shìgbi
 Jackboot  ,Kubutako 
Jacket , Ewògi 
Jack-in-the-pulpit , Duku dagba 
Jack knife,  Agbori  
Jack-knife,  Angbori 
Jagged,  Kari 
Jail,  Lédú 
Jail house,  Èmì lédú 
Jamboree  ,Kwadzwa 
Jam-packed , Patampa 
Jar  ,Shákùn 
Jatropha , Kpetèyǐ 
Javelin , Zara; Zaragi 
Jaw  ,Gbakun 
Jawline , Lakín 
Jay  ,Biyakogi 
Jazz , Jazì 
Jealous , La nyạgbàṇ 
Jealousy , Nyạgbàṇla
 Jelly  ,Gbiadiagi 
Jelly-like , Gbiadia
 Jerboa , Kpokangi
 Jerk , Kpàfùrù 
Jerk  ,Fùrùkpà 
Jerked beef  ,Nạkàṇkpàci; Nạkàṇkpikpàci
 Jesus  ,Yìsà 
Jet (black) , Kpiri
 Jew  ,Yawudi; Yahudi 
Jewel,  Gbadu 
Jewelry , Gbaduni 
Jew’s harp , Fàkàfàkà
 Jew’s mallow , Ayoyo
 Jiggle  ,Kpekpe 
Jihad , Jìhádì
 Jingle,  Èsàṇ; Sàṇgi; Èsàṇgi 
Jinn , Layi 
Jitters  ,Korokoro 
Jittery , Korokoronyi 
Job , Lìṃà 
Jockey , Tudo; Tu doko 
Jockey , Dotuci 
Jog  ,Sheshin
 Jogging ,Shinsheci; Eshinsheci 
John  ,Yàhàya 
Join (bring together)  ,La keba
 Join (unite) , Fin 
Join (fix together),  Gun 
Join hands , Lagwa fin dozhi 
Joint (body)  ,Bagun; Bagun 
Joint (materials) , Kúnyí 
Join (mutual) , Lògun 
Joist  ,Bala
 Jolliness , Dzoga; Edzoga
 Jollof rice,  Jenkafa luluci 
Jolly  ,Gadzo 
Jolt ,Dofi 
Journey,  Da zanko 
Journey , Zanko 
Journeyer  Ndǎzanko 
Jovial , de raha 
Joviality , Rahade
 Jovialness , Raha
 Jowl  ,Eman 
Joy , Ema 
Judder  ,Miamia
 Juddering , Miamianyi 

Judge  ,Zàwâ
 Judge  ,Gábó 
Judgment , Ebógá; Bógá 
Judgement Day , Efo Bógá 
Judger , Bógáci; Ebógáci 
Judiciary , Bógábà 
Jug , Lûlû 
Juice , Mikò 
Jumble , Zhevun 
Jumble  ,Vunzhe; Evunzhe 
Jump , Ja; Jamfùrù 
Jump  ,Fùrù;Fùrùja 
Jumping , Jijamfùrù; Jija
 Junction  ,Èkósá; Yèkósá
 Jungle , Kúcí
 Junior , Màdè
 Junior (sibling) , Gwazunma 
Junk , Gbwadzwa 
Just , Jányí 
Just , Nạgbá; Nạ egbá 
Justice  ,Gbánạ 
Just in case , Abekena 
Justify,  Ligbánạ; Li egbánạ 
Jute (plant)  ,Ayoyo 

 Ka’aba , Kaba
 Kaftan , Kaftani
 Kambari  ,Kạmbạrǐ 
Karaya gum tree,  Bokoci 
Keel over,  Tsu
 Keen (sharp) , Nú 
Keen (earnest) , De anzari
 Keep,  La dan be… 
Keep away , Kpeya 
Keep house , Nashe 
Keepsake  ,Tukpapagi 
Kenaf  ,Lanwu 
Kerchief  ,Tswàfàgi 
Kernel,  Kòsun 
Kernelless , Ebò 
Kerosine,  Karo; Karozin 
Kestrel , Gírá 
Kettle  ,Dároko; Dáro
 Key  ,Giyeko; Egiyeko 
Keystone  ,Tatsu; Takun etsu 
Khaki , Kaki 
Kick (into the air) , Ce tsun 
Kick (kickbox), Dantsun 
Kick , Ètsùṇ 
Kickback , Enyayeshi 
Kick-start , Làkàlǎ
 Kid (child)  ,Ebi
 Kid (goat) , Nangigi; Nangi gigi 
Kid (play),  Madzo 
Kidding,  Madzo 
Kidney , Èkògi 
Kidney bean , Ezo kadangi 
Kill  ,Wu 
 Kiln , Ezun 
Kiln (for fish)  ,Banda 
Kin , Enyi 
Kind (type) , Eló; Rirí 
Kind (caring),  De mana
 Kindness , Mana
 Kindle (fire)  ,Gunna; Gun ’na 
Kindling  ,Napiti 
Kindred  ,Nyigwa; Nyigwala; Nyi gwala
  King  ,Etsu 
King crab  ,Karatsu
 Kingdom  ,Kîntsu; Kîn nya Etsu
 Kingfisher , Todufin 
King’s fool , Mádàfia 
Kink,  Kạnà 
Kink  ,Wan kana 
Kiss , Tsonukpa 
Kiss  Nukpatso
 Kitchen , Dubà; Eduba 
Kitchenette,  Gace
 Kite , Gògò
 Knead,  Sùnkàrà
 Knee  ,Vokpa
 Knee cap  ,Koko 
Kneed , Kpò 
Kneel(in respect)  ,Lokura; Lo kura 
Kneel,  Kéyǎ 
Knicker , Tobigi 
Knife,  Èbi 
Knife (double-edge knife) , Akwo 
Knife (shaving knife) , Angoli 
Knit  Lu Knob  ,Gwakun
 Knowledge  ,Kpikpe 
Knock,  Zhe; Zhenya; Dan; Dannya 
Knock (on the head),  Mukò 
Knock down  ,Gun; Gunya
  Knock-knee  ,Egbakan
 Knock-kneed person,  Egbakanci
 Knoll , Kpekùn
 Knot, Èkpìn 
Knot , Kpin 
Knot (square knot) ,Kpankòrò 
Knotted,  Tsukutsukunyi 
Know  ,Kpe; Kpeye 
Know how  ,Dede 
Know how have the , De dede 
Knowledge , Kpikpe 
Knowlegeable  ,Kpikpedeci 
Knuckle  ,Egwa Kpankoro 
Kohl  ,Tanzali 
Kola (bitter) , Ewogici 
Kola nut , Ebì 
Kola nut (segmented)  ,Afata
 Kola nut (water kola) , Woba 
Koro (a tribe) , Kórò 
Kow tow  ,Keya 
Kyadya (Nupe subtribe) , Kyadya 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
Label , Yeci 
Labium , Esun
 Labour (childbirth), Êbó
 Labour (work) ,Amagia
 Labour room , Egimaba 
Lack,   Gugwa
 Lacking,  Gwagu; Egwagu
 Lack-luster  ,Tsumunu 
Lace , Fide; Fi de 
Lack , Tǎṇ
 Lad , Gbarufu 
Ladder , Ekpa; Kalakpa 
Lading  ,Dòkpo 
Ladle,  Kantara 
Ladle , Ko 
Lady , Nyiko 
Ladybird  ,Sokoyawogi 
Ladybug,  Woriwori 
Lag , Kpan 
 Lag , Ganka 
Laggard  ,Kúlú 
Lagos  ,Ekó; Légòsì 
Lake , Gbidu 
Lamb , Kingbagba gigi 
Lameness,  Dukùṇ
 Lamp , Fitila 
Lamp-stand  ,Egun fitila
 Lamp-wick , Egban fitila
 Lance,  Pere
 Land , Kîṇ
 Land (soil) , Kpaki 
Landlord , Ndǎpin 
Landmass , Gutó 
Landowner , Ndǎlè Lane  Keremì 
Landfill,  Eba vovo 
Language  Edi ,Lanky  Gagara
 Lantern , Fitilako
 Lanthanide , Lesókàngi 
Lanthanum,  Lesókàn
 Lap , Gboko 
Lard,  Woro
 Large,  Wanciko
 Large (round) , Dambo
 Large intestine  ,Edzungi wanciko 
Largess  ,Tawuga 
Lariat  ,Kirigi
 Larva,  Didigun
 Lash ,Ṇásadìṇ
 Lash,  Dìṇása 
Lasing , Fojiṇ 
Lasso  ,Kíri 
Lascivious  ,Bavun 
Last  ,Zunmago 
Last  ,Zunmagoci 
Last be the , Gozunma
 Last (last long) , Màsa
 Last , Kpạn
 Last (shoe) , Cigban Kubuta 
Last born , Kpanmagi; Egi kpanmagi 
Late (dead)  ,Kuci 
Late (delayed) , Leka 
Late hour , Dusa
 Lately , Toshi
 Lateral  , Kạnsuṇ 
Latex  ,Giye 
Lather , Efuge 
Laud  ,Do 
Laugh,  Matsan 
Laugh cause to,  Batsan 
Laughter , Etsaṇ; Etsaṇmáṇ 
Launderer , Edefoci
 Laundry , Fota; Kaya fota
 Lavish  ,Gbialia 
Lavishly ,Bobogi 
Law , Èwâ
 Lawful  ,Wâkun 
Lawgiver , Èwâyaci 
Lawyer,  Èwâci 
Lawn , Kpèsa 
Lay , La cici 
Lay about  ,Langbafati 
Lay egg , Wa zhi 
Layer , Kókpegi 
Layering  ,Kukókpe
 Layman , Zàṇà
 Laxative,  Cigbe forofo
 Lazybones , Eza gbwarwa
 Lazy person,  Komara 
Lea , Kato
 Leach , Pa 
Leach , Dodo 
Leach  ,Sásáṇto 
Leach pot , Gbodo 
Lead,  Èvǎ
 Lead (rope) , Ègbiaṇ 
Lead,  Shìdzò
 Leader  ,Edzòshìci
 Lead singer , Madiwu 
Leaf  ,Fiṇni 
Leaf (maize),  Fere 
Leaf (paper) , Kpege  
Leak,  Lù 
Lean (emaciate) ,  Wa 
Lean (against)  ,Kpétsò
 Leap , Yifuru 
Learn , Kpin 
Learning  ,Kpinkpin 
Leash , Ebama
 Least  ,Yiringi 
Lest , Akpeshia 
Leather  ,Epà; Pànạ; Epà enạ 
Leather-worker  ,Kimpà
 Leave , Fè
 Leave (command) , Kpekpe 
Leave alone,  Kégǎṇ 
Leave off,  Ya 
Leave moorings  ,Wadan
 Leech,  Tuturu 
Leech-tub , Gbòdo 
Leek , Lowokpa 
Leery ,Santi
 Lees , Rìrǐ 
Left ,  Gwapin 
Leftover , Jekun 
Leg,  Bici 
Legion  ,Kamako
 Leisurely , Gadagbo
 Lemon , Lèmǔkuṇ
 Lemon grass  ,Etó lèmǔ 
Lend , Jin Aro 
Lending , Arojin
 Length (height) , Kpama 
Length (measure),  Kpere 
Lengthy  ,Màkpa 
Legislation , Èlògá
 Lens , Lówòci
 Lentil , Sungbárági 
 Leopard  ,Ṇàmpà 
Leper , Sokogunci 
Leprosy  ,Sokogun 
Lesbian , Madigo 
Lesion , Tsukpa
 Lest , Kacin a 
Let,  Lugwa
 Let alone,  Bele
 Lethargic , Lotò 
Let’s go  Be ,yida Bida
 Letter (mail)  ,Báritsaká 
Letter (alphabet) , Tsakági; Etsa kági 
Letter opener , Magán 
Lettuce,  Sanbogi
 Lettuce (water lettuce) , Gbádá 
Leucoma , Yebi 
Levee , Gàkpàṇ 
 Level , Tafi
 Level , Tàràkuṇ
 Levelled (flat) , Tàrà
 Lever,  Gwalagi
Levy,  Nyapa
 Lewd , De kunca
 Lewdness , Kunca
 Liar  ,Egbóci
 Libate , Làba 
Libation  ,Ebala 
Libator,  Ebalaci 
Libel  ,Kiàgbà 
Libel , Egbàkià 
Liberal  ,Jengi  
Liberate , Bò; Bòya 
Liberated  ,Bòyaci 
Liberation , Èbwagi; Èbògi 
 Liberator,  Èbwagici 
Liberty  ,Èbò 
Librarian  ,Takadabaci 
Library,  Takadaba 
Lick  ,Ni; Nimu 
Lid , Kperè
 Liden,  Fifinikoci 
Lie  ,Egbo
 Lie , Gbómi 
Lie (recline)  ,Yiyaci
 Lie (recline)  ,Yaci 
Liege,  Zàtsu; Ezà etsu 
Life (animal) , Ena 
Life (biological),  Esuṇ 
Life (spirit) , Eye 
Lifeless,  Zùṇsuṇ
 Lift , Dzú; Dzúfìṇ; Dzú lófìṇ
 Lift (up) , Kekàṇ 
Lift  ,Èfìṇdzú
 Light , òun
 Light (increase brightness) , Bia 
Light (illuminate)  ,Mana 
Light (weightless)  ,Foko 
Lighten (flash)  ,Dzwáṇ
 Lighten (reduce weight),  Kofo 
Lighter , Edzwangi
 Lightheaded  ,Vugavuga
 Lighting  ,Dzwàṇgi; Èdzwàṇgi
 Lights , Edzwangizhi
 Lightning  ,Dzwàṇko; Èdzwàṇko
 Lightning bolt  ,Egbà
 Like (love)  ,Yébó 
Like (pleased) , Ba 
Like, Ke… nạ 
Like (similar) , Dòzhǐ 
Like (love)  ,Bǒyé
 Like that , Acinga 
Like this,Aninga 
Liken , Sàṇtátuṇ 
Likeness , Sisàṇtátuṇ 
Liking , Bǒyé; Ebóyé
 Lily , Yàbàgi 
Lily (red)  ,Tàsàbi yàbàgi 
Lily (White) , Dinkoro 
Lima bean  ,Gbambara
 Limb , Gába
 Lime,  Lèmǔgá 
Limestone , Bulia 
Limit  ,Nugun 
Limit  ,Kpan Nugun
 Limp  ,Da dukun
 Limp , Dukunda
 Limper  ,Dukundaci
 Limpet,  Kolú 
Limping , Dukunda 
Line , Esùṇ
 Lineage ,Tanmi; Etanmi 
Linen , Ceyigi 
Lineup,  Ekpa 
Linger  ,Tuntilo
 Lingual,  Kadi  
Lintel , Cigwazun; Cigban gwazun  
Lion  ,Gábá 
Lip , Gbemi 
Liquid , Ròro 
Liquid,  Ròrogi
 List , Bàyé; Bà eyé
 List , Yèbà 
Listen, Shitukpa 
Listening  ,Tukpashi 
Lit , Ke; Kena 
Lit ,Nake
 Lithe ,Dzwagwa 
Lithely ,Dzwagwagi 
Litter ,Nyasan
 Little,  Tetengi 
Little finger , Egwakatigi 
Live,  Yéyé 
Live charcoal ,Ena cikara
 Liver , Eye
 Livestock  ,Nankpa
 Living  ,Nagici; Enagici 
Living thing  Nyanagi; Enya enagi 
Lizard  ,Nyakuṇ; Nyạkuṇgbárá 
Load , Kàrà
 Load (Arrange)  ,Tá Kàrà 
Load (Upload) , Dinkara
 Loafer , Fàngbalú 
Loam,  Ledu 
Loan,  La aro
 Loan , Aro
 Loathe , Cáfià 
Loather  ,Efiàcáci 
Loathing  ,Efiàcá 
Lobby , Katamba
 Lobster,  Kapin 
Locality , Naruba 
Locate , Nyako 
Location  ,Konya 
Lock  ,Fidạn
 Lock  ,Fifidạn
 Lock (hair)  ,Nyìkáṇ; Enyì èkáṇ 
Locust , Ebò; Bòrò 
Locust bean,  Elo kosun 
Locust bean tree , Lonci 
Locust bean fruit , Elo
 Locust bean fruit (unripe) , Nyangudu 
Locust bean pulp , Elé 
Locust fruit pod , Elo kpara 
Locust fruit powder  ,Busu 
Locust fruit curry , Kula 
Lofty , Gogoro
 Lodge  ,Ecinba
 Log , Cigbantun; Etun 
Loin,  Kusu 
Loincloth  ,Bènte 
Loll , Tashin 
Lollipop , Dondokoria 
Lolly ,Aligariwo 
Lollygagger, Bo gi n lele n ci
 Lon,e  Kanlo
 Loneliness , Yègbàṇ
 Lonely,   Gbàṇyé 
Lonesome , Gbàṇyé 
Long (things)  ,Duru 
Long (articles),  Dàrà
 Long (elongated),  Gara
 Long (desire)  ,Faboye 
Long (in time) , Ganka
 Longer , Yára
 Long-horned beetle , Ndako kontoro 
Longing,  Marimari
 Long-standing , Yakace
 Loofa,  Kankani 
Look , Ciṇlě
 Look around  ,Banye; Banye za
 Loom , Masaka
 Loom (women’s) , Ekpa 
Loom (the upright one)  ,Kpasa 
Loop  ,Tofà
Loose (untie) , Lo 
Loose (not tight) , To 
Loose (grain)  ,Wawa 
Loose  ,Gbwa 
Loosen , Tò 
Lope,  Bakonya 
Lord  ,Eba
 Lord,  Tsóci 
Lore  ,Gbànạ 
Lose , Ya; Gbinya 
