Mace , Eman 
Machete,  Gada 
Machine,  Kpantugi; Ekpatugi 
Mackerel , Demidemigi 
Mad,   Dzuyila 
 Madam , Nṇǎ
 Madman , Yilandzuci 
Madness , Yiladzu 
Magenta , Wanyegi 
Maghrib (Islamic devotions),  Máṇgárì 
Magic,  Enyạṃà 
Magic perform , Ṃànyạ 
Magician  ,Enyạṃàci 
Maggot  ,Konkwania; Kunkwania 
Magnet  ,Ndǎshîn 
Magnitude,  Gbángágbà; Gbángágbàngà 
Magnify,  Mà 
Mahdi  ,Màdǐ
 Mahogany  ,Wuci 
Maiden , Nyạntsu
 Maid of honour , Yàwǒ sànci
 Mail , Gífúfù 
Mail , Fúfù 
Mail (armour)  ,Wòkpa; Èwò nyạnkpa
 Mailing  ,Fúfùgí 
Main,  Dundu 
Mainly,Dundugi 
Maintain (insist),  Nyitu
 Maintain (sustain)  ,Shìgwa 
Maize , Kaba 
Maize (a cultivar),  Ejégi 
Maize (a cultivar),  Èkpo 
Maize (a cultivar),  Liákpiági 
Major ,  Gbongbo 
Majority , Gbongboci 
Make  ,Jin 
Make peace,  Jin giaria 
Make way for  ,Sa; Saya 
Making , Jinjin 
Malady , Egunko 
Malagueta ,pepper  Cutafu 
Malamute , Màlámútìci 
Male,  Ékó 
Malevolent  ,Gbakùn 
Malign , Shi ayibi
 Malinger,  Etunzhici
 Malingerer , Etunzhici 
Mallam , Malan; 
Mallam Mallet,  Kpokpogi 
Malt , Dara 
Mammoth , Dambo
 Mammy , Mami 
Man (male)  ,Bagi 
Man (person),  Nda
 Man (human being) , Zawangi; Ezawangi 
Man (male) , Zabagi; Eza bagi 
Manage , Lagbe 
Management , Gbela; Egbela 
Manager  ,Gbelaci; Egbelaci 
Manatee,  Enaṇgbakuṇ 
Mandolin , Malogi
 Mane,  Rwàrwà
 Maneuver,  Voya 
Mange,  Kuru
 Manger,  Donci doko 
Mango,  Kondo 
Mango (fibrous type)  ,Dzarigi 
 
Mango (Pointed type) , Swarwagi 
Manifest , Takpe 
Manhood,  Ètsu 
Mankind , Zankoci 
Manners  ,Ladabi; Ledabi
 Manor, Emikoci 
Mansion  ,Epin 
Mantis  ,Làvonlàvogi; làvonlàvo 
Mantle (cloak) , Kàbǐdò 
Manufacture,  Tswagwa 
Manufacturing  ,Gwatswa 
Many,  Kàṇṃà 
Map  ,Zhepa; Nyizhepa; Nyizhe para 
Marabou  ,Gàmàṇdzà; Gàjiṇ
 Marbling (meat)  ,Musùn
 March,  Lǎbitâ
 March , Bitâlǎ 
Mare  ,Doko yiwo 
Margin,  Emiko 
Marijuana , Raman 
Mark , Etsa 
Mark  ,Katsa; Ka etsa
 Mark (an enemy),  Na
 Market,  Dzukó
 Market  ,Gidzukó 
Marketeer  ,Dzukóci
 Marketer,  Dzukólóci 
Market place , Dzukódàn
 Marl  ,Èlwàgi; Bulia
 Marriage,  Yawo 
Married woman,  Ròké 
Marrow , Emu; Emugi
 Marry (for a man) , Jin yawo 
Marry (for a woman),  Lo yawo 
Marry (for a divorcee or widow)  ,Pa yawo 
Marsh  ,Danpa 
Marshal , Bǎdòkò; Ebá dòkòci 
Martingale  ,Dangaba 
Martin,  Elutanta 
Marvel  ,Jin alajinbi 
Marvel , Alajinbi 
Mascot , Duwa 
Masculine,  Nugba 
Mash , Bǒ 
Mashed  ,Lukpan
 Mask , Kpátá 
Mask  Kan, kpátá 
Mason , Lànkpàtáci 
Masquerade  ,Ndǎkógbòyǎ
 Masquerade (a type),  Mạmạ
 Masquerade (a Yoruba type)  ,Kpàràká 
Mass  ,Mạmạ 
Mass (religious) , Bàtsá; Mbà tsátsá 
Massage , Pànạkàṇ 
Massage,  Nạkàṇpà 
Masses , Zamạmạzhi; Eza mạmạzhi 
Massif,  Patiko 
Massive,  Gbakara 
Mast , Dende 
Master  ,Ǹdǎ 
Master  ,Dàṇ 
Massy  ,Gbanti 
Mat  ,Zogun 
Mat (a large type)  ,Mìạmìạ 
Match (fire stick)  ,Nạnsági 
Match , Ma 
Match , Mima 
Matchless  ,Tu
 Mate  ,Yézùṇ
 Mate , Tú 
Material , Kpánkpán
 Materialize  ,Jin kpánkpán 
Materialism , Kpánkpáncijin 
Materialistic, Kpánkpánci 
Matron of honour , Yàwǒ sàci
 Matter  ,Ekpà 
Mattress,  Katifa 
Mature (puberty)  ,Gbáṇ 
Mature (fruit ripe),   Ko
 Maturity (puberty),  Gbáṇgbǎṇ
 Maturity (ripeness),  Kuko
 Maul  ,Etsupata; Etsu tipatagi
 Maximum ,Kuye 
May ,Ko
 Maybe a,Bando 
Mayor,  Zhìtsu 
Me  ,Mi; Èmi 
Meager ,Gobogodan 
Meal,  Jeko
 Mean (stingy) , Kpǎkpǎ 
Meander,  Labà 
Mean person , Egwabaci 
Meaning  ,Mana 
Meanwhile ,Kanga gancin 
Measles , Fulu 
Measles (informal) , Dusagi
 Measure,  Èṃà 
Measure,  Ṃà  
Measure (foodstuff)  ,Dá 
Measure (clothing),  Dà
 Measure (weighing machine) , Mànya 
Measured ,Miṃàci 
Measurement  ,Èmàṇ 
Measuring , Miṃà 
Meat  ,Nạkàṇ 
Meat (cooked) , Eni 
Meat (edible)  ,Elu 
Meat (flesh)  ,Èduṇ; Dunu
 Meat (raw),  Edìṇ
 Meat (white meat,)  Nyavun
 Mecca , Mákàṇ 
Mechanic  ,Kpantugici
 Mechanical , Kpantutugi
 Mechanize  ,Tu kpantugi
 Mechanism , Èkparò
 Medal , Kpàndzànà; Nyạnkpa dzànà
 Meddle  ,Cemidan 
Mediat  ,Liṇà 
Mediator,  Lǐṇà 
Medical , Gunka 
Medicine , Egùṇ Cf: Herb = Cigbe 
Medicine man , Egùṇjinci 
Medina , Madina 
Meditate, Shidan 
Meditation  ,Edanshi 
Meek , Gbàmi 
Meekness  ,Emigbà 
Meet (run into)  ,Gun 
Meet (find),  Tsun 
Meet (come across),  Kefi 
Meet  ,Kebá 
Meeting , Bǎke; Ebáke 
Meeting (gathering),  Ekanye
 Mellow , Bibi 
Melody,  Ètò 
Melon  ,Eshí 
Melon (seed) , Epingi
 Melon (sweet) , Paragi 
Melon (water)  ,Kadan gbani 
Melon seed , Epingi 
Melt  ,Zun
 Member (thing) , Bagungi 
Member (person),  Bagunci 
Memorize , Pagbàṇ 
Memory, Egbàṇpa
 Ménage , Efako
 Mend  ,Yegǎ  
Mendicant , Lukpa 
Menial,  Fenugi 
Menial  ,Fenu 
Menses , Shikan 
Menstruation,  Nàzhí
 Mention , Tuṇye
 Mentor  ,Tswana 
Mercenary , Ègùṇ
 Merchant , Kodagba 
Merchant prince,  Madugu 
Mercy , Yegunfa 
 Merit , Gi 
Mesh,  Didia
 Meshwork,  Tagwanlifa
 Message  ,Tuṇnyà
 Messenger , Tuṇci
 Messiah  ,Almasihu
 Messy  ,Kpiatia
 Metal , Eshîn
 Metalworker,  Zashîn 
Meteor  ,Aradu
 Method,  Kpatuṇ; Ekpa etuṇ
 Meticulous  ,Tsoníṇ; Tsoníṇmǐ  
Meticulously , Níṇtsonyǐ 
Metre,  Dǎmugi; Ndǎ mugi 
Metres two,  Bari 
Miasma , Girigizhi 
Mica , Dàṇdǎ 
Michael  ,Minkayilà
 Microbe , Enagi
 Micturate , Va vidinni 
Midday , Yigidi ti tacin
 Middle , Gandan
 Middleman,  Baranda
 Midget,  Liàliǎ 
Midnight  ,Sàdù
 Might (may)  ,Wunjin wo
 Might (power)  ,Ewò
 Mighty (powerful) , Wógbo
 Migraine,  Nyaká  
Mild  ,Langi
 Mild (medicine) , Tiá 
Mildew  ,Rufuku
 Mildew,  Kurufu
 Mile  ,Kpózàṇ 
Military , Gunkama; Egunkama 
Milk , Nwánwá 
Milk  ,Kan; Kan nwánwá 
Milky  ,Nwánwányi 
Mill  ,Tswanko  
Mill (flour)  ,Yígotá
 Mill , Giania 
Milled  ,Niagi
 Millet , Ekpan 
Millet (finger),  Tamba
 Millet  ,Kpàyì
 Millet (bulrush millet),  Mayi 
Millet (cultivar),  Kuyi 
Mill-house, Yigota 
Mill stand , Tákùṇ kpa 
Million  ,Kpowùrù; Kpo wùrù 
Millionaire , Zawókpowúrú
 Millipede  ,Èkwàṇ 
Millstone , Mítá 
Mime , Sanmi 
Mimosa  ,Gabaruwa 
Mince  ,Giania 
Mince,  Gin 
Mincemeat  ,Nakanginginci
 Mind  ,Nyạgbạn 
Mine ,Nyami 
Mine  ,Kárákuṇ; Cikárákuṇ
 Mine  ,Gbà cikárá
 Miner  ,Kárágbàci; Cikárágbàci 
Mineral , Cikárá
 Mingle  ,Tsa 
Miniature,  Kpiasugi 
Mint , Tamwátswáṇgi
 Minuscule,  Figi
 Minute,  Gikagi
 Minute (small),  Kpiásúgǐ
 Minute(time) , Kagigi; 
Mire  ,Dotsan; Edo tsan 
Mirror  ,Zàyěle
 Miscarriage,  Gbakonyi
 Miscarry , Nyi gbako 
Mischief,  Bànnạ 
Miser , Boyedinci 
Miserable , Ei 
Miserliness , Boyedin
 Miserly , Dinboye 
Misfortune  ,Bǎrìmà 
Misgiving have , Jin kokanto 
Misgiving , Kokanto
 Miss (a mark) , Pia 
Miss (disappear)  Ciṇbo 
Miss (contact) , Lèba 
Miss (pass by) , Dogba 
Miss (a dear one)  ,Sáyé 
Miss (address for a girl or lady) , Yanna; Yaya nna
 Missile  ,Vugu 
Missing (loneliness)  ,Yesa 
Missing  ,Cinbo
 Mission grass  ,Kasuwa
 Mist , Wutu 
Mistake,  Bicicin 
Mistake make  ,Cinbici
 Mister  ,Yanda; Yaya nda 
Mistrust  ,Jin zato 
Mistrust , Zato
 Mite  ,Mukugi
 Miter,  Gangafu
 Mix (ingredients) , Zhìṇ 
Mixed blessing,  Banna alheri 
Mixture , Lántsa
 Mizzle  ,Mishinmishingi
 Moan  ,Gbindun
