Nab,  Ga 
Nag , Tin 
Nail (finger),  Vùndùṇnù 
 Nail , Kòntó 
Nail  ,Kàṇ kòntó Kàṇ 
Naked  ,Guruntu 
Naked (stark) , Kafa
 Name , Eyě 
Name , Saye 
Namesake,  Mànkaye 
Nap (sleep) , Égé 
Nap (cloth) , Gǎla 
Napalm,  Aubaru 
Nape (back of the he),  Kpata 
Nape (back of the neck) , Kpatsùṇ 
Narcissist , Karagba 
Narrate ,Sannya San enya 
Narrow  , Pin 
Nation,  Kinma Kin ma 
National , Kinmaci 
Native,  Kîṇci 
Natural , Mayizhegi 
Nature  ,Mayizhe Mayi nyizhe
 Nausea , Nyangbagun
 Nauseate  ,Gunnyagban
 Nauseating  ,Nyagbangun
 Navel , Koro 
Nay,Awa 
Near (in place) ,  Tsoba 
Near (in time)   Tsotso 
Nearly , La
 Neat,  Ṇáṇǎ 
Necessary,  Tintin 
Necessitate,  i Tin 
Necessity,  Tintingi 
Neck , Kòrò
 Necklace , Èman 
Necklace (with red and white bes),  Egbàgi 
Necktie  ,Èdě kpako Ekpako 
Need,  Èyé  
Need  ,Yéyé
 Needle , Ekin Ekin bubwarwa 
Needle case , Malifi 
Needlework  ,Enajin 
Needleworker,  Enajinci 
Needy  ,Taloncijinci 
Needy  ,Jin talonci 
Neem , Nimu 
Negate,  Nàmi 
Negation,  Minà Eminà 
Negative , Minàci 
Neglect  ,Ceyé 
Neglect,  Yěcé 
Negotiate,  Gbáfá 
Negotiator , Ewunganci 
Negro  ,Kòlo
 Neigh  Fegi 
Neighbour  Èmìlegǔṇci 
Neighbourhood,  Emilegunmi 
Neonate,  Biputu
 Nephew,  Magi 
Nerve  ,Dìṇkiṇ Edìṇ èkiṇ 
Nervous,  Babagi 
Nest , Esan Esan elugi 
 Net,  Esa
 Net (a large type)  ,Kpatangi
 Net (cast net)  ,Birigi 
Net (gill-net)  ,Eshé 
Net (packing net a type) ,Sạngbàrà 
Net (packing net a type),  Dídìa 
lNet (drift-net),  Akowoji 
lNet (fish-net) , Cìndzàṇwạn 
Net (flax)  ,Cèyì sèyì 
Net (scoop net)  ,Ekwá 
Net-maker,  Esaluci 
Netter,  Esaceci 
Nettle , Yèrènkpè 
Nettle tree,  Gimaci 
Network  Satu, Esatu 
Neuroma,  Dìṇkiṇgiwùṇ 
Neuron , Dìṇkiṇgi
 Neutralize , Vun
 Never  ,Dèdé Dèdédèdè
 Nevertheless , Dúdù
 New  ,Woro 
New Testament  ,Alikawoli Woro
 News , Èsàṇ 
Newspaper  ,Bàrífùsàṇ 
Next  , Mitu
 Next (second)  ,Baci 
Next day,  Yeli 
Next day,  Yeli 
Next tomorrow,  Sokpazhin 
Nibbl,e  Sa gi
 Nice (good)  ,Ge 
Nice (fine)  ,Sa 
Nice (person)  ,Guru 
Nick ,Bitagi 
Niff to give,   Honyi 
Niff  ,Honyigi
 Niger River,  Èdù
 Niger God of River, Ndǎdùmạ 
Nigeria , Nàṇjéríyà 
Nigerian  ,Nàṇjéríyàci
 Nigh   ,Kòkó 
Night , Yeshi 
Nightjar,  Èniàṇgi 
Night owl , Gbigbi 
Nightsh,e  Ledu 
Nighttime , Gandu 
Night watchman , Yeshipaci 
Nimble  ,Fan Fangwa 
Nine  ,Gutwani 
Ninepins  ,Cegba
 Nineteen  ,Eshi din nini 
Ninety,  Shini be guwo e 
Ninth , Twanici 
Nip (bite),  Ma 
Nip (pinch),  Ko vundunnu 
Nippily (swiftly)  ,Cacanyi 
Nipple  ,Ebetigi
 Nit ,Amigi 
Niter  ,Nalegi Nakanlegi 
Nitrogen  ,Mạnzhìsuṇ 
No , Atan   
Noah , Nuwu Nuhu 
Nobleman , Saraki
 Nobility , Sarakizhi
 Nocturnal,  Súkó 
Nod  ,Duti 
Node,  Ètà 
Noise , Dùkú 
Noise make , Kudu 
Noisy,  Kúdù 
Nom,  Bororo 
Nonsense  ,Nana 
Nonsensical , Nanagi 
Nook,  Lungu
 Noon , Yisà 
 
Noose,  Tofa 
Nope ,Hinyi 
Nor, Kon 
Norm , Ezhi 
Normal,  Ezhigi 
Normally , Zhizhi
 North  ,Tifin 
Nose  ,Eyè 
Nosebag , Buruganu 
Nosebleed  ,Tigban 
Nostril , Eyefo 
Not  ,à
 Notable  ,Banzhini 
Not at all ,Lonyíà 
Notch,  Kotagi 
Note (banknote) , Fìntóró 
Note (writing) , Nyago
 Note , Da nyago 
Not even , Atan a 
Not ever  ,Dede Dededede 
Nothing  ,Nyondo… a 
Notice , Lwa 
Notice  ,Lulwa 
Notification , Miwa Emiwa 
Notify  ,Wami 
Notion,  Rúfi 
Noun,  Yéci
 Novel , Wowe 
No way! ,Atan! 
Now  ,Gbání 
No wonder! ,Bómájiṇ 
Now then , Gáṇciṇ
 Nucleus  ,Suṇkò 
Nude  ,Yavun 
Nudge , Kungwa 
Numb   ,Ta Tami 
Number  ,Bà dókuṇgi 
Number , Dókuṇgi 
Numbering , Dókuṇgibà
 Numeral , Dángùgi 
Numerology , Kpikpedángùgi 
Numerous , Dángùnyǐ
 Nupeman,  Nupenci
 Nurse,  Kpa 
Nurse  ,Guṇcikpaci 
Nut (fruit)  ,Ekò 
Nut sedge , Dokopo 
Nutrient , Sanmuku 
Nutmeg , Kpokogi 
 
Oak,  Yénsùnci 
Oar , Wàlà 
Oasis,  Eto 
Oat,  Bodzo 
Oath,  Sokozhi 
Oath take an  ,Zhi soko 
Oatmeal , Pupu 
Obedience,  Egangba 
Obedient,Egangbaci
 Obese,  Rwatwà
 Obesity , Arwatwà
 Obey  ,Gbagan Gba egan 
Object,  Piri
 Object , Má
 Oblation , Dìdirífù 
Obligation , Pipaba
 Oblige,  Paba 
Obligatory , Pipabaci 
Obligatory (religious) , Farila 
Oblong ,  Ewá 
Oboe  ,Aligeta
 Obscene  ,Lombudu 
Obscenity,  Lulombudu 
Obscure,  Yégan
 Obscurity,  Ganyé 
Observation,  Yege 
Observe  ,Geye 
Obstinate,  Ganbwa 
Obstruct,  Gètu 
Obstruction , Gigètu 
Obtain , De de go 
Obtund , Tinmi Tin mi 
Obtuse , Dugban 
O’clock , Efin 
Occasional , Cefo 
Occasionally , Cefoce 
Occipital bone,  Ekpáko 
Occiput,  Kpata 
Occult ,  Wuru
 Occupation  ,Gbáfá 
Ocean , Ègîn 
October,  Zalatswa
 Odd  ,Shebe 
Odour , Ewu 
Of , Ṇyá 
Of course, Zam   
Of course not , Aba 
Off ,  Kpelo 
Offend  Nyi nyạgbàṇ 
Offensive  ,Sun Offer  Ga
 Offer , Nyagâ
 Offering (ritual sacrifice) , Èfù 
Office,  Tuṇbà Etuṇbà 
Officer,  Zàtuṇbà 
Official,  Tuṇbàci 
Offing (soon) , Kiti 
Offspring  ,Gicin
 Ogle  ,Cinye 
Oh my!, Sáiko! 
Oil , Emí 
Oil palm (young one) , Làlègi 
Oil palm kernel,  Tsakpa
 Oil palm leaves , Dzundzwa nagi
 Oil palm nut (unripe) , Cendzu
 Oil palm seedling,  Lalegi 
Oil, palmtree  Yikunnu Yikunnuci 
Oily  ,Ciamia 
Ointment ,Emigi 
OK! ,To 
Okay! , To 
Okra,  Kpami
 Okra (cultivar) , Ròkò 
Okra (leaf) , Kpanfini 
Okra (powder) , Tsuku 
Okra soup , Gbàngìṇnì 
Old (person) , Kuku 
Old (thing) , Gbakó
 Old (dated),  Jinfo
 Olden,  Kukuru 
Old Testament , Alikawoli Gbako
 Oleaginous,  Tswakwanyi
 Olive , Esha 
Ominous,  Núko 
Omnibus , Shaliàkuci 
Omit , Baci 
On ,Ta 
On (plural) , Kpe 
On (light),  Dan 
One , Niní Nní
 One (alike), Ení 
One by one  ,Nininini 
Once,  Zunni 
One hundred,  Shitsun 
One hundred and twenty,  Shitswanyi 
One hundred and forty,  Shitwaba
 One hundred and sixty , Ogbogunni 
One hundred and eighty,  Gwasan 
One thousand , Kpotsun 
Onerous , Yǐkì 
Onion , Lowoci 
Onitsha , Nitsa 
Only ,  Kkaka 
Onus,  Dimu 
Ooze , Gbì 
Opaque , Ludò 
Open,  Kpe 
Opened , Kpikpeci 
Opene,r  Èkpé 
Opening (first) , Kati 
Opening (hole) , Foro Eforo 
Opening (small hole) , Fígǐ Fífígǐ 
Openly (publicly),  Yega Eye ga
 Operate,  Shitun
 Operation , Tunshi 
Opine  ,Jinye 
Opinion  ,Yejin 
Opportune,  De gwa 
Opportunity , Gwabà 
Opposite , Kpàṇgwa 
Opposition  ,Kpàṇgwagi
 Oppress  ,Yibaba 
Oppression,  Bayiba 
Oppressor,  Bayibaci  Azwalumi 
Opt , Kǐṇ 
Option,  Kikǐṇ 
Or ,Kó 
Oracle  Guru Orange , Gèmu 
Orb  ,Bugé 
Orchestra  Gale ,Angale 
Order (command),  Zoló 
Order (command),  Lozo 
Order (arrangement) , Tánạ Tá enạ 
Orderly , Wandan 
Ore,  Kùjá 
Or else  ,Kacin a 
Organism,  Gwalana 
Organize , Gbena 
Organization  ,Nagbe 
Organization (cooperate body) , Gbenagi 
Origin , Èpá 
Original  ,Páci 
Originate , Pá 
Ornament , Sutura 
Orogenesis , Kakanfaripati 
Orogeny,  Kanfaripati 
Orphan,  Ekuṇgi Kuṇgi 
Orthopedic drug  ,Baban 
Orthopedics , Baban 
Ostrich , Wúlú 
Other pro  ,Ndoci 
Other (each) , Dozhì 
Otherwise , Kokwa 
Otter , Wonniengi Eshì nuwạṇ Eshìgi Nuwạṇ 
Our, Nyayi
 Ourselves , Yitso 
Oust,  Bòyé 
Out ,  De 
Outback , Zabi 
Outbuilding  ,Gbavun 
Outdated,  Yakace 
Outfit , Ninke 
Outgrowth  ,Kutù 
Out of reach , Ce 
Outland , Dàdêkó 
Outlandish , Dàdêkógi 
Outrageous  ,Bǎdàdà  
Outreach,  Emitádạn 
Outright , Kpalanyi 
Outsized  ,Danbo 
Outskirt , Kpèsa 
Oven,  Ṇyàkùṇ 
Over  , Tu 
Over,  Eti 
Overall   ,Kikiri 
Overawe  ,Fiakun 
Overcoat, Barimashi 
Overcooked , Dugudu
 Overdone,  Dugudu 
Overestimate,  Zhin riga 
Overestimation  ,Rigazhin 
Overflow,  Beya 
Overhang , Dzagba 
Overhe , Tifin 
Overlap  ,Kutá 
Overlay , Rikpe 
Overloed  ,So 
Overnight , Liye 
Overseas , Làkpàn 
Overshow , Rukpe 
Overshoe,  Wufi 
Oversized , Zan 
Oversized (clothing) , Tsa 
Overt , Yónyǐ 
Overtake  ,Cedzo 
Overstate , Sa
 Overthrow,  Bòsá 
Overturn , Zhèkpe 
