Aberration , Yězákuṇ 
Abet , Pagwa 
Abetting  ,Egwapa 
Abeyance,  Kaka Ka èká 
Abfarad,  Abufárù
 Abhenry , Abuhéri 
Abhor , Ṇàǒ  
Abhorrence,  Niṇàǒ 
Abhorrent , Niṇàǒci
 Abide , Fédạ
  Abiding , Fifédạ 
Abidjan,  Abíjạṇ 
Abietic acid  ,Tsàrìgi tíkàṇcigá 
Abigail  ,Abigélì 
Abiku (spirit child) , Dzǎṃàgi 
Abilene principle , Tídzò Ábulìnì 
Ability,  Jiṇjiṇwǒ
 Ability grouping , Nàmi jiṇjiṇwǒ
 Ability to pay , Jiṇjiṇwǒ ṇyá yiyáwǒ 
Ab initio  ,Càncàbà 
Abiogenesis , Nàkákânmạ 
Abiotic , Nànạkuṇ 
Abir  ,Abéri 
Abitur , Wadzùṇcizhì
 Abject,  Nàkpárá 
Abjure  ,Zhìbǒ 
Abkhaz , Abukázhì 
Ablation  ,Lilákiáo 
Ablate  ,Lákiáo 
Ablatie , Lilákiáoci 
Ablator , Zàlákiábo 
Ablaut,  Wóa Èwóa 
Ablaze ,  Wạṇnạ 
Able  ,Jiṇwǒ 
Able-bodied  ,Nạkàṇ-jiṇjiṇwǒci 
Able rate,  Milò jiṇjiṇwǒ 
Able seaman  ,Ndǎdù jiṇjiṇwǒ 
Able-bodied seaman  ,Ndǎdù nạkàṇ-jiṇjiṇwǒci 
Abled  ,Jiṇwǒci 
Ableism , Jiṇjiṇwǒwogi 
Abloom,  Gòfiṇnilá 
Ablution,  Yèṇá Eyěṇá
 Ablution perform  ,Ṇáyě 
Ably,  Jiṇjiṇwǒnyǐ 
Abnegate , Ṇàmipa Ṇà emipa
 Abnegation , Mipaṇà 
Abnorma,l  Ràzhì Rà zhìzhì 
Abnormality , Zhìrà Ezhìrà 
Abnormal loss , Gbigbíṇyá ràzhì 
Abnormal profit,  Elé ràzhì 
Abnormal retinal correspondence , Fùkà sayéci ràzhì 
 Abnormal returns , Ezhǐnzhí ràzhì
 Abo , Abo 
Aboard ,  Dạnya Dạn eya 
Abode,  Kpòmi 
Abohm,  Abomù 
Aboiteau , Lenjèdù Lenjè edù 
Abolish,  Kòtí 
Abolition,  Etíkò 
Abolitionist,  Etíkòci 
Abomasum,  Nyèděsákuṇnạ 
A-bomb,  Nạtiṇgi-A 
Abominable,  Nyạdèdèkóci Enyạdèdèkóci 
Abominable Snowman , Ndǎnyạfù Nyạdèdèkó 
Abominate , Là nyạdèdèkó
