Quadruped , Gwadagi Nagwadagi Ena Egwadagi
 Quaggy  ,Kpalumagi
 Quake,  Jigi 
Quail , Patibishengi 
Qualify  ,Mạlíri Mạ líri 
Qualification,  Lírimạ 
Quality,  Lírikùṇ 
Quantify  ,Dan tsuwan 
Quantity , Tsuwan  
Quarrel,  Ewun Ewunsun 
 Quarrel , Sunwun 
 Quarrelsome,  Cencekogi
 Quarter,  Daṇnàgúṇni 
Quavering  ,Kubakuba 
Queen  ,Aluwo  
Quench  ,Nú
 Quiet  ,Sanyi 
Quiet , Sunsun 
Quietness  ,Esunsun
 Question,  Gbinga 
Question,  Egangbin 
 Queue ,Shiriya 
Quick, Vànyǐ
 Quickly, Vànyǐ 
Quicksand , Madan
 Quill , Dinni bishe 
Quit , Zoye 
Quite ,Ke 
Quitting , Nushi Enushi 
Quiver , Gukanci 
Quiver , Kunriri 
Quiz , Cinyé 
 Qur’an , Kùranì Kùranù
   Rabbit  ,Karigi Kayigi
 Race,  Maci 
Raccoon,  Woda Dakungba woda 
Radical , Kpanla
 Radically , Kpanlanyi 
Radish,  Cutapawu 
Raffia palm,  Eba 
Raffia palm fruit , Bankoro 
Raffia palm seedling,  Bangan 
Raffia palm wine , Makoro 
Raft  ,Eyakpa 
Rafter  ,Kapoci 
Rag,  Èdě sakun 
Ragamuffin,  Kakamfo
 Rage  ,Wùṇpáṇ
 Ragtag  ,Sangbele 
Raid , Gídò Gí èdò 
Raid,  Èdògí 
Rail , Kwadu Kwakwadu 
Railroad  ,Ekpaya 
Rain , Ele 
Rain,  Dule
 Rainbow , Duwa 
Rainfall,  Ègan 
Rain water,  Sòkóle 
Rainy season,  Zunzunka 
Rainy season (early),  Mama
 Raise,  To
Raise dust,  La 
Rake , Sǒgi
 Rake,  Sǒ 
Ram (sheep) , Kùgià 
Ram (bunt) , Gungbogi 
Ram,  Gungbo
 Ramadan , Etswa azun 
Ramification (branch),  Katamkpa 
Ramify , Sa katamkpa 
Ramp , Egbe 

Rampart , Ebangi 
Ramrod , Tabariya 
Rancid , Mamǎ 
Range,  Lòjèrě Elò jèrě 
Rank , Tíci 
Ransom  ,Wósa Ewósa 
Ransom , Sa 
Rap (knock)  ,Tako 
Rapacious,  Bonin 
Rapaciousness , Nimbo 
Rape , Jiṇ shiankálá 
Rape , Shiankálá 
Rapeseed , Nufu
 Rapid , Banyi 
Rapidly , Babanyi 
Rapids (water) ,Gbudu 
Rapist,  Shiankalagi 
Rapping  Kota ,Ekota 
Rare , Fényi 
Rascal , Gibi
 Rash,  Kegbugbu 
Rash,  Ènyǐ 
Rash (out) , Kò 
Rashness,  Gbugbuke 
Rat  ,Etsú
 Rat (a species)  ,Èfiàṇ
 Rate,  Lòmi Lò emi 
Rate , Milò Emilò 
Rather  , Kàkàdǐ 

Rating,  Milògùṇ 
Ratio  ,Tòntòrí 
Ration  ,Tòntò 
Rattle,  Tsan 
  
Rattle (gourd),  Babo 
Rattle (tambourine) , Eku 
Rattle (dancer’s),  Dzǎka 
Raunchy  ,Mukanyi 
Rave , Lesuṇ
 Raven (bird) , Luzhiko
 Raven (black),  Tswanyi 
Ravine , Edáṇ 
Raw,  Mimi 
Raw (meat),  Bimbiri 
Ray , Nạyèrè Enạ yèrè 
Raze , Vungwa 
Razor  ,Efiṇ Fiṇgi Efiṇgi
 Razor-sharp , Bamvaga 
 Re- , Ye 
Reach  ,Tuṇ Tuṇ bo 
Reach out , Támidạn 
Reach out , Emitádạn
 React , Yigwa 
Reaction , Gwayi 
Read  ,Gba 
Reading  ,Nyagba 
Readiness , Sisajiṇ 
Ready ,Sájiṇ 
Real  ,Bèshi 
Reality  ,Bèshigi 
Really ,Bèshi 
Reap  Ko, Koyi 
Reap (guinea corn) , Ma
 Reap (maize),  Te 
Reap (rice),  Gbe
 Reaper , Yikoci Eyikoci
 Rear  ,Kpa 
Reason  Ètagù ,Tagù 
Reason , Gùta 
Rebate,  Sauki 
Rebel , Jin gáṇigáṇ 
Rebel , Gáṇigáṇgi Gáṇigáṇgijinci 
Rebellion , Gáṇigáṇ 
Rebound , Fùya 
Rebuke,  Saci 
Recall  ,Tuṇbóyé 
Recall  ,Ebótuṇyé 
Recalling , Bótuṇyégùṇ 
Recede,  Kpán 
Receding (baldness) , Dzakogi 
Receipt,  Gogi 
Receipt  ,Gi gogi 
Receivable , Gbwàgòwǒci 
Receive , Gògbwà 
Recent  , Mangi
 Recess  ,Batú  
Recline , Tashín 
Recognize  ,Gbáṇye 
Recompense,  Gálò  
Reconcile,  Jin giaria 
Reconcilement,  Giaria 
Reconciliation,  Giariajin 
Reconnoiter,  Manna 
Reconnoitering , Ennama
 Record,  Patan Pa etan 
Record  ,Tanpa 
Recount , Loba Lo 
Recover , Dzìzhǐṇ 
Recovery , Dzìdzìzhǐṇ 
Recreation,  Kwanazauna 
Rectangle  ,Patasoro 
Rectum , Nyǐkpí 
Recuperate , Sagun 
Red , Dzuru 
Red  , Dzú 
Redden,  Do 
  
Reddish,  Dzukan 
Reddishness,  Dzúdzûnyǐ 
Redeem,  Gin
 Redeemer , Ginya 
Red-hot  ,Dzuyaka 
Red lily  ,Tasabi yabagi 
Redolence , Kawushi 
Red Sea , Dudo 
Reduce , Tà Tàke 
Reduction,  Titàke 
Red yam,  Eci dzuru 
Reed,  Eza 
Reed (cane),  Eyigi 
Reed grass , Layisa
 Reek , Ṇákàṇ
 Reeking,  Ekàṇná 
Reel , Wòfi 
Refer (mention) , Swà 
Refer  Dan, gwa Dangwa 
Referee  ,Egwadanci 
Reference  ,Egwadan 
Reflect (light)  ,Mana 
Reflex  ,Gbígí 
Reflux , Jèzhìnró
 Reform,  Tadá 
Reform,  Dáta 
Reformation,  Titada 
Refrain (sing,)  Zanabi 
Refreshing  Yanko 
Refrigerate , Kawanriri 
Refrigeration , Ririkawan 
Refrigerator , Ririkawangi 
Refusal ,Biwo 
Refuse,  Wobi 
Refuse (garbage)  ,Tutun 
Refuse dump , Tutunti 
Regale , Wolima
 Regalia , Sasagi
 Regard , Lò Rwà 
Regard,  Lolo 
Region , Gwalafu
 Regress  ,Wuba
 Regret , Ti rogonkpe 
Regret  ,Rogonkpe
 Regular,  Kamindo 
Regularly, adKami ndondo 
Reign , Gitsu 
Reign , Tsugi Etsugi 
Rein,  Dzami 
Reincarnate,  Zhede 
Reiterate,  Jeda 
Rejoice,  Mami 
Rejoin (explain) , Kpe shiaruba 
Rejoinder  ,Shiaruba
 Reiterate,  Yeda 
Rekindle,  Yìna 
Relate (compare),  Lásàṇ Lá sàṇ dòzhì 
Relate (interact with),  Gisun 
Relate (narrate)  ,Kpinnya Kpin enya 
Related  ,Gunnyi 
Relating  ,Nyakpin Enyakpin
 Relation  ,Nyíci Nạnyíci 
Relationship (friendship)  ,Sungi 
Relative (relation)  ,Enyí Nyígunci
 Relax  ,Tsǔṇ
 Relaxation,  Tsuntsǔṇ 
Relay (information) , Gosan 
Release,  Ya 
Relevant , Goye 
  
Relieve (assist) , Tògwa 
Relief  ,Gwatò
 Religion , Wurumi 
Religious person , Wurumigi 
Relight  ,Wúna 
Relish , Santi 
Rely  ,Yakpe 
Relying  ,Yiyakpe 
Remain , Ke
 Remainder,  Gbigi 
Remains,  Cécě 
Remember , Pa 
Remembrance  ,Pipa 
Remind , Patukpa 
Remnant  ,Túkùn 
Remorse , Nyạgbàṇti 
Remorse,  Ti nyạgbàṇ 
Remote,  Kiaria 
Remove  ,Wa 
Rend , Le  
Render (interpret translate),  Gògàn 
Rendezvous , Cegun 
Rendezvous , Cicegun 
Renumeration,  Kantsun 
Rent , Sofa
 Recur,  Kpanjin 
Repair  ,Yejin
Repay (debt),  Wo gbata
 Repay (revenge),  Jinga 
Repeat  ,Jezhin
 Repent,  Yebi 
Repentance , Biye Ebiye 
Replace  ,Gogwa
 Replacement  ,Gwago Egwago 
Replacement  ,Gwagoci Egwagoci 
Replay, Màdzǒbe 
Replay  ,Edzǒmàbe
 Reply , Dangbe 
Reply  ,Egbedan 
Report,  Enyan 
Report , Wunyan Wu enyan 
Reprehend  ,Sanbabi 
Reprehension , Ebasanbi 
Represent  ,Wusan 
Representation,  Esanwu 
Representative  ,Sanwuci Esanwuci 
Reprisal  ,Elopa
 Reprise,  Palo 
Reproach  ,Bàlè 
Reproach , Lèbà Elèbà 
Reptile,  Kòkòngì
 Repulse , Tuka 
Repulsion , Ekatu
 Reputation,  Gwado 
Request , Sú súkù 
Request , Súkù
 Requite  ,Goyega 
Rescind , Kpǎn
 Rescue , Gín 
Rescue,  Gigín
 Research , Bòkpìṇ 
Research , Kpinbo 
Resemble , Be 
Reservation have , Jin Kashkash  
Reserved person  ,Ezafuci 
Reservoir  ,Titira 
Reside  ,Nashe
 Residence , Èshě 
  
Residue , Shaka 
Resin  ,Cìṇbuṇnú
 Resident  ,Egba 
Resolve (conclude)  ,Wagwa 
Resolvent  ,Ashiamu
 Resort , Efaba
 Respect , Ya cinwon 
Respect , Cinwonya
  Respite , Kafa 
Respond , Yé 
Responsibility , Èfècě 
Responsible,  Cěfè 
Responsibly, Cěfè 
Rest  ,Fá 
Rest  ,Èfá 
Rest (on)  ,Kpetso 
Rest (remainder) , Na ke na 
Restaurant  ,Nakandanba 
Restore , Zhini 
Restive , Garagara 
Restrain,  Kangwa 
Restrain,  Dan kangi 
Restraint , Kangi 
Result , Èṇyà 
Resurge , Gònạre
 Resurgence  ,Nạregò 
Resurrect,  Nạkiṇsun 
Resurrection  ,Ekiṇnạsun 
Retainer , Bara 
Retaliate , Danlo
 Retarded  ,Da 
Retch  Yi ,kpwarwa 
Reticent , Sonyạgbàṇ 
Retina  ,Sayé Esayé Esa eyé 
Retinal , Sayéci 
Retire  ,Cinfa 
Retort,  Zheganpan 
Retort  ,Eganpanzhe 
Retreat , Jezhe 
Retreat , Zheje 
Retrieve,  Shìṇ
 Return,  Zhíṇ 
Return,  Ezhǐṇ 
Returning , Zhínzhín 
Returns,  Ezhǐnzhí
 Reveal  ,Túlǎ 
Revelation,  Èlǎtú 
Revenge,  Jinga 
Revenge , Jinjinga 
Revenue , Wofito Ewo fito
 Revenue collector  ,Fitogoci 
Revenuer , Fitoci
 Revere , Jiba 
Reverence  ,Ebaji 
Reverse  ,Zhebòdì 
Reverse,  Bòdìzhe 
Review,  Jin tushi 
Review,  Takara 
Revile , Gitoba 
Revilement  ,Tobagi 
Revise,  Tushi 
Revolt , Sa kangara 
Revolt  ,Kangara 
Revolution,  Kangarako  
Revolve , Danyi 
Revolver  ,Eyidanci 
Revolver (gun) , Danyidanyigi 
Revolving fund,  Dashi Adashi 
Reward,  Èrèta 
Reward,  Tarè 
Rheumaticfever  ,Egun kansanagi 
Rheumatism,  Wulegi 
  
Rhythm,  Naje 
Rhythmic,  Najegi 
Riata,  Karifazuru 
Rib,  Bangi
 Ribbon,  Ekpa Ekpagi Èdě kpagi 
Rib cage,  Kpada 
Rice  ,Zhìkaba 
