Tab,  Sheshí 
Tabernacle , Wòvun
 Table,  Èsákó 
 Tablespoon,  Kangi 
Taboo , Zhishi
 Taboo , Shizhi 
Tack , Kotomgba
 Taciturn , Jin shirunyi
 Tadpole , Tantikpokporogi; Tantikpokpologi 
Tafsir , Tafsiri; Tausiri 
Tag, Eka 
Tail , Cintàrà  
Tail end , Etô
 Tailor  ,Kimwo 
Tailpiece,  Tsanci 
 Take (carry) , La  
Take (collect),  Go; Ngo 
Take care , Jin hankali
 Talc,  Eza
 Talcum powder , Eza 
Tale  ,Ècìṇ 
Talebearer , Kulokuzhingi 
Talebearing , Kulokuzhin
 Talk  ,Gangan  
Talkative , Eganganwoci
 Talker , Eganganci 
Talking,  Egangan 
Talk to  ,Gangan ya 
Tall  ,Wunkpa
 Taller , Zàṇkpá 
Tallness,  Èkpá; Èkpáwún
 Tallow tree,  Lolobi 
Talon  ,Kunkunko
 Tamarind,  Dará 
Tamarind (black)  ,Daráci kuso 
Tamarind tree , Daráci
 Tambourine,  Gbangbara 
Tame , Dayenu
 Taming , Yedanu 
Tangerine , Tanjerin 
Tangle , Jin jigijigi 
Tangled  ,Jigijigi 
Tank , Kanfi 
Tanker,  Kanfici 
Tantivy  ,Kwanyi 
Tap (touch),  Kagwa 
Tap , Pampu
 Tape (measure),  Karagi 
Taper (candle) , Nagwagi; Enagwagi
 Taper (grass used for) , Bisa 
Tapeworm,  Kpàkpàrà 
Tar , Yǐgàn 
Tarantula , Jeluko  
Target  ,Shitu
 Target,  Etushi 
Tarry  ,Pata 
Tart , Má 
Task , Eka 
Tassel , Tsustsu Tasselated
 floor , Bapaci
 Taste,  Woto
 Taste , Towo 
Tasteless,  Tàba
 Tastiness,  Èmu
 Tasty , Mu; Munugi 
Tattered,  Sálé 
Tattle,  Jin rukoto
 Tattle , Rukoto 
Tattler,  Ebokoci 
  
Tattoo,  Tsa; Tsa koro
 Taunt,  Leba 
Taunting , Bale 
Tax  ,Èdǔ 
Tax (collect) , Gòdǔ 
Tax collector , Èdǔgòci
 Tax pay  ,Yàdǔ
 Taxpayer,  Edǔyàci 
Taxi  ,Gòdǔgi 
Tea  ,Yìsa 
Teach , Wú 
Teacher,  Egbǎ 
Teaching  ,Wuwǔ
 Teakettle,  Darogi 
 Teal  ,Woshiwoshigi
 Team  ,Dzǒro 
Teamwork  ,Gwafin; Egwafin 
Tear  ,Giye 
 Tear (apart) , Le  
Tear (into pieces),  Sa
 Tease , Maye 
Teaspoon,  Kóyí 
Tea senna , Gabaruwan kasa 
Technology , Èpiǎ 
Tedious , Tsoro 
Teethe (milk teeth),  Wami
 Teethe (wisdom teeth) ,San nyika 
Tell , Ta; Taya  
Temper  ,Funtsuga 
Temperature , Kálántsa; Èká lántsa 
Tempest , Mashê
 Temple (head) , Dàdà
 Temple (shrine), Ègǔṇ 
Ten  ,Guwo
 Tend (care),  Jin kula 
Tend (farm,)  Gbofu
 Tend (tendency), i Bebe 
Tendency , Bebeka 
Tender (soft),  Putu
 Tender (arthritic) , Kodanyi 
Tender (painful)  ,Yakanyi 
Tendon , Edìṇ 
Tendril , Sasangi 
Tent,  Lùbǐ 
 Tent to pitch , Kan lùbǐ 
 Ten thousand , Gbotsun 
Tepid  ,Tinfe 
Term , Giye 
Terminal  ,Kokobà 
Terminal   ,Kokogi
 Terminate , Kotí
 Termination , Etíko 
Terminative,  Etíkoko 
Terminator , Etíkoci 
Termitarium , Kpakpà 
Termites  ,Eka  
Terrapin,  Duku 
Terrible  ,Tsáli 
Terrify  ,Zhěkpa
 Territory  ,Zhikin; Ezhikin 
Terror,  Kpazhe 
Terrorize  ,Zhekpa 
Terrorism , Kpazhekun 
Terrorist  ,Kpazhegi
 Test , Tǔmù 
Test,  Mùtǔ 
Testicle ,Tsùgbàkòsun 
Testimonial , Enyagwalasun 
Testis,  Tsùgbà 
Tether,  Gindi 
Textile,  Èjè 
  
Than , Gan 
Thank,  Jin yebo  
Thankful  ,Jin yebo 
Thankfulness , Yebojin
 Thanking , Yebojin 
Thank you , Ku be tun i
 That,  Gá  
That , Wuncin 
That ,Wuṇgá 
Thatch, Sàṇkpere 
Theatrical  ,Mǎṇdzògi  
Theft,  Yigbe  
Them,A 
Themselves, Atso
 Then , Kanga 
Then ,Ci 
 Then, Gancin  
Theorize , Bìdì
 Theory  ,Dìbì Edìbì 
There, Bagá  
There ,Batsozhi 
 There and then ,Edaga o 
Therefore, Ebógábo  
Thick (solid) ,  Lekpan
  Thick (liquid)  , Kiṇ  
Thick (Congealed liquid) , Le 
Thick (mixed liquid) , Gbàṇ; Gbàṇnạ 
Thick (clothing),  Tifa
 Thick (bushy)  ,Dzugbu 
Thick and thin , Kpabuniada 
Thickset , Gbokpan
 Thief  ,Yigbeci 
Thieve,  Yi 
Thigh,  Edun
 Thimble,  Pagwadan; Epa gwadan 
Thin(limb) , Tiáṇ 
Thin,  Tiáṇiá; Tiáṇiágǐ 
Thin (dilute)  ,Tsaye 
Thin (watery),  Tsoro 
Thing  ,Enyạ  
Think,  Kpayè 
Thinker , Yèkpaci; Eyèkpaci 
Thinking  ,Yèkpa; Eyèkpa  
Third,  Taci 
Thirst, Wo nuwon
 Thirst  ,Nunwo  
Thirty-five,  Rudin 
This  ,Nạnạ; Nnạ; Ǎnạ 
Thistledown,  Kpègèrè  
Thither , Baga  
Thorn,  Ekạn  
Thorn apple , Finiga 
Thorough , Nagi 
Thoroughly , Naginyi 
Thorough-going  ,Wuranyi 
Thoroughly , Kokonyi 
Though, Tonạdě; To nạ dě 
