Abomination  ,Nyạdèdèkó Enyạdèdèkó 
Aboral , Ṇàmi 
Aboriginal,  Zàciàci
 Aboriginality  ,Zànciàzàncià
 Aboriginal rights  ,Ebózhì zàciàci 
Aborigine  ,Zàcià Ezà ciàbà 
Aborning ,Mimạka 
Abort (fail) , Feya 
Abort (pregnancy) , Zhèwạṇ Zhèwạṇya 
Abortifacient,  Yěmạtswawạṇzhè 
Abortion , Wạṇzhè Ewạṇ zhèya 
Abortion doctor , Májiṇ wạṇzhè 
Abortion pill  ,Páyagi wạṇzhè 
Abortion trauma syndrome  ,Cigáṇí tìntáṇ wạṇzhè 
Abortionist,  Wạṇzhèci 
Abortie,  Wạṇzhègi 
Abound , Dǒkuṇkó 
Abounding  part ,Ekuṇdǒkó 
About, Tíṇyá Etí ṇyá 
About  ,Eba 
About-face , Zhèyé-zùṇmà 
About ship  ,Zhèya Zhè eya
 About-turn  ,Zhèyé-zhèzùṇmà 
Aboe (top),  Etǐ Aboe  Gòtí 
Aboeboard, Etípàtàkùṇ o
 Aboeground, Etíkînbo 
Aboe-mentioned  ,Tuṇye-etíci
Aboe-the-fold ,Etǐ-kikapa-o 
Above-the-line , Etǐ-esùṇ-o 
Above-the-title , Etǐ-tíci-o 
Ab oo ,Zhìnca Ezhì cá 
Abracadabra, Aburakadabura 
Abrade ,ti Gbiáya 
Abraham  ,Birama Ibìráhímạ
 Abrasion,  Gbigbiáya
 Abrasie,  Gbiáyagi 
Abreaction,  Nạguṇgùnga 
Abreast,  Ṃàkpánkpá 
Abridge ,t Ṇàgéré 
Abridged  ,Ṇàgérégi 
Abroad  ,Kázhìtí 
Abroad,  Zhìkátí 
Abrogate,  Wugàṇmi 
Abrupt  ,Cekpara 
Abruptly ,Cekparanyi 
Abscess,  Egú 
Abscisic acid  ,Tsàrìgi sùṇbayagi 
Abscissa , Sùṇbaya Esùn baya 
Abscission , Sùṇbayakuṇ
 Abscond,  Dzùṇnạnga 
Absconder,  Nạngadzùṇci 
Abseil  ,Ṃàgbạṇ Ṃà ègbạṇ 
Absence,  Ciciṇbo 
Absence seizure,cicinbo kpata  
 Absent ,  Ṇàbo 
Absent-mindedness  ,Tànkokogi 
Absent without leave,cincinbo banbe izini
 Absentee  ,cinbotswo
Absentee ballot  ,cincinbo kpati
Absentee landlord  ,cincinbo Ndakata
Absentee voter ,cincinbo voter 
Absenteeism,cincinbozhi  
Absently,cinbo 
Absinthe  ,Guṇgòrònuwạṇ 
Absolute , Kponyí 
Absolute advantage  D,zoló kponyí 
Absolute auction , Bátú kponyí
