Absolute ceiling  ,Dafin kponyí 
Absolutely, Kponkponyí 
Absolutely not! ,Kponyí a! 
Absolute magnitude,  Gbángágbà kponyí 
Absolute majority  ,Gbógbàci kponyí 
Absolute music,  Toroko kponyí 
Absoluteness,  Kpokponkponyí
 Absolute poverty , Yàjì kponyí 
Absolute priority , Kédzògi kponyí 
Absolute temperature , Kálántsa kponyí
 Absolute value,  Kuṇkuṇdạn kponyí 
Absolute zero,  Vuṇlági kponyí
 Absolution,  Kponyífá 
Absolutism,  Kponyíjiṇ 
Absolve ,Fo 
Absolving,  Fifo 
Absonant , Zhìwú 
Absorb , Fíṇmi 
Absorb (attention), Kulisafi; Kulasafi 
Absorbance , Mifíṇ
 Absorbefacient, Dzimifí 
Absorbent , Fíṇmiyagi 
Absorbent cotton,  Lulu fíṇmiyagi 
Absorptance , Fíṇmikpa 
Absorption , Fíṇmiki 
Absorption point , Tígi fíṇmiki 
Absorption spectrum  ,Kina fíṇmiki 
Absquatulate, Zhiforofo 
Abstain,Kìṇ 
Abstemious , Washizhìci 
Abstention , Kikégǎṇ 
Abstinence  ,Kégǎṇfé 
Abstinence theory , Dìbì kégǎṇfé 
Abstract, Lìwa; Lì wa 
Abstract,  Lìwagi 
Abstract expressionism  ,Gádágbejin lilìwa
 Abstraction , Lilìwa 
Abstractionism.  Lilìwajiṇ 
Abstract , Yéci lìwagi 
Abstract of title,  Lìwagi nya tíci 
Abstruse,  Cesó 
Absurd,  Kpàmbǎ 
Absurdism , Kpàmbǎso 
Absurdity,  Kpàmbǎgi 
Absurdity engage in  ,So kpàmbǎ 
Abu Dhabi , Àbú Zábì 
Abuilding , Dạnbàmi o 
Abuja,  Ábújá 
Abulia  ,Gbàṇwùciṇbo 
Abuna , Dǎyî; Ndǎ yî 
Abundant , Liàshia 
Abundantly ,Liàshianyǐ

 Abundance  ,Shalià; Eshialià 
Abuse, Nyiyé 
Abuse  ,Eyényi 
Abuse (verbal)  ,Gítokó 
Abuse (verbal)  ,Tokógí 
Àbú ,Simbel  
Abu ,Símbèlì 
Abusive  ,Tokógíci

 Abusive tax shelter  ,Dàta èdǔ tokógíci Abut vt vi Kekî 
Abutment , Kînke 
Abuttals , Kînkezhì 
Abuzz , Ṃàwúle 
Abvolt,  Vólútìkpó 
Abwatt , Wótìkpó 
Abysmal  ,Gushekókó 
Abyss,  Bókû 
Abyssal , Tàkòdù; Tàkò edù 
Abyssal plain,  Làgǎṇ tàkòdù 
Abyssinia , Hábàshà; Àbìsínínyạ 
Abyssinian  ,Hábàshàci 
Abyssinian cat , Dàngi Hábàshàci 
Abyssopelagic,  Tàkòdùkóci 
Acacia,  Káshía 
Academe , Ewǔbàgi; Wǔbàgi 
Academia,  Ewǔbà; Wǔbà 
Academic , Ewǔtaci; Wǔtaci 
Academic dress , Èdě wǔtaci 
Academician,  Zàwǔtaci
 Academism,  Wǔtaciji 
Academic year , Eya wǔtaci 
Academy  Ewǔta; Wǔta 
Academy Award , Tuṇkiṇ Wǔta 
Acadia  ,Àkádiyá 
Acadian , Àkádiyáci 
Acadian French  ,Firenci Àkádiyá 
Acadian orogeny,  Kânmạnpati Àkádiyá 
Acalculia,  Zhìlòkebá 
Acanthi , Fiṇnikànzhì 
Acanthocephalan,  Gókàṇtí; Egókàṇtí 
Acanthomoeba , Kànwazhìngi 

Acanthomoeba, infection  Kukuká kànwazhìngi 
Acantopterygian , Gwakaṇkaṇ
 Acanthus,  Fiṇnikàṇ
 A cappella , Bé béré ni 
Acapulco  ,Àkápulikò
 Acardia,  Kòvigizhì 
Acariasis,  Mukumitáṇ 
Acari , Mukumizhì 
Acaricide  ,Mukumiwugi 
Acarid , Mukumigi 
Acaroid resin , Cìṇbuṇnú Mukugi 
Acarology  ,Kpikpémukumi 
Acarophobia  ,Dàṇsuṇkómukumi 
Acarus,  Mukumi 
Acatalectic , Kagingi 
Acaudal,  Cintàràciṇboci
 Acaulescent , Gbòkòciṇboci 
Acca  ,Zàwǔ 
Accede, Yé 
Accelerando ,  Kpalanci 
Accelerant , Kpalagi 
Accelerate ,Lakpa 
Accelerated benefits,  Miṃàgezhi kpala 
Accelerated cost recovery system , Mikugúṇ dzìdzìzhǐṇ Wófà kpala 
Accelerated depreciation  ,Wócíṇ kpala 
Accelerated graphics port , Yònyǐká kpàtazún kpala
 Acceleration , Ekpala
 Acceleration clause,  Mizogi kpala
 Acceleration coefficient , Gídzàgebà kpala
