Acceleration request , Gwabà kpala 
Acceleration stress , Bapà kpala
 Accelerator , Kpalaci 
Accelerator card  ,Vòkpalú kpala
 Accelerometer,  Dǎmugikpala
 Accent , Dìmi Edì mi 
Accent lighting , Bàtiṇgi dìmi 
Accented ,Bamdìmi 
Accentual, Nyidìmi 
Accentuate ,Ròdìmi 
Accept ,Gò Gòyé 
Acceptable ,Yégòci 
Acceptable daily intake , Gínyi fondodò yégòci 
Acceptance  ,Yégò 
Acceptance agent , Zàtun yégò 
Acceptance bonus,  Wǎngigi yégò 
Acceptance sampling,  Màmakicigi yégò 
Acceptation , Yiyégò 
Accepter,  Yégòci 
Accepting  ,Gugòyé 
 Accepting house,  Emì Gugòyé 
Acceptor , Zayégòci 
Access , Gàkpa Gà ekpa 
Access , Ekpagà 
Access broker,  Shìkwatia kpagà 
Access charge  ,Wókàrà kpagà 
Access code  ,Fínmi kpagà 
Access control,  Shikàngi kpagà
 Accessory , Nyạgwabe Enyạ egwa be 
Accessory (criminal abetter) ,Zàgwapa 
Accessory after the fact  ,Zàgwapa zunma gànjiṇ o 
Accessory apartment,  Katakányí nyạgwabe
 Accessory before the fact  ,Zàgwapa bedzo gànjiṇ o 
Accessory mineral , Kùjá nyạgwabe 
Accessory nerve  ,Dìṇkiṇ nyạgwabe 
Accessory pigment , Ètạngi nyạgwabe 
Accessory shoe , Èdà nyạgwabe 
Accessible, kpagàyéci 
Accession , Kpagàyé 
Accession country , Kinkpò kpagàyé 
Access number , Dókuṇgi kpagà 
Access point , Tígi kpagà 
Access profile , Furusàngi kpagà 
Access time , Èká kpagà 
Access  ,  i kpagà 
Acciaccatura  ,Níbíngi Ení ebíngi 
Accidence , Titánkî 
Accident , Kîntá 
Accidental , Kîntánci  
Accidental death , Tsutsu Kîntá  
Accidental death and dismemberment , Tsutsu Kîntán be bàgúṇnyi 
Accident and emergency,  Kîntán be dzùṇdzùṇběgà e 
Accident insurance  ,Nyạgbànbá kîntá
 Accident-prone, Bambókîntá 
  
Accipiter  ,Lányé 
Accipitrine , Lányéci 
Acclaim ,Doyé
 Acclaim , Yédo 
Acclamation , Dudoyé 
Acclimate , Jinkátíkî 
Acclimatize, Mạkátíkî 
Acclivity  ,Tíguṇ 
Accolade,  Cíṇwạnkó 
Accommodate , Gòmìdạ 
Accomodating , Mìgòdạnci 
Accomodation,  Mìgòdạn Èmìgòdạ 
Accomodation address , Bàfé mìgòdạ 
Accomodation bill , Guṇtèka mìgòdạ 
Accomodation ladder,  Ekpa mìgòdạ 
Accomodation paper,  Bàrifù mìgòdạ 
Accomodation platform,  Siṇsàrà mìgòdạ 
Accomodationist,  Zamìgòdạnci 
Accompaniment , Kạnạzhe 
Accompanist , Kạnạzheci
 Accompany ,Yi Yizà 
Accomplice , Èmànginci 
Accomplish ,Gǔṇyé 
Accomplished ,Yégǔnci 
Accomplished bill of lading,  Dòkpo guṇtèka Jinshéci 
Accomplishment , Yégǔ 
Accord ,Yéyé 
Accord  ,Eyéyé 
Accordance , Yéyéga 
According as, yéyé ke 
Accordingly , yéyé acinga
 According to, yéyé gà 
Accordion , Nạmfatò Nạmfa Ètò 
Accordion fold,  Kikápà nạmfatò
 Accordion insert , Básogi nạmfatò 
Accordion pleats,  Yífígi nạmfatò Accost v Gbwàwù
 Accouchment , Kávimạn Èká evimạ 
Accoucher  Zàvimạ
 Account (finance) , Dạndǔ Dạn èdǔ 
Account , Dǔdạngi Èdǔdạngi 
Accountable ,Tádǔwǒ Tá èdǔwǒ 
Accountancy  ,Tuṇdǔdạn Etuṇ èdǔdạ 
Accountant,  Èdǔdạnci 
Accountant’s letter , Báritsaká èdǔdạnci 
Account day  ,Efo èdǔdạ 
Account debtor  ,Gbàtàgíci èdǔdạ 
Account executive  ,Zàmigbatú èdǔdạ 
Account for , Gàn dǔdạ 
Accounting , Èdǔdạ
 Accounting cost,  Wófà èdǔdạ
 Accounting cycle  ,Kurumạgi èdǔdạ 
Accounting equation,  Elózhègi èdǔdạ 
Accounting exposure,  Kpalawǔ èdǔdạ
