Accounting insolvency , Wósạnnà èdǔdạ
 Accounting profit,  Èlè èdǔdạ
 Accounting rate of return , Milò èzhǐn nyạ èdǔdạ 
Accounting ratio  ,Tòntòrí èdǔdạ
 Accounting year , Eya èdǔdạ 
Account of sales,  Èdǔdạn nya nyạkúnzhi 
Accounts payable,  Èdǔdạnzhi yiyàwǒci 
Accounts receivable , Èdǔdạnzhi gbwàgòwǒci 
Accounts receivable aging,  Ekùku gbwàgòwǒci èdǔdạnzhi 
Accounts receivable factoring,  Gbàtàshi gbwàgòwǒci èdǔdạnzhi 
Accounts receivable financing,  Gigewó gbwàgòwǒci èdǔdạnzhi 
Accounts receivable turnover , Zhizhèkpe gbwàgòwǒci èdǔdạnzhi 
Accouter ,Gunwifạn Gun àwifạ
 Accouterment  ,Àwifạ 
Accra  ,Akárá 
Accredited land consultant  ,Dạndàci kîn Jìbàgíci 
Accrete, Sábà 
Accreted , Bànsáci 
Accreted value ,Kuṇkuṇdạn bànsáci
 Accretion , Bànsá Ebànsá
 Accretion, disk  Fefe bànsá 
Accrual  ,Gbwásági 
Accrual basis , Kînshì gbwásági 
Accrual bond ,Rǐgbà gbwásági 
Accrual method  ,Kpatuṇ gbwásági 
Accrual of discount , Gbwásági nya wódíṇ 
Accrue, Ságbwá 
Accrued expense  ,Wómán gbwásáci 
Accrued income , Wèzhǐṇ gbwásáci 
Accrued interest , Shiàshià gbwásáci 
Accrued market discount , Wódíṇ dzukó gbwásáci 
Acculturate , Gindidạ 
Acculturation ,Didạngi 
Accumulate, Dànyeka 
Accumulated dividend  ,Gigáṇri didànyekàṇci
 Accumulated earning,  Wógbe didànyekàṇci 
Accumulation  ,Didànyekàṇ 
Accumulation period , Roro didànyekàṇ
 Accumulation unit , Nníkạn didànyekàṇ 
Accumulative ,Didànyekàṇgi 
Accumulator , Ndadànyekàṇgi Ndadidànyekàṇgi
 Accuracy  ,Èkíari 
Accuracy jumping,  Jijamfùrù èkíari 
Accurate ,Kíanyí 
Accurately, Kíankíanyí 
Accursed ,Nyạmibóci 
Accusation , Ebódatú
 Accusative ,Bódatúgi 
Accusatorial ,Bódatúgà 
Accusatory,  Bódatúgàri 
Accuse, Dabótú 
Accused,  Bódatúci 
Accuser , Zàbódaci 
Accusing,  Bódaci 
Accustom, Páyé 
Accustomed , Páyéci 
Ace , Túnnígi Etú niní 
Acebutolol  ,Míkònìsábá
 Acellular , Kiáwuṇcinboci 
Acentric ,Ràtàciṇ 
Acepahlous , Ràtí 
Acequia,  Jèyé 
Acequia madre , Jèyé Nnǎkuṇ
 Acer  Acerb , Wukù 
Acerbate ,Gíkùwu  
Acerbation , Kùwugí 
Acerbic , Wukùgi 
Acerbity , Ekùwu
 Acervulus,  Kìtìrì
 Acet, yìsábá 
Acetabulum , Kùṇkodo Tsúkùṇkodo 
Acetal,  Yìsábáge Yìsábági ege 
Acetaldehyde , Geràsábá Geràmạnu yìsábá 
Acetamide,  Sạnmạriyìsábá Acetaminophen  Geyésạnmạgà yìsábá 
Acetanilide , Zhìshígiciyìsábári
 Acetate , Yìsábákù 
Acetazolamide , Sạnmạrizhìsuṇyìsábá
 Acetic a,Yìsábági 
Acetic acid  ,Tsárigi yìsábági 
Acetic anhydride,  Ràmạnuwạnri yìsábági 
Acetify ,Sàyìsábági 
Aceto, yìsábá 
Acetohexamide  ,Sạnmạritágùṇci yìsábá 
Acetone  ,Yìsábányạ
 Acetone body , Kámàṇ yìsábányạ
 Acetyl , Yìsábári
 Acetyl ,Coezyme A  Nímbǒbà A Yìsábári 
Acetylate ,Bayìsábá 
Acetylcholine  ,Gàrigiyìsábári 
Acetylcholinesterase , Gàrigiyìsábárikòci
 Acetylene  ,Yìsábági 
Acetylide , Yìsábágici
 Acey-deucy  ,Túnnígi bàgǐgi
 Ach!, Nhún!
 ACH,  É si ecì 
Acha  ,Suru 
Achaea , Akáyíyà 
Achaean , Akáyíyàci 
Achaemenid  ,Akáménici 
Achalasia , Ràfávù 
Achar  ,Aká 
Acharya , Akáriyá 
Achcha! ,Úhǔn! 
Ache (body) ,Tá 
Ache (head) ,Sáṇ 
Achene  ,Ràkpégi 
Acheron  ,Akironi
