Acheulian  ,Ashulici 
A cheval ,Ebanba 
Achieve, Tsatí Tsa etí
 Achieved status , Kiṇnigíró títsaci
 Achievement,  Títsa; Etítsa 
Achievement age , Yatí Títsa 
Achiever,  Zàtítsa 
Achilles , Akilìsì 
Achilles heel  ,Bòkùn Akilìsì 
Achilles jerk,  Fùrùkpà Akilìsì 
Achilles tendon,  Borogo Akilìsì 
Aching (body),  Titán
 Aching (head) , Sisán 
Achiral , Ràgwaci 
Achkan  ,Akâni 
Achlorhydria,  Ràgónumạnu 
Achondrite , Ràkpórogi 
Achondroplasia,  Ràkizhì 
Achoo! , Acu! 
Achromat , Ràyénuci 
Achromatic , Ràyénu 
Achromatic colour,  Nutsa ràyénu 
Achromatic lens , Lówòci ràyénu 
Achromatic prism,  Èdìngi ràyénu 
Achromatopsia , Ràleyénu 
Acicular , Kiṇgi 
Acid  ,Tìgì
 Acidaemia,  Gìatìgì 
Acid anhydride , Ràmạnuwạnri tìgì 
Acid chloride , Gónugici tìgì 
Acid deposition , Cíṇcíṇta tìgì 
Acid drop  ,Etò tìgì 
Acidemia , Gìatìgì 
Acid grind,  Ego tìgì 
Acid house , Èmì tìgì 
Acidic ,Gìtì 
Acidify, Bátìgì 
Acidimetre , Dǎmutìgì 
Acidity  ,Gìtìgìtì 
Acid jazz , Jazì tìgì 
Acidophil  , Bamgìtì 
Acidophilic , Bamgìtì 
Acidophilus,  Bamgìtì 
Acidophilus milk , Nwánwá bamgìtì 
Acidosis , Gbàntìgì
 Acid protease  ,Dzòngikòci tìgì 
Acid rain , Ele tìgì 
Acid reflux , Jèzhìnró tìgì 
Acid rock , Tákùṇkó tìgì 
Acid salt  ,Esaṇ tìgì 
Acid test , Mimàciṇlě tìgì 
Acid test ration , Tòntòrí Mimàciṇlě tìgì 
Acidulate ,Fiátìgì 
Acidulous , Tìgìfiági 
Aciduria  ,Vìdìnnìtìgì 
Acierate , Leléfà
 Acinus,  Kposun 
Ack ack , Ákù àkù 
Ack-emma,  Àkù emaṇ 
Ackee apple,  Yìlà Ackee 
apple tree , Yìlànci 
Ackerman steering ,Tsótsógi Àkùmaṇ
 Acknowledge, Yèkpikpe 
Acknowledgement,  Kpikpeyè 
Aclinic line , Esùn ràtsòkpé 
ACLU  ,ACLU 
Acme , Lègè 
Acmeism , Lègèjiṇ
 Acne , Gízògi 
Acne conglobata  ,Gízògi  tíkaṇko
 Acne rosacea  ,Gízògi  korodzûndzûn 
Acne vulgaris  ,Gízògi dacigi   
Acoelomate , Ràfogbàṇ 
Acolyte , Kpanyági 
Aconcagua , Àkonkágùwà 
Aconite , Naṇcé
 Aconitine  ,Naṇcégi 
Acorn , Yénsùn 
Acorn barnacle , Kandùsaṇ yénsùn 
Acorn squash , Èbě yénsùn 
Acorn worm , Ègo yénsùn 
Acouchi , Àkúshì 
Acoustic ,Guṇwo; Eguṇwo; Eguṇ wo 
Acoustic nerve , Dìṇkiṇ guṇwo 
Acoustic neuroma,  Dìṇkiṇgiwùṇ guṇwo 
Acoustic roll,  Nyàtsaṇ guṇwo 
Acoustics  ,Guṇwozhi 
Acoustic tile , Giamạ guṇwo 
Acoustic trauma , Tìntán guṇwo 
Acoustoelectric,  Nạdìṇdorógiguṇwo 
Acquaint , Nyakà 
Acquaintance,  Nugùndò 
Acquaitance rape , Shiankálá zàkáṇ  
Acquainting,  Ekànya 
Acquiesce , Fáyé 
Acquire , Bó 
Acquired advantage ,Edzoló gígòci 
Acquired character , Yèrébó gígòci 
Acquired endowment  ,Riagí gígòci
 Acquired immune deficiency syndrome  ,Cigáṇí díṇdíṇké zhìtuṇró gígòci 
Acquired taste  ,Sàṇwo gigígò 
Acquirement  ,Gigígò 
Acquirer , Zagígòci
 Acquisition , Gògògí 
Acquisition account  ,Dǔdạngi gògògí 
Acquisition cost  ,Wófà gògògí 
Acquisition mailing,  Fúfùgí gògògí 
Acquisitions , Gògògízhì 
Acquisition stock , Kìtì gògògí 
Acquisitive ,Gògògíci
 Acquit ,Foyé
 Acquittal , Yéfo 
Acquittance , Gbàtàfo 
Acrania,  Ràtívo 
Acre , Kânpá 
Acreage , Kânpági 
Acredit , Gíjìbà
 Acreditation , Jìbàgí 
Acredited ,Jìbàgíci 
Acredited investor , Zawúfạn Jìbàgíci 
Acre-foot , Bìcíkpere kânpá
 Acre-inch,  Eními kânpá 
Acrid ,Tsàró 
Acridine , Tsàrógi
