Acriflavine , Yaràntsàró 
Acrimonious ,Bibátsàri 
Acrimony,  Bátsàri 
Acrivastine , Mitsàróga 
Acro,kpáká 
Acrobat , Kìtìtsàci 
Acrobatics  ,Kìtìtsà 
Acrocentric, Tàcìṇkpáká 
Acrocephaly  ,Etíkpáká
 Acrodont,  Nyíkànkpáká
 Acrodynia , Etáṇkpáká 
Acrolect,  Edǐkpáká 
Acrolein,  Mitsàroó 
Acrolith  ,Tákùnkpáká 
Acrocyanosis,  Dòfakákpáká 
Across ,Dankpan; Dankpan dozhi o 
Acrylic  , Mitsàrógi 
Acrylic acid  ,Tsàrìgi mitsàrógi 
Acrylic resin , Cìṇbuṇnú mitsàrógi 
Act ,Jiṇgàn
 Act  ,Egànjiṇ 
Actaeon , Akitényiṇ 
Actin,  Jiṇgiṇ 
Actin, Jiṇgiṇ 
Actinal,Nạyèrènạ 
Acting (temporary) ,Gòsuṇgwa
 Actinian , Shinạyèrè 
Actinic ,Nạyèrèkàn 
Actinide , Lesónạyèrè 
Actino,nạyèrèmi 
Actinolite  ,Tákùnnạyèrè 
Actinometre,  Dǎmuginạyèrè 
Actinomorphic  ,Miyénạyèrè
 Actinomycete,  Kurunạyèrè 
Actinomycin,  Kuruginạyèrè 
Actinomycosis , Kurutánnạyèrè 
Actinopterygian,  Gwankạnnạyèrè
 Actinouranium , Kófìṇginạyèrè 
Action , Jiṇjiṇgàn
 Action figure , Yétsa jiṇjiṇgàn
 Action game,  Kìtǐdzǒ jiṇjiṇgàn
 Action group,  Nàmi jiṇjiṇgàn 
Action item,  Nyạkàn jiṇjiṇgàn 
Action man,  Ndǎ jiṇjiṇgàn
 Action movie,  Kiánkiági jiṇjiṇgàn 
Action officer,  Zàtuṇbà jiṇjiṇgàn 
Action-packed , jiṇjiṇgàn èkpopaci 
Action painting , Karo jiṇjiṇgàn
 Action potential,  Kpówǒgi jiṇjiṇgàn
 Action replay,  Edzǒmàbe jiṇjiṇgàn
 Action spectrum,  Bósàṇ jiṇjiṇgàn
 Action stations,  Kiṇnigíbàzhì jiṇjiṇgàn
 Action to quiet title  ,jiṇjiṇgàn nạ a ga koti tici na
 Actionable ,Jiṇjiṇgànwǒ
 Actioner,  Jiṇjiṇgànci 
Activate , Nạjiṇgàn 
Active , Bá 
Activeness , Bibá 
Activity,  Bibákàn 
Act of contrition  ,Egànjiṇ nyá nînzùṇ 
Act of faith  ,Egànjiṇ nyá yiyakpe 
Act of God  ,Egànjiṇ nyá Sòkó 
Act of Union  ,Egànjiṇ nyá migúṇkàn 
 Act on, Jiṇgàn etí 
Actor,  Zàjiṇgàn 
Act out, Jiṇgàn bàde 
Actual ,Gbohín 
Act up, Jiṇgàn èpe 
Acute (angle)  K,ukun 
Adage,  Gàncìṇ
 Adam , Àdàmǔ 
Adam’s ,apple  Èkògi 
Adapt ,Dayénu 
Adaptation , Yénuda 
Add ,Be 
Adder  ,Evàn 
Addition , Bibe 
Additive,  Kando
 Address , Bàfé; Ebà èdùṇfé 
Add up ,Be kebá 
Adenoids  ,Kódàngi 
A deux adv ,Gúbángi 
Adhere , Teba 
Adhesive  ,Tekangi 
Adhesive ,Tekàn 
Adhesiveness,  Èkànte 
Adieu ,Sáyí kándoci 
acent , Kumì 
oin , Kú 
oining,  Kukú
 ourn ,Tuntí 
ournment ,Tuntítantí 
ust , Yétsò; Yé tsòba 
ustment  ,Tsutsòyé 
Admiral , Sakógan; Nusakógan 
Admit , Gómi 
Admittance,  Emigó 
Admix ,Vuṇdan 
Admixture , Vuṇvuṇdan 
Admonish ,Jiṇ gàngbà 
Admonition , Gàngbà 
Adnexa , Bàsogi
 Adolescence,  Ènà
 Adolescent,  Nànà
 Adopt ,Te    
Adoption  ,Egite 
Adorn ,Shia; Jin shiafurudi 
Adornment , Shishia; Shiafùrùdi 
Adrenal,  Korikori 
Adrift , Yalò 
Adult,  Nugba
 Adult ,Gbáṇgbǎṇ 
Adulterer  ,Nyàciṇdáci 
Adultery  ,Nyàciṇdá 
Adultery commit, Dányàciṇ 
Advance , Tatú 
Advancement  ,Ètúta; Túta 
Advantage  ,Dzoló; Edzoló 
Advantageous ,Lodzó 
Adventure , Zhiacinbe 
Adventurous , Zhiacinbegi 
Advertise, Kpòruwó
 Advertisement,  Ruwókpò 
Advice,  Gìṇ 
Advise ,Gigìṇ 
Adviser , Kàshí 
Adze,  Kékérégi 
Aeon , Roro 
Aegis , Saban 
Aerial ,Tsátsárá 
Aerolite  ,Sòkógbà 
Aeroplane,  Yafìtí; Eya fìtí 
Afar ,Kpákó 
Affair (event) , Ènyàn 
Affair (concern) , Ebo 
Affect, Tạn 
Affecting (emotional) ,Béshi
 Affection,  Èyě
 Affluent , Nyadeci; Enyadeci 
Affluent (river) , Dogi; Edogi 
Affluence,  Enyade
 Afoot , Dàbìcí
 Afore , Pányi lě 
A fortiori , Be kágbó gan e 
Afraid , Suṇdàṇ 
Africa , Afirikà 
African (person)  ,Afirikàci 
African American , Afirikàcǐ Amerikàci 
African lung fish  ,Edangi 
African knife fish , Bantala 
Aft , Yazùṇ; Eyazùṇ 
After,Zùṇmà 
After-birth  ,Eló 
After this,Beci 
Afternoon,  Yidá; Eyidá 
Afterward, Zùṇmà wǔṇcìṇ o 
Again , Be 
Against , Sún
 Agama , Katànkpiṇni 
Agate , Bátakó 
Agbada , Èwò bùrà 
Age (years old) , Eyatí; Yatí 
Age (era),  Kámikó 
Age (become elderly),Jiṇ nusa 
Age (become old) , Kukù 
Aged , Jìgbáṇ
 Agency  ,Zàtunta 
Agent , Zàtun; Ezà tunci
 Age-old , Jiṇfo 
Aggregate , Furanyi 
Aggregate,  Furagi
 Agile ,Nyǐdìn 
Agility , Èdìnyǐ 
Aging,  Ekùku 
Agitate ,Kpèké 
Agitated, Kpèjì 
Agitation,  Kpèkékpèké
 Agitato ,Kpèkékùnyi
 Agitator ,Kpèkéci 
Agitprop , Sákpákpèké 
Aglaia , Àgùláyà 
Agleam ,Gònạmáṇ 
Aglet  ,Kùnkìn; Tákùnkìngi 
Agley , Zhìyè 
Aglimmer ,Gònạkéngǐ 
Aglitter, Gònạbáṇ 
Agloo  ,Fonyikạ; Èfo nyikạ 
Aglow , Gònạko 
Aglu  ,Fonyikạ 
Agma  ,Túkùnkàn 
Agnail  ,Vùdùṇnútáṇ 
Agnate , Yémạ 
Agnathan  ,Ràngbakun 
Agnathia , Ràngbakungùṇ 
Agni,  Sònàṇ; Àgunì 
Agnolotti,  Èkálì 
Agnomen,  Yenici 
Agnosia , Ràgbáṇro 
Agnostic , Ràgbáṇkpeci 
Agnosticism , Ràgbáṇkpejiṇ 
Agnus castus  ,Cigbàṇ tsátsà 
Agnus Dei  ,Nạngi Sòkó 
Ago ,advLělè 
Agog , Womáṇro –
agog ,Mishìgi- 
Agogic  ,Mishìgùn 
Agogics , Mishìkàn
 A gogo ,Kpo bodo –
agogue , Mishìgi- 
Agonise, Táṇgbáṇ 
Agonised , Gbáṇtáṇg
ạ Agonising , Táṇgbáṇgạ 
Agonist  ,Gbáṇtáṇci 
Agonistic , Gbáṇtáṇkùn
 Agony , Gbáṇtáṇ 
Agony aunt , Nnặgi gbáṇtáṇ 
Agony column , Èkpó gbáṇtáṇ 
Agony uncle,  Ndǎgi gbáṇtáṇ 
Agora (Greek),  Kàṇyedạ 
Agora (Israeli),  Wógi 
Agorae , Kàṇyedạ 
Agoraphobia , Dàṇwǒgạkàṇyedạ
 Agorot , Wógi
 Agouti , Agúti 
Agra , Agúra 
Agrahayana , Agúráhayánạ
 Agranulocyte , Kiáwuṇzhikpórogi
 Agrapha,  Zhìkikáci
 Agraphia , Zhìnyạká 
Agrarian,  Kânnùkùn
 Agrarianism , Kânnùkùnjiṇ
 Agree ,Yé; Yégbáṇ 
Agreeable person,  Ezàyèkò 
Agreement , Egbányé 
Agreement of sale  ,Egbányé  nyạ Nyạkún 
Agrestal,  Kúlatí 
Agrestic , Kúlatíci 
Agri, Kânrí 
Agribusiness,  Bùcájiṇkânró 
Agrichemical , Nyạsạgikânrí 
