Baal , Bǎlà 
Baalbek , Bǎlàbekì
 Baas,  Bǎsà
 Baasie , Bǎsi 
Baaskap,  Bǎsikapi 
Baath , Basi 
Baathism , Basijin 
Bab , Babi 
Baba , Bàba 
Babbitt , Babìti 
Babble , Gǔgúló 
Babe  Màṃàngi 
Babe in arm,  Màṃàngwa 
Babe magnet  ,Ndǎshîn màṃàn
 Babel  ,Babilà 
Babesiosis  ,Babìsìtáṇ 
Babi , Babici 
Babiche  ,Kpàkùn 
Babinski reflex  ,Gbígí Babìnskì
 Babism  ,Babijin 
Baboo,  Bàbú 
Baboon , Gbògì 
Babu  ,Bàbú 
Babul , Bàbulà 
Babushka , Nnǎkókó 
Babuyan Islands , Esùṇ Babuyanzhi 
Baby  ,Màṃàn  
Baby blue , Dòfa màmàn 
Baby blues   Babyboy  ,Ndǎkógi Babygirl  Nṇǎkógi 
Bachelor,  Èkpáṇ 
Back , Zùṇṃà 
Back (human body)  ,Ṃàsùṇ 
Back and forth  Dalo, dazhin 
Back small of  ,Zùṇṃà làfogi
 Back  Tú, zùṇmạ 
Backbite  ,Gàṇnyi 
Backbiting , Ezàgàṇnyi 
Backbone , Tsúkùṇ zùṇṃà 
Back come  ,Zhíṇ zùṇṃà 
Backer (disciple) ,Zà zùṇṃà Ezà zùṇṃà 
Back go  Lo ,zùṇṃà Backhander  Nyạgwatạn Enyạgwatạn 
Backing , Zùṇṃàtú 
Back of hand , Egwa zùṇṃà 
Backside  ,Zùṇṃà kàsàṇ 
Backslide  ,Gbìdò 
Backstitch , Ṃàsíta 
Backsword , Biení Ebi emi ení 
Backwoods  ,Zanu 
Bacon  Kàṇtsùṇ ,Nạkàṇ kutsùṇ 
Bad  Bi ,Bad  Ebi Badger  Giriko 
Badland  ,Kîntífù 
Bad luck,  Càkú Baft  Kóshí 
Bag  ,Nạmbà 
Baggage,  Lukutu 
Baggy,   Fàṇkùṇ 
Bagpipe , Bǐbàginạmfa 
Bahama grass , Dinkankan 
Bait,  Egi Bake  Ṇyà 
Baking,  Nyiṇyà
 Balance,  Vonbà 
Evo, gubà 
Balance , Bànvo 

Balance (on the head)  ,Kpàtèté 
Balcony,  Yàkuṇta
 Bald , Fù Fùtí 
Balderdash , Filaninya 
Baldheaded,  Etífùci 
Baldness  ,Etífù 
Bale  ,Kushé 
Bale,  Eṃà 
Balk , Tsàṇyeya 
Balking,  Eyeyatsàṇ 
Ball , Kòpà 
Baloney , Namu 
Balls (nonsense) , Tsustsugi 
Balsam apple,  Gàràfiṇni 
Bamboo  ,Gusa 
Bamboo palm,  Èba 
Bamboo palm fruit,  Bankoro 
Bamboozle,  Jin dzorondzoro 
Ban  ,Wushi Wu shishi 
Ban , Shiwu Shishiwu 
Banana , Yàbà 
Band,  Esági 
Band (musical) , Ṇàdzǎn Eṇà èdzǎn
 Bandage,  Bàpagi 
Bandit  ,Zade 
Bandy-legged , Gwampin
 Bane , Sáṇmù Ásáṇmù 
Bang ,Kpóro 
Bangle , Kanranwu 
Banish , Ṇyákiábo 
Banishment,  Nyinyákiábo 
Banjo , Dùngùrù 
Banjo play , Tsạn dùngùrù 
Banjoist  ,Dùngùrùtsạnci 
Bank (river),  Èkpàṇ 
Bank (financial) , Akpata 
